source,target,weigh,bootscore
mitsuokella_unclassified,phosphopyruvate hydratase,-21.490149,1
mitsuokella_unclassified,transaldolase,-6.767879,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00089,-3.807929,1
holdemania_unclassified,formate-c-acetyltransferase-activating enzyme,-3.055379,1
mitsuokella_unclassified,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,-3.445396,0.7
clostridium_citroniae,dna helicase,2.321269,1
m__hmdb01169,bacteroides_vulgatus,2.816459,0.7
m__hmdb01547,bacteroides_massiliensis,1.895987,1
m__hmdb00630,clostridium_clostridioforme,1.737662,1
m__hmdb03357,lachnospiraceae_bacterium_1_1_57faa,1.908743,0.8
holdemania_unclassified,glutamate dehydrogenase,-2.155192,0.7
m__hmdb03357,bacteroides_uniformis,-4.304825,0.3
peptostreptococcaceae_noname_unclassified,peptostreptococcaceae_noname_unclassified,1.040343,1
serine o-acetyltransferase,serine o-acetyltransferase,1.022602,1
methionyl aminopeptidase,methionyl aminopeptidase,1.020532,1
veillonella_dispar,veillonella_dispar,1.018072,1
bilophila_unclassified,bilophila_unclassified,1.008351,1
m__hmdb00036,m__hmdb00036,1.007654,1
aspartate ammonia-lyase,aspartate ammonia-lyase,1.007487,1
alistipes_finegoldii,alistipes_finegoldii,1.007284,1
m__hmdb00020,m__hmdb00020,1.006868,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,1.006795,1
m__hmdb00174,m__hmdb00174,1.006484,1
l-lactate dehydrogenase,l-lactate dehydrogenase,1.005902,1
m__hmdb00262,m__hmdb00262,1.005584,1
phosphoglycerate kinase,phosphoglycerate kinase,1.004923,1
m__hmdb00089,m__hmdb00089,1.004377,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,1.004035,1
veillonella_atypica,veillonella_atypica,1.004024,1
m__hmdb00637,m__hmdb00637,1.004017,1
l-serine ammonia-lyase,l-serine ammonia-lyase,1.003861,1
m__hmdb00630,m__hmdb00630,1.003854,1
m__hmdb01991,m__hmdb01991,1.003742,1
m__hmdb02329,m__hmdb02329,1.003563,1
m__hmdb00562,m__hmdb00562,1.003489,1
m__hmdb00244,m__hmdb00244,1.003359,1
coprococcus_catus,coprococcus_catus,1.003289,1
m__hmdb00156,m__hmdb00156,1.003238,1
anaerotruncus_colihominis,anaerotruncus_colihominis,1.003046,1
m__hmdb00138,m__hmdb00138,1.003019,1
m__hmdb00482,m__hmdb00482,1.003,1
m__hmdb00956,m__hmdb00956,1.002946,1
methylaspartate mutase,methylaspartate mutase,1.002896,1
m__hmdb00043,m__hmdb00043,1.002894,1
m__hmdb00448,m__hmdb00448,1.002627,1
fe3+-transporting atpase,fe3+-transporting atpase,1.002389,1
phosphopyruvate hydratase,phosphopyruvate hydratase,1.002223,1
m__hmdb00097,m__hmdb00097,1.002118,1
mitsuokella_unclassified,mitsuokella_unclassified,1.002001,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,1.001989,1
triose-phosphate isomerase,triose-phosphate isomerase,1.001983,1
m__hmdb00289,m__hmdb00289,1.001956,1
dorea_longicatena,dorea_longicatena,1.001949,1
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,1.001925,1
parabacteroides_merdae,parabacteroides_merdae,1.001921,1
