source,target,weigh,bootscore
eubacterium_ramulus,eubacterium_rectale,44.030599,0.9
eubacterium_ramulus,eubacterium_rectale,-43.803502,0.8
mitsuokella_unclassified,phosphopyruvate hydratase,-21.528826,1
bilophila_wadsworthia,prevotella_copri,7.864577,1
eggerthella_unclassified,eubacterium_ramulus,7.336578,1
eggerthella_unclassified,eubacterium_ramulus,-7.313008,1
mitsuokella_unclassified,transaldolase,-6.83175,1
veillonella_dispar,veillonella_unclassified,3.834259,1
veillonella_dispar,veillonella_unclassified,-3.804,1
veillonella_parvula,roseburia_intestinalis,3.359403,1
parabacteroides_distasonis,bacteroides_massiliensis,-3.627416,0.9
veillonella_parvula,roseburia_intestinalis,-3.156379,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00089,-3.453599,0.9
holdemania_unclassified,formate-c-acetyltransferase-activating enzyme,-3.010797,1
parabacteroides_distasonis,bacteroides_massiliensis,3.606611,0.8
holdemania_unclassified,glutamate dehydrogenase,-2.964089,0.9
eubacterium_ramulus,ruminococcus_torques,-2.498826,1
clostridium_bartlettii,clostridium_hathewayi,2.43681,1
streptococcus_parasanguinis,klebsiella_pneumoniae,2.360633,1
mitsuokella_unclassified,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,-3.277178,0.7
streptococcus_parasanguinis,klebsiella_pneumoniae,-2.279062,1
eubacterium_ramulus,ruminococcus_torques,2.455637,0.9
clostridium_citroniae,dna helicase,2.205935,1
clostridium_asparagiforme,dialister_invisus,-10.940272,0.2
clostridium_asparagiforme,dialister_invisus,10.778188,0.2
clostridium_bartlettii,clostridium_hathewayi,-2.379602,0.9
holdemania_filiformis,clostridium_clostridioforme,-2.027322,1
escherichia_unclassified,escherichia_coli,3.324034,0.6
escherichia_unclassified,escherichia_coli,-3.202231,0.6
clostridium_asparagiforme,pyridoxal 5-phosphate synthase,-1.4667,0.9
eubacterium_ramulus,rna helicase,1.176391,1
peptostreptococcaceae_noname_unclassified,peptostreptococcaceae_noname_unclassified,1.046309,1
veillonella_dispar,veillonella_dispar,1.04417,1
flavonifractor_plautii,eubacterium_eligens,-1.030881,1
mitsuokella_unclassified,m__hmdb00138,1.143555,0.9
veillonella_dispar,m__hmdb01257,-1.024537,1
serine o-acetyltransferase,serine o-acetyltransferase,1.022766,1
methionyl aminopeptidase,methionyl aminopeptidase,1.020402,1
bilophila_unclassified,bilophila_unclassified,1.007965,1
m__hmdb00262,m__hmdb00262,1.007736,1
alistipes_finegoldii,alistipes_finegoldii,1.007567,1
m__hmdb00036,m__hmdb00036,1.007206,1
aspartate ammonia-lyase,aspartate ammonia-lyase,1.007182,1
l-lactate dehydrogenase,l-lactate dehydrogenase,1.006201,1
m__hmdb00020,m__hmdb00020,1.006175,1
m__hmdb00174,m__hmdb00174,1.006093,1
eubacterium_ramulus,eubacterium_ramulus,1.005996,1
phosphoglycerate kinase,phosphoglycerate kinase,1.004964,1
l-serine ammonia-lyase,l-serine ammonia-lyase,1.004191,1
m__hmdb00089,m__hmdb00089,1.004062,1
m__hmdb00637,m__hmdb00637,1.003975,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,1.003948,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,1.003933,1
m__hmdb01991,m__hmdb01991,1.003779,1
m__hmdb00043,m__hmdb00043,1.0036,1
anaerotruncus_colihominis,anaerotruncus_colihominis,1.003539,1
m__hmdb00630,m__hmdb00630,1.003495,1
veillonella_atypica,veillonella_atypica,1.003454,1
m__hmdb00562,m__hmdb00562,1.003316,1
m__hmdb00244,m__hmdb00244,1.003309,1
m__hmdb00138,m__hmdb00138,1.003153,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,1.003032,1
lachnospiraceae_bacterium_1_1_57faa,lachnospiraceae_bacterium_1_1_57faa,1.003022,1
m__hmdb00956,m__hmdb00956,1.002965,1
dorea_longicatena,dorea_longicatena,1.002953,1
methylaspartate mutase,methylaspartate mutase,1.002891,1
m__hmdb00156,m__hmdb00156,1.002752,1
m__hmdb00482,m__hmdb00482,1.002673,1
fe3+-transporting atpase,fe3+-transporting atpase,1.002492,1
m__hmdb00715,m__hmdb00715,1.002423,1
phosphopyruvate hydratase,phosphopyruvate hydratase,1.002313,1
clostridium_symbiosum,clostridium_symbiosum,1.002271,1
m__hmdb02329,m__hmdb02329,1.002116,1
3-hydroxybutyryl-coa dehydrogenase,3-hydroxybutyryl-coa dehydrogenase,1.002101,1
m__hmdb00098,m__hmdb00098,1.002047,1
m__hmdb00289,m__hmdb00289,1.001963,1
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,1.001958,1
mitsuokella_unclassified,mitsuokella_unclassified,1.001935,1
acetyl-coa c-acetyltransferase,acetyl-coa c-acetyltransferase,1.001927,1
triose-phosphate isomerase,triose-phosphate isomerase,1.00181,1
ruminococcus_lactaris,ruminococcus_lactaris,1.001792,1
3-hydroxyacyl-coa dehydrogenase,3-hydroxyacyl-coa dehydrogenase,1.001702,1
rna helicase,rna helicase,1.001692,1
m__hmdb00097,m__hmdb00097,1.00167,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,3-methyl-2-oxobutanoate hydroxymethyltransferase,1.001665,1
protein-npi-phosphohistidine--sugar phosphotransferase,protein-npi-phosphohistidine--sugar phosphotransferase,1.001605,1
m__hmdb00448,m__hmdb00448,1.001588,1
m__hmdb00197,m__hmdb00197,1.001524,1
m__hmdb00699,m__hmdb00699,1.001519,1
clostridium_clostridioforme,clostridium_clostridioforme,1.001517,1
m__hmdb00056,m__hmdb00056,1.001496,1
bilophila_wadsworthia,bilophila_wadsworthia,1.00149,1
m__hmdb01232,m__hmdb01232,1.001458,1
m__hmdb01169,m__hmdb01169,1.001414,1
m__hmdb00365,m__hmdb00365,1.0014,1
m__hmdb00619,m__hmdb00619,1.00136,1
alistipes_putredinis,alistipes_putredinis,1.001359,1
oscillibacter_unclassified,oscillibacter_unclassified,1.001322,1
ruminococcus_bromii,ruminococcus_bromii,1.001262,1
bacteroides_uniformis,bacteroides_uniformis,1.001248,1
m__hmdb00139,m__hmdb00139,1.001235,1
2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,1.001193,1
beta-lactamase,beta-lactamase,1.001187,1
dialister_invisus,dialister_invisus,1.001176,1
parabacteroides_merdae,parabacteroides_merdae,1.001162,1
prevotella_copri,prevotella_copri,1.001115,1
streptococcus_salivarius,streptococcus_salivarius,1.001094,1
histidine kinase,histidine kinase,1.00109,1
m__hmdb00511,m__hmdb00511,1.001078,1
coprococcus_comes,coprococcus_comes,1.001045,1
glucose-6-phosphate dehydrogenase nadp+,glucose-6-phosphate dehydrogenase nadp+,1.001007,1
glycerate 3-kinase,glycerate 3-kinase,1.000985,1
ribulose-phosphate 3-epimerase,ribulose-phosphate 3-epimerase,1.000962,1
coprobacillus_unclassified,coprobacillus_unclassified,1.000876,1
phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,1.000852,1
pyridoxine 5-phosphate synthase,pyridoxine 5-phosphate synthase,1.000799,1
alistipes_onderdonkii,alistipes_onderdonkii,1.000769,1
barnesiella_intestinihominis,barnesiella_intestinihominis,1.000751,1
clostridium_leptum,clostridium_leptum,1.000741,1
m__hmdb01257,m__hmdb01257,1.00073,1
m__hmdb00118,m__hmdb00118,1.00068,1
m__hmdb00128,m__hmdb00128,1.000663,1
anaerostipes_hadrus,anaerostipes_hadrus,1.000657,1
fructose-bisphosphate aldolase,fructose-bisphosphate aldolase,1.000622,1
burkholderiales_bacterium_1_1_47,burkholderiales_bacterium_1_1_47,1.000576,1
m__hmdb00030,m__hmdb00030,1.000477,1
transaldolase,transaldolase,1.000475,1
