source,target,weigh,bootscore
m__hmdb01169,bacteroides_vulgatus,11.013563,1
holdemania_unclassified,glutamate dehydrogenase,-3.999898,0.9
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00101,8.875649,0.3
m__hmdb01895,parabacteroides_unclassified,1.845261,1
m__hmdb00019,eubacterium_siraeum,6.075842,0.3
m__hmdb00019,roseburia_inulinivorans,4.343401,0.4
pseudomonas_unclassified,rna helicase,-1.621267,1
pseudomonas_unclassified,fructose-bisphosphate aldolase,-1.153519,1
m__hmdb03357,ruminococcus_lactaris,1.233992,0.9
flavonifractor_plautii,phosphopyruvate hydratase,1.086483,1
flavonifractor_plautii,flavonifractor_plautii,1.063837,1
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,1.038337,1
peptostreptococcaceae_noname_unclassified,peptostreptococcaceae_noname_unclassified,1.036784,1
bacteroides_faecis,bacteroides_faecis,1.026679,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,1.018807,1
m__hmdb00036,m__hmdb00036,1.018241,1
l-lactate dehydrogenase,l-lactate dehydrogenase,1.017668,1
2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,1.017198,1
ruminococcus_bromii,ruminococcus_bromii,1.016057,1
coprococcus_catus,coprococcus_catus,1.015234,1
collinsella_aerofaciens,collinsella_aerofaciens,1.013816,1
dihydrolipoyl dehydrogenase,dihydrolipoyl dehydrogenase,1.013218,1
phosphatidate cytidylyltransferase,phosphatidate cytidylyltransferase,1.010383,1
dephospho-coa kinase,dephospho-coa kinase,1.00988,1
anaerotruncus_colihominis,anaerotruncus_colihominis,1.008854,1
m__hmdb00030,m__hmdb00030,1.008634,1
pyridoxal 5-phosphate synthase,pyridoxal 5-phosphate synthase,1.008452,1
m__hmdb00870,m__hmdb00870,1.007576,1
phosphopyruvate hydratase,phosphopyruvate hydratase,1.007517,1
m__hmdb00247,m__hmdb00247,1.007108,1
beta-ketoacyl-acyl-carrier-protein synthase ii,beta-ketoacyl-acyl-carrier-protein synthase ii,1.006861,1
holdemania_unclassified,holdemania_unclassified,1.006575,1
parabacteroides_unclassified,parabacteroides_unclassified,1.006398,1
ruminococcus_gnavus,ruminococcus_gnavus,1.00639,1
hydroxylamine reductase,hydroxylamine reductase,1.005305,1
m__hmdb00510,m__hmdb00510,1.005304,1
rna helicase,rna helicase,1.004806,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,3-methyl-2-oxobutanoate hydroxymethyltransferase,1.004472,1
phosphogluconate dehydrogenase nadp+-dependent decarboxylating,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,1.004255,1
nadh,nadh,1.004043,1
m__hmdb00562,m__hmdb00562,1.003852,1
m__hmdb00715,m__hmdb00715,1.003654,1
m__hmdb00195,m__hmdb00195,1.003543,1
l-serine ammonia-lyase,l-serine ammonia-lyase,1.003536,1
eubacterium_hallii,eubacterium_hallii,1.003477,1
akkermansia_muciniphila,akkermansia_muciniphila,1.003465,1
m__hmdb00452,m__hmdb00452,1.003329,1
pyruvate carboxylase,pyruvate carboxylase,1.003275,1
ribulose-phosphate 3-epimerase,ribulose-phosphate 3-epimerase,1.003258,1
m__hmdb00056,m__hmdb00056,1.003234,1
m__hmdb00138,m__hmdb00138,1.003186,1
transaldolase,transaldolase,1.00305,1
s-ribosylhomocysteine lyase,s-ribosylhomocysteine lyase,1.002907,1
m__hmdb10169,m__hmdb10169,1.00288,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,1.00287,1
eubacterium_ventriosum,eubacterium_ventriosum,1.002765,1
m__hmdb00039,m__hmdb00039,1.002765,1
m__hmdb00020,m__hmdb00020,1.002745,1
clostridium_asparagiforme,clostridium_asparagiforme,1.002683,1
m__hmdb02329,m__hmdb02329,1.00264,1
m__hmdb00637,m__hmdb00637,1.002625,1
anaerotruncus_unclassified,anaerotruncus_unclassified,1.002511,1
eubacterium_ramulus,eubacterium_ramulus,1.002468,1
methionyl aminopeptidase,methionyl aminopeptidase,1.002401,1
bacteroides_cellulosilyticus,bacteroides_cellulosilyticus,1.002361,1
m__hmdb00448,m__hmdb00448,1.002354,1
histidine kinase,histidine kinase,1.002335,1
endopeptidase clp,endopeptidase clp,1.002157,1
pyridoxal 5-phosphate synthase glutamine hydrolyzing,pyridoxal 5-phosphate synthase glutamine hydrolyzing,1.002034,1
bacteroides_massiliensis,bacteroides_massiliensis,1.00198,1
m__hmdb00630,m__hmdb00630,1.001976,1
m__hmdb00619,m__hmdb00619,1.00194,1
m__hmdb00089,m__hmdb00089,1.001882,1
m__hmdb02322,m__hmdb02322,1.001863,1
m__hmdb00139,m__hmdb00139,1.00171,1
m__hmdb00222,m__hmdb00222,1.001692,1
ruminococcus_lactaris,ruminococcus_lactaris,1.001652,1
pyridoxine 5-phosphate synthase,pyridoxine 5-phosphate synthase,1.001606,1
shikimate kinase,shikimate kinase,1.001509,1
dna-directed rna polymerase,dna-directed rna polymerase,1.001492,1
peptidylprolyl isomerase,peptidylprolyl isomerase,1.001388,1
m__hmdb00289,m__hmdb00289,1.001332,1
m__hmdb00098,m__hmdb00098,1.001304,1
h+-transporting two-sector atpase,h+-transporting two-sector atpase,1.001138,1
aspartate ammonia-lyase,aspartate ammonia-lyase,1.00112,1
m__hmdb01257,m__hmdb01257,1.001101,1
protein-npi-phosphohistidine--sugar phosphotransferase,protein-npi-phosphohistidine--sugar phosphotransferase,1.001097,1
glucose-6-phosphate dehydrogenase nadp+,glucose-6-phosphate dehydrogenase nadp+,1.000984,1
m__hmdb00019,m__hmdb00019,1.000914,1
glutamate decarboxylase,glutamate decarboxylase,1.000888,1
enoyl-coa hydratase,enoyl-coa hydratase,1.000866,1
m__hmdb00296,m__hmdb00296,1.000842,1
aldose 1-epimerase,aldose 1-epimerase,1.000839,1
bacterial non-heme ferritin,bacterial non-heme ferritin,1.00081,1
m__hmdb00262,m__hmdb00262,1.000799,1
m__hmdb01991,m__hmdb01991,1.000691,1
ubiquinol oxidase electrogenic: non h+-transporting,ubiquinol oxidase electrogenic: non h+-transporting,1.000667,1
beta-lactamase,beta-lactamase,1.000661,1
m__hmdb01169,m__hmdb01169,1.000653,1
bacteroides_thetaiotaomicron,bacteroides_thetaiotaomicron,1.000652,1
