source,target,weigh,bootscore
clostridium_citroniae,eubacterium_siraeum,4.984304,1
escherichia_unclassified,bacteroides_fragilis,-4.184736,1
escherichia_unclassified,bacteroides_fragilis,3.98052,1
holdemania_unclassified,glutamate dehydrogenase,-4.285256,0.9
clostridium_citroniae,m__hmdb00036,-2.150002,1
clostridium_symbiosum,clostridium_clostridioforme,-2.123958,1
clostridium_symbiosum,clostridium_clostridioforme,2.100358,1
alistipes_finegoldii,bacteroides_uniformis,2.072479,0.9
m__hmdb00812,ruminococcus_bromii,2.969584,0.6
alistipes_finegoldii,bacteroides_uniformis,-2.040204,0.8
clostridiales_bacterium_1_7_47faa,flavonifractor_plautii,-1.60652,1
streptococcus_parasanguinis,klebsiella_pneumoniae,1.603079,1
anaerotruncus_colihominis,m__hmdb01991,-2.21249,0.7
clostridiales_bacterium_1_7_47faa,flavonifractor_plautii,1.510137,1
streptococcus_parasanguinis,klebsiella_pneumoniae,-1.463448,1
clostridium_leptum,bacteroides_ovatus,-4.595696,0.3
clostridium_leptum,bacteroides_ovatus,4.573102,0.3
pseudomonas_unclassified,fructose-bisphosphate aldolase,-1.159984,1
flavonifractor_plautii,phosphopyruvate hydratase,1.097563,1
flavonifractor_plautii,flavonifractor_plautii,1.065088,1
erysipelotrichaceae_bacterium_6_1_45,clostridium_hathewayi,1.319293,0.8
peptostreptococcaceae_noname_unclassified,peptostreptococcaceae_noname_unclassified,1.045671,1
erysipelotrichaceae_bacterium_6_1_45,clostridium_hathewayi,-1.299825,0.8
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,1.038705,1
veillonella_dispar,veillonella_dispar,1.023778,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,1.02281,1
m__hmdb00036,m__hmdb00036,1.020214,1
collinsella_aerofaciens,collinsella_aerofaciens,1.018159,1
ruminococcus_bromii,ruminococcus_bromii,1.017843,1
l-lactate dehydrogenase,l-lactate dehydrogenase,1.017552,1
2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,1.017102,1
coprococcus_catus,coprococcus_catus,1.013721,1
veillonella_atypica,veillonella_atypica,1.013504,1
dihydrolipoyl dehydrogenase,dihydrolipoyl dehydrogenase,1.013121,1
dephospho-coa kinase,dephospho-coa kinase,1.01044,1
phosphatidate cytidylyltransferase,phosphatidate cytidylyltransferase,1.009715,1
m__hmdb00030,m__hmdb00030,1.008852,1
parabacteroides_unclassified,parabacteroides_unclassified,1.008424,1
haemophilus_parainfluenzae,haemophilus_parainfluenzae,1.007846,1
phosphopyruvate hydratase,phosphopyruvate hydratase,1.007547,1
pyridoxal 5-phosphate synthase,pyridoxal 5-phosphate synthase,1.007273,1
beta-ketoacyl-acyl-carrier-protein synthase ii,beta-ketoacyl-acyl-carrier-protein synthase ii,1.006913,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,1.006658,1
ruminococcus_gnavus,ruminococcus_gnavus,1.005599,1
m__hmdb00510,m__hmdb00510,1.00516,1
anaerotruncus_unclassified,anaerotruncus_unclassified,1.00512,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,3-methyl-2-oxobutanoate hydroxymethyltransferase,1.005115,1
hydroxylamine reductase,hydroxylamine reductase,1.004843,1
parasutterella_excrementihominis,parasutterella_excrementihominis,1.004809,1
m__hmdb00247,m__hmdb00247,1.004745,1
rna helicase,rna helicase,1.004716,1
m__hmdb00562,m__hmdb00562,1.004214,1
ruminococcus_lactaris,ruminococcus_lactaris,1.004133,1
phosphogluconate dehydrogenase nadp+-dependent decarboxylating,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,1.004095,1
m__hmdb00870,m__hmdb00870,1.004023,1
m__hmdb00262,m__hmdb00262,1.003859,1
l-serine ammonia-lyase,l-serine ammonia-lyase,1.003793,1
nadh,nadh,1.00379,1
bacteroides_faecis,bacteroides_faecis,1.003787,1
m__hmdb00020,m__hmdb00020,1.003662,1
m__hmdb00715,m__hmdb00715,1.003662,1
m__hmdb00138,m__hmdb00138,1.003406,1
m__hmdb00452,m__hmdb00452,1.003313,1
anaerotruncus_colihominis,anaerotruncus_colihominis,1.003261,1
histidine kinase,histidine kinase,1.003175,1
transaldolase,transaldolase,1.003135,1
ribulose-phosphate 3-epimerase,ribulose-phosphate 3-epimerase,1.003134,1
pyruvate carboxylase,pyruvate carboxylase,1.003039,1
clostridium_asparagiforme,clostridium_asparagiforme,1.002929,1
bacteroides_cellulosilyticus,bacteroides_cellulosilyticus,1.002843,1
s-ribosylhomocysteine lyase,s-ribosylhomocysteine lyase,1.002727,1
eubacterium_ventriosum,eubacterium_ventriosum,1.002678,1
m__hmdb00039,m__hmdb00039,1.002618,1
m__hmdb00222,m__hmdb00222,1.002591,1
m__hmdb00195,m__hmdb00195,1.002526,1
parabacteroides_distasonis,parabacteroides_distasonis,1.002525,1
m__hmdb00056,m__hmdb00056,1.002388,1
methionyl aminopeptidase,methionyl aminopeptidase,1.002347,1
eubacterium_ramulus,eubacterium_ramulus,1.002223,1
endopeptidase clp,endopeptidase clp,1.002115,1
m__hmdb02322,m__hmdb02322,1.00211,1
m__hmdb00619,m__hmdb00619,1.002081,1
pyridoxal 5-phosphate synthase glutamine hydrolyzing,pyridoxal 5-phosphate synthase glutamine hydrolyzing,1.002013,1
bacteroides_massiliensis,bacteroides_massiliensis,1.001767,1
pyridoxine 5-phosphate synthase,pyridoxine 5-phosphate synthase,1.001751,1
m__hmdb02329,m__hmdb02329,1.001737,1
eubacterium_hallii,eubacterium_hallii,1.001714,1
bacteroides_eggerthii,bacteroides_eggerthii,1.001707,1
ruminococcus_callidus,ruminococcus_callidus,1.001655,1
m__hmdb00139,m__hmdb00139,1.001608,1
m__hmdb00289,m__hmdb00289,1.001608,1
m__hmdb00296,m__hmdb00296,1.001566,1
m__hmdb00637,m__hmdb00637,1.001474,1
