source,target,weigh,bootscore
m__hmdb00812,bacteroides_cellulosilyticus,-9.324511,0.7
anaerotruncus_colihominis,superoxide dismutase,5.926598,0.9
anaerotruncus_colihominis,16s rrna cytosine1402-n4-methyltransferase,-3.115452,1
m__hmdb01547,bacteroides_massiliensis,2.739014,1
m__hmdb01895,eubacterium_rectale,2.960762,0.9
m__hmdb00812,eubacterium_siraeum,7.600568,0.3
m__hmdb00699,prevotella_copri,1.383244,1
eubacterium_ramulus,rna helicase,1.28975,1
coprobacillus_unclassified,dna helicase,-1.184213,1
pseudomonas_unclassified,pseudomonas_unclassified,1.081187,1
m__hmdb01895,bifidobacterium_longum,-1.063077,1
m__hmdb00195,roseburia_unclassified,1.052688,1
m__hmdb00630,veillonella_dispar,-1.043956,1
m__hmdb03357,ruminococcus_lactaris,1.147312,0.9
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,1.028337,1
serine o-acetyltransferase,serine o-acetyltransferase,1.022662,1
anaerotruncus_colihominis,anaerotruncus_colihominis,1.017632,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,1.015673,1
bacteroides_faecis,bacteroides_faecis,1.015353,1
dihydrolipoyl dehydrogenase,dihydrolipoyl dehydrogenase,1.01289,1
dialister_invisus,dialister_invisus,1.012509,1
l-lactate dehydrogenase,l-lactate dehydrogenase,1.011891,1
streptococcus_thermophilus,streptococcus_thermophilus,1.011176,1
m__hmdb00036,m__hmdb00036,1.010117,1
pyridoxal 5-phosphate synthase,pyridoxal 5-phosphate synthase,1.009238,1
m__hmdb00764,m__hmdb00764,1.008408,1
m__hmdb00043,m__hmdb00043,1.007674,1
m__hmdb00247,m__hmdb00247,1.007242,1
beta-ketoacyl-acyl-carrier-protein synthase ii,beta-ketoacyl-acyl-carrier-protein synthase ii,1.007206,1
dephospho-coa kinase,dephospho-coa kinase,1.006774,1
m__hmdb10169,m__hmdb10169,1.00606,1
m__hmdb00482,m__hmdb00482,1.005152,1
c2likevirus_unclassified,c2likevirus_unclassified,1.004559,1
parabacteroides_distasonis,parabacteroides_distasonis,1.004461,1
m__hmdb00511,m__hmdb00511,1.004069,1
anaerotruncus_unclassified,anaerotruncus_unclassified,1.00373,1
m__hmdb00870,m__hmdb00870,1.003409,1
m__hmdb00089,m__hmdb00089,1.003403,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,1.003355,1
phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,1.003323,1
m__hmdb00056,m__hmdb00056,1.003314,1
m__hmdb00630,m__hmdb00630,1.00331,1
m__hmdb00020,m__hmdb00020,1.002937,1
m__hmdb00195,m__hmdb00195,1.00274,1
m__hmdb00562,m__hmdb00562,1.002539,1
glutamate decarboxylase,glutamate decarboxylase,1.00253,1
peroxiredoxin,peroxiredoxin,1.002509,1
m__hmdb00097,m__hmdb00097,1.002423,1
m__hmdb02329,m__hmdb02329,1.002405,1
ribulose-phosphate 3-epimerase,ribulose-phosphate 3-epimerase,1.002138,1
m__hmdb00098,m__hmdb00098,1.002105,1
m__hmdb01895,m__hmdb01895,1.002045,1
pyridoxine 5-phosphate synthase,pyridoxine 5-phosphate synthase,1.001907,1
m__hmdb01169,m__hmdb01169,1.001894,1
m__hmdb00039,m__hmdb00039,1.001791,1
m__hmdb00156,m__hmdb00156,1.001712,1
m__hmdb00289,m__hmdb00289,1.001611,1
m__hmdb00222,m__hmdb00222,1.00146,1
m__hmdb00637,m__hmdb00637,1.001421,1
m__hmdb00806,m__hmdb00806,1.001346,1
m__hmdb00715,m__hmdb00715,1.001268,1
m__hmdb00197,m__hmdb00197,1.001204,1
m__hmdb00448,m__hmdb00448,1.001197,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,1.001181,1
m__hmdb00956,m__hmdb00956,1.00117,1
orotidine-5-phosphate decarboxylase,orotidine-5-phosphate decarboxylase,1.001152,1
m__hmdb00699,m__hmdb00699,1.001132,1
m__hmdb00209,m__hmdb00209,1.00108,1
m__hmdb11718,m__hmdb11718,1.001053,1
aspartate ammonia-lyase,aspartate ammonia-lyase,1.000987,1
