source,target,weigh,bootscore
mitsuokella_unclassified,m__hmdb04610,25.462272,0.8
anaerotruncus_unclassified,bacteroides_cellulosilyticus,18.640846,0.8
anaerotruncus_unclassified,bacteroides_cellulosilyticus,-17.942429,0.8
clostridium_citroniae,clostridium_symbiosum,15.78645,0.6
clostridium_citroniae,clostridium_symbiosum,-15.53414,0.6
anaerotruncus_colihominis,superoxide dismutase,5.829929,0.9
holdemania_unclassified,m__hmdb00101,9.754259,0.4
streptococcus_thermophilus,dorea_longicatena,3.264978,1
streptococcus_thermophilus,dorea_longicatena,-3.262601,1
anaerotruncus_colihominis,16s rrna cytosine1402-n4-methyltransferase,-3.230777,1
anaerotruncus_colihominis,bacteroides_caccae,-2.721796,1
eggerthella_unclassified,roseburia_inulinivorans,-2.625088,1
m__hmdb01547,bacteroides_massiliensis,2.594263,1
clostridium_symbiosum,roseburia_intestinalis,2.709639,0.8
anaerotruncus_unclassified,m__hmdb00289,-1.997666,0.9
clostridium_symbiosum,roseburia_intestinalis,-2.559228,0.7
veillonella_dispar,veillonella_unclassified,1.607602,1
streptococcus_parasanguinis,klebsiella_pneumoniae,1.59578,1
veillonella_dispar,veillonella_unclassified,-1.529108,1
pseudomonas_unclassified,alistipes_onderdonkii,1.513833,1
streptococcus_parasanguinis,klebsiella_pneumoniae,-1.436549,1
pseudomonas_unclassified,alistipes_onderdonkii,-1.401508,1
eubacterium_ramulus,rna helicase,1.297563,1
lachnospiraceae_bacterium_2_1_58faa,m__hmdb01257,1.691035,0.7
coprobacillus_unclassified,dna helicase,-1.128924,1
pseudomonas_unclassified,pseudomonas_unclassified,1.115543,1
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,1.028266,1
serine o-acetyltransferase,serine o-acetyltransferase,1.022869,1
veillonella_atypica,veillonella_atypica,1.013376,1
dialister_invisus,dialister_invisus,1.013325,1
dihydrolipoyl dehydrogenase,dihydrolipoyl dehydrogenase,1.01256,1
l-lactate dehydrogenase,l-lactate dehydrogenase,1.01222,1
streptococcus_thermophilus,streptococcus_thermophilus,1.010896,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,1.010252,1
veillonella_dispar,veillonella_dispar,1.010009,1
pyridoxal 5-phosphate synthase,pyridoxal 5-phosphate synthase,1.009595,1
m__hmdb00036,m__hmdb00036,1.009549,1
m__hmdb00764,m__hmdb00764,1.00929,1
m__hmdb00043,m__hmdb00043,1.008068,1
beta-ketoacyl-acyl-carrier-protein synthase ii,beta-ketoacyl-acyl-carrier-protein synthase ii,1.007343,1
dephospho-coa kinase,dephospho-coa kinase,1.006431,1
haemophilus_parainfluenzae,haemophilus_parainfluenzae,1.00641,1
m__hmdb00247,m__hmdb00247,1.006017,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,1.005828,1
c2likevirus_unclassified,c2likevirus_unclassified,1.005713,1
parabacteroides_distasonis,parabacteroides_distasonis,1.00488,1
m__hmdb00482,m__hmdb00482,1.004626,1
m__hmdb10169,m__hmdb10169,1.004348,1
anaerotruncus_unclassified,anaerotruncus_unclassified,1.003846,1
phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,1.003609,1
m__hmdb00511,m__hmdb00511,1.003553,1
bacteroides_faecis,bacteroides_faecis,1.003525,1
m__hmdb00262,m__hmdb00262,1.003364,1
m__hmdb00562,m__hmdb00562,1.003054,1
m__hmdb03357,m__hmdb03357,1.002923,1
m__hmdb00097,m__hmdb00097,1.002907,1
m__hmdb00056,m__hmdb00056,1.002763,1
glutamate decarboxylase,glutamate decarboxylase,1.002642,1
m__hmdb00098,m__hmdb00098,1.002486,1
peroxiredoxin,peroxiredoxin,1.00243,1
m__hmdb00195,m__hmdb00195,1.002383,1
m__hmdb00630,m__hmdb00630,1.002321,1
m__hmdb00870,m__hmdb00870,1.002304,1
parasutterella_excrementihominis,parasutterella_excrementihominis,1.002279,1
ribulose-phosphate 3-epimerase,ribulose-phosphate 3-epimerase,1.002157,1
m__hmdb00020,m__hmdb00020,1.001942,1
m__hmdb01169,m__hmdb01169,1.001912,1
m__hmdb00089,m__hmdb00089,1.001902,1
m__hmdb00222,m__hmdb00222,1.001867,1
pyridoxine 5-phosphate synthase,pyridoxine 5-phosphate synthase,1.001815,1
m__hmdb00039,m__hmdb00039,1.001814,1
m__hmdb00806,m__hmdb00806,1.001752,1
m__hmdb00289,m__hmdb00289,1.001714,1
m__hmdb00209,m__hmdb00209,1.001669,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,1.001608,1
m__hmdb00873,m__hmdb00873,1.001587,1
m__hmdb00715,m__hmdb00715,1.001469,1
clostridium_asparagiforme,clostridium_asparagiforme,1.00144,1
m__hmdb02329,m__hmdb02329,1.001381,1
bifidobacterium_longum,bifidobacterium_longum,1.001355,1
m__hmdb00448,m__hmdb00448,1.001322,1
m__hmdb00956,m__hmdb00956,1.001303,1
m__hmdb00156,m__hmdb00156,1.001222,1
alistipes_finegoldii,alistipes_finegoldii,1.0012,1
m__hmdb00637,m__hmdb00637,1.001178,1
m__hmdb00699,m__hmdb00699,1.00116,1
m__hmdb00197,m__hmdb00197,1.001127,1
m__hmdb01257,m__hmdb01257,1.001121,1
orotidine-5-phosphate decarboxylase,orotidine-5-phosphate decarboxylase,1.001074,1
glycerol kinase,glycerol kinase,1.00105,1
m__hmdb11718,m__hmdb11718,1.000979,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,1.000942,1
protein-npi-phosphohistidine--sugar phosphotransferase,protein-npi-phosphohistidine--sugar phosphotransferase,1.000939,1
aspartate ammonia-lyase,aspartate ammonia-lyase,1.000919,1
m__hmdb00139,m__hmdb00139,1.000913,1
formate-c-acetyltransferase-activating enzyme,formate-c-acetyltransferase-activating enzyme,1.000854,1
hydroxylamine reductase,hydroxylamine reductase,1.000813,1
m__hmdb00296,m__hmdb00296,1.000741,1
phosphogluconate dehydrogenase nadp+-dependent decarboxylating,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,1.000711,1
glyceraldehyde-3-phosphate dehydrogenase phosphorylating,glyceraldehyde-3-phosphate dehydrogenase phosphorylating,1.000559,1
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,1.000517,1
transaldolase,transaldolase,1.000504,1
m__hmdb02322,m__hmdb02322,1.000453,1
m__hmdb00510,m__hmdb00510,1.000338,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,3-methyl-2-oxobutanoate hydroxymethyltransferase,1.000237,1
m__hmdb00174,m__hmdb00174,1.000186,1
bilophila_wadsworthia,bilophila_wadsworthia,1.000175,1
m__hmdb00138,m__hmdb00138,1.000154,1
methionyl aminopeptidase,methionyl aminopeptidase,1.00011,1
m__hmdb00118,m__hmdb00118,1.000009,1
2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,0.999966,1
m__hmdb01991,m__hmdb01991,0.999962,1
prevotella_copri,prevotella_copri,0.999933,1
m__hmdb01232,m__hmdb01232,0.999915,1
pyruvate carboxylase,pyruvate carboxylase,0.999897,1
shikimate kinase,shikimate kinase,0.999842,1
m__hmdb00626,m__hmdb00626,0.999801,1
2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,0.999699,1
alistipes_shahii,alistipes_shahii,0.999682,1
m__hmdb00244,m__hmdb00244,0.999673,1
glucose-1-phosphate adenylyltransferase,glucose-1-phosphate adenylyltransferase,0.999652,1
parabacteroides_merdae,parabacteroides_merdae,0.999611,1
odoribacter_splanchnicus,odoribacter_splanchnicus,0.999609,1
m__hmdb00452,m__hmdb00452,0.999602,1
anaerostipes_hadrus,anaerostipes_hadrus,0.999548,1
m__hmdb00019,m__hmdb00019,0.999518,1
m__hmdb01547,m__hmdb01547,0.999477,1
bacteroides_caccae,bacteroides_caccae,0.999445,1
histidine kinase,histidine kinase,0.99944,1
m__hmdb00067,m__hmdb00067,0.999439,1
m__hmdb04610,m__hmdb04610,0.999418,1
peptidylprolyl isomerase,peptidylprolyl isomerase,0.999404,1
4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,0.999248,1
m__hmdb00619,m__hmdb00619,0.999248,1
preq1 synthase,preq1 synthase,0.999225,1
