source,target,weigh,bootscore
mitsuokella_unclassified,rna helicase,44.163321,1
m__hmdb00812,eubacterium_siraeum,12.987414,1
m__hmdb03357,parabacteroides_distasonis,-5.437148,0.9
m__hmdb01169,bacteroides_vulgatus,6.55089,0.7
m__hmdb03357,bacteroides_stercoris,8.110029,0.3
anaerotruncus_colihominis,superoxide dismutase,3.006918,0.8
anaerostipes_hadrus,methionyl aminopeptidase,1.969362,0.9
m__hmdb00812,bacteroides_cellulosilyticus,-5.680324,0.3
pseudomonas_unclassified,rna helicase,-1.715588,0.9
pseudomonas_unclassified,fructose-bisphosphate aldolase,-1.5126,1
m__hmdb03357,bacteroides_fragilis,-4.652922,0.3
m__hmdb01895,eubacterium_rectale,1.88411,0.7
pseudomonas_unclassified,ribulose-bisphosphate carboxylase,-1.200567,1
m__hmdb03357,subdoligranulum_unclassified,-3.905064,0.3
m__hmdb01547,bacteroides_massiliensis,1.141948,1
ruminococcus_gnavus,ruminococcus_gnavus,1.027326,1
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,1.023802,1
m__hmdb00036,m__hmdb00036,1.019384,1
flavonifractor_plautii,flavonifractor_plautii,1.017986,1
peptostreptococcaceae_noname_unclassified,peptostreptococcaceae_noname_unclassified,1.017687,1
l-lactate dehydrogenase,l-lactate dehydrogenase,1.016099,1
veillonella_unclassified,veillonella_unclassified,1.011773,1
dihydrolipoyl dehydrogenase,dihydrolipoyl dehydrogenase,1.011629,1
m__hmdb00247,m__hmdb00247,1.011235,1
m__hmdb00138,m__hmdb00138,1.008967,1
dephospho-coa kinase,dephospho-coa kinase,1.008914,1
collinsella_aerofaciens,collinsella_aerofaciens,1.007768,1
veillonella_dispar,veillonella_dispar,1.007585,1
m__hmdb00637,m__hmdb00637,1.006979,1
phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,1.006737,1
eubacterium_ramulus,eubacterium_ramulus,1.006477,1
m__hmdb00030,m__hmdb00030,1.005608,1
aspartate ammonia-lyase,aspartate ammonia-lyase,1.005126,1
streptococcus_thermophilus,streptococcus_thermophilus,1.005118,1
m__hmdb01895,m__hmdb01895,1.005048,1
l-serine ammonia-lyase,l-serine ammonia-lyase,1.004975,1
rna helicase,rna helicase,1.004946,1
m__hmdb00043,m__hmdb00043,1.004712,1
phosphopyruvate hydratase,phosphopyruvate hydratase,1.004626,1
phosphatidate cytidylyltransferase,phosphatidate cytidylyltransferase,1.004476,1
m__hmdb10169,m__hmdb10169,1.003775,1
m__hmdb02329,m__hmdb02329,1.003406,1
m__hmdb00262,m__hmdb00262,1.003374,1
anaerotruncus_colihominis,anaerotruncus_colihominis,1.003353,1
m__hmdb02322,m__hmdb02322,1.003282,1
m__hmdb00089,m__hmdb00089,1.003278,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,3-methyl-2-oxobutanoate hydroxymethyltransferase,1.0032,1
m__hmdb00174,m__hmdb00174,1.003173,1
m__hmdb00452,m__hmdb00452,1.003071,1
m__hmdb00562,m__hmdb00562,1.002952,1
coprococcus_catus,coprococcus_catus,1.002947,1
protein-npi-phosphohistidine--sugar phosphotransferase,protein-npi-phosphohistidine--sugar phosphotransferase,1.002898,1
m__hmdb00156,m__hmdb00156,1.002808,1
bacteroides_cellulosilyticus,bacteroides_cellulosilyticus,1.002805,1
m__hmdb00715,m__hmdb00715,1.002727,1
m__hmdb00056,m__hmdb00056,1.002697,1
m__hmdb00020,m__hmdb00020,1.002686,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,1.00265,1
16s rrna cytosine1402-n4-methyltransferase,16s rrna cytosine1402-n4-methyltransferase,1.00259,1
m__hmdb00482,m__hmdb00482,1.002558,1
m__hmdb01991,m__hmdb01991,1.002545,1
m__hmdb00630,m__hmdb00630,1.00253,1
m__hmdb00195,m__hmdb00195,1.002479,1
m__hmdb00870,m__hmdb00870,1.002418,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,1.00238,1
m__hmdb00098,m__hmdb00098,1.00232,1
bacteroides_eggerthii,bacteroides_eggerthii,1.002098,1
shikimate kinase,shikimate kinase,1.002035,1
klebsiella_pneumoniae,klebsiella_pneumoniae,1.001892,1
phosphogluconate dehydrogenase nadp+-dependent decarboxylating,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,1.001873,1
m__hmdb00289,m__hmdb00289,1.0018,1
beta-lactamase,beta-lactamase,1.00174,1
pyridoxine 5-phosphate synthase,pyridoxine 5-phosphate synthase,1.001735,1
pyruvate carboxylase,pyruvate carboxylase,1.001715,1
ribulose-phosphate 3-epimerase,ribulose-phosphate 3-epimerase,1.001664,1
methylaspartate mutase,methylaspartate mutase,1.001582,1
m__hmdb00725,m__hmdb00725,1.001499,1
holdemania_unclassified,holdemania_unclassified,1.001424,1
m__hmdb00039,m__hmdb00039,1.001385,1
clostridium_asparagiforme,clostridium_asparagiforme,1.00138,1
m__hmdb00448,m__hmdb00448,1.00133,1
m__hmdb11718,m__hmdb11718,1.001272,1
m__hmdb00139,m__hmdb00139,1.001237,1
m__hmdb01257,m__hmdb01257,1.001195,1
peptidylprolyl isomerase,peptidylprolyl isomerase,1.001159,1
m__hmdb00699,m__hmdb00699,1.001128,1
anaerotruncus_unclassified,anaerotruncus_unclassified,1.00108,1
glycerol kinase,glycerol kinase,1.001065,1
m__hmdb00097,m__hmdb00097,1.001043,1
2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,1.001015,1
haemophilus_parainfluenzae,haemophilus_parainfluenzae,1.000973,1
ruminococcus_lactaris,ruminococcus_lactaris,1.000965,1
peroxiredoxin,peroxiredoxin,1.000912,1
dna-directed rna polymerase,dna-directed rna polymerase,1.000875,1
nadh,nadh,1.000865,1
beta-ketoacyl-acyl-carrier-protein synthase ii,beta-ketoacyl-acyl-carrier-protein synthase ii,1.000743,1
m__hmdb00619,m__hmdb00619,1.000741,1
m__hmdb01169,m__hmdb01169,1.00072,1
ruminococcus_bromii,ruminococcus_bromii,1.000689,1
m__hmdb00209,m__hmdb00209,1.000671,1
methionyl aminopeptidase,methionyl aminopeptidase,1.00064,1
m__hmdb00244,m__hmdb00244,1.000545,1
m__hmdb04610,m__hmdb04610,1.000503,1
phosphoglycerate kinase,phosphoglycerate kinase,1.000479,1
pyridoxal 5-phosphate synthase glutamine hydrolyzing,pyridoxal 5-phosphate synthase glutamine hydrolyzing,1.000472,1
m__hmdb00128,m__hmdb00128,1.000442,1
glutamate decarboxylase,glutamate decarboxylase,1.000435,1
bilophila_unclassified,bilophila_unclassified,1.000408,1
thymidylate synthase,thymidylate synthase,1.000363,1
ruminococcus_torques,ruminococcus_torques,1.000354,1
m__hmdb00197,m__hmdb00197,1.0003,1
pseudomonas_unclassified,pseudomonas_unclassified,1.000278,1
m__hmdb00510,m__hmdb00510,1.000266,1
m__hmdb00251,m__hmdb00251,1.000258,1
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,1.000204,1
m__hmdb00626,m__hmdb00626,1.000176,1
ubiquinol oxidase electrogenic: non h+-transporting,ubiquinol oxidase electrogenic: non h+-transporting,1.000139,1
transaldolase,transaldolase,1.000112,1
m__hmdb00222,m__hmdb00222,1.000099,1
dialister_invisus,dialister_invisus,1.000077,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,1.000074,1
m__hmdb00296,m__hmdb00296,1.000056,1
parabacteroides_merdae,parabacteroides_merdae,1.000041,1
glucose-1-phosphate adenylyltransferase,glucose-1-phosphate adenylyltransferase,1.000029,1
m__hmdb01149,m__hmdb01149,0.999928,1
m__hmdb03464,m__hmdb03464,0.999922,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.999916,1
m__hmdb02123,m__hmdb02123,0.999916,1
m__hmdb01232,m__hmdb01232,0.999905,1
bacteroides_thetaiotaomicron,bacteroides_thetaiotaomicron,0.999894,1
triose-phosphate isomerase,triose-phosphate isomerase,0.999887,1
phosphoenolpyruvate carboxykinase atp,phosphoenolpyruvate carboxykinase atp,0.99985,1
h+-transporting two-sector atpase,h+-transporting two-sector atpase,0.999834,1
orotidine-5-phosphate decarboxylase,orotidine-5-phosphate decarboxylase,0.999826,1
hydroxylamine reductase,hydroxylamine reductase,0.999799,1
preq1 synthase,preq1 synthase,0.99975,1
dorea_longicatena,dorea_longicatena,0.999708,1
aldose 1-epimerase,aldose 1-epimerase,0.999701,1
glyceraldehyde-3-phosphate dehydrogenase phosphorylating,glyceraldehyde-3-phosphate dehydrogenase phosphorylating,0.9997,1
bacteroides_finegoldii,bacteroides_finegoldii,0.999641,1
m__hmdb00067,m__hmdb00067,0.999605,1
alistipes_onderdonkii,alistipes_onderdonkii,0.999529,1
m__hmdb00094,m__hmdb00094,0.999463,1
m__hmdb00365,m__hmdb00365,0.999456,1
m__hmdb00511,m__hmdb00511,0.999442,1
bacterial non-heme ferritin,bacterial non-heme ferritin,0.999267,1
m__hmdb03357,m__hmdb03357,0.999185,1
bilophila_wadsworthia,bilophila_wadsworthia,0.999135,1
akkermansia_muciniphila,akkermansia_muciniphila,0.999097,1
histidine kinase,histidine kinase,0.99908,1
glucose-6-phosphate dehydrogenase nadp+,glucose-6-phosphate dehydrogenase nadp+,0.99905,1
acetyl-coa c-acetyltransferase,acetyl-coa c-acetyltransferase,0.999022,1
m__hmdb00019,m__hmdb00019,0.998987,1
barnesiella_intestinihominis,barnesiella_intestinihominis,0.998972,1
2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,0.998965,1
parabacteroides_unclassified,parabacteroides_unclassified,0.998961,1
holdemania_filiformis,holdemania_filiformis,0.998903,1
m__hmdb00764,m__hmdb00764,0.998875,1
alistipes_finegoldii,alistipes_finegoldii,0.998866,1
s-ribosylhomocysteine lyase,s-ribosylhomocysteine lyase,0.998846,1
bifidobacterium_longum,bifidobacterium_longum,0.998805,1
m__hmdb00194,m__hmdb00194,0.998781,1
m__hmdb00806,m__hmdb00806,0.998716,1
m__hmdb00063,m__hmdb00063,0.998705,1
clostridium_clostridioforme,clostridium_clostridioforme,0.998695,1
m__hmdb00956,m__hmdb00956,0.998687,1
glutamate dehydrogenase,glutamate dehydrogenase,0.998663,1
m__hmdb00014,m__hmdb00014,0.998632,1
dorea_unclassified,dorea_unclassified,0.998599,1
pyridoxal 5-phosphate synthase,pyridoxal 5-phosphate synthase,0.998498,1
formate-c-acetyltransferase-activating enzyme,formate-c-acetyltransferase-activating enzyme,0.998389,1
m__hmdb00118,m__hmdb00118,0.998376,1
endopeptidase clp,endopeptidase clp,0.998354,1
dorea_formicigenerans,dorea_formicigenerans,0.998319,1
coprococcus_comes,coprococcus_comes,0.998311,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.998256,1
eggerthella_unclassified,eggerthella_unclassified,0.998181,1
bacteroides_fragilis,bacteroides_fragilis,0.99815,1
4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,0.998148,1
anaerostipes_hadrus,anaerostipes_hadrus,0.998103,1
m__hmdb04193,m__hmdb04193,0.9981,1
alistipes_shahii,alistipes_shahii,0.99809,1
lachnospiraceae_bacterium_1_1_57faa,lachnospiraceae_bacterium_1_1_57faa,0.998056,1
clostridium_leptum,clostridium_leptum,0.998037,1
odoribacter_splanchnicus,odoribacter_splanchnicus,0.998033,1
3-hydroxyacyl-coa dehydrogenase,3-hydroxyacyl-coa dehydrogenase,0.99784,1
roseburia_hominis,roseburia_hominis,0.997807,1
bacteroides_ovatus,bacteroides_ovatus,0.997764,1
lachnospiraceae_bacterium_3_1_46faa,lachnospiraceae_bacterium_3_1_46faa,0.997626,1
bacteroides_stercoris,bacteroides_stercoris,0.997598,1
3-hydroxybutyryl-coa dehydrogenase,3-hydroxybutyryl-coa dehydrogenase,0.997584,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.997552,1
m__hmdb00101,m__hmdb00101,0.997549,1
alistipes_putredinis,alistipes_putredinis,0.997534,1
superoxide dismutase,superoxide dismutase,0.997494,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.997461,1
enoyl-coa hydratase,enoyl-coa hydratase,0.997428,1
m__hmdb00269,m__hmdb00269,0.997416,1
glycerate 3-kinase,glycerate 3-kinase,0.997294,1
nadh dehydrogenase quinone,nadh dehydrogenase quinone,0.997254,1
prevotella_copri,prevotella_copri,0.997229,1
adenosylmethionine--8-amino-7-oxononanoate transaminase,adenosylmethionine--8-amino-7-oxononanoate transaminase,0.997135,1
eubacterium_ventriosum,eubacterium_ventriosum,0.997106,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.996917,1
faecalibacterium_prausnitzii,faecalibacterium_prausnitzii,0.996858,1
eubacterium_hallii,eubacterium_hallii,0.996853,1
bacteroides_caccae,bacteroides_caccae,0.99685,1
m__hmdb00873,m__hmdb00873,0.996691,1
ruminococcus_obeum,ruminococcus_obeum,0.996635,1
subdoligranulum_unclassified,subdoligranulum_unclassified,0.996585,1
m__hmdb00239,m__hmdb00239,0.996501,1
m__hmdb00812,m__hmdb00812,0.996331,1
eubacterium_siraeum,eubacterium_siraeum,0.996247,1
propionibacterium_acnes,propionibacterium_acnes,0.996211,1
sutterella_wadsworthensis,sutterella_wadsworthensis,0.996203,1
clostridium_bolteae,clostridium_bolteae,0.995972,1
ruminococcus_callidus,ruminococcus_callidus,0.995855,1
bifidobacterium_adolescentis,bifidobacterium_adolescentis,0.99582,1
burkholderiales_bacterium_1_1_47,burkholderiales_bacterium_1_1_47,0.995492,1
bacteroides_uniformis,bacteroides_uniformis,0.995399,1
m__hmdb01547,m__hmdb01547,0.995351,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.994859,1
escherichia_coli,escherichia_coli,0.99475,1
dihydroorotate dehydrogenase quinone,dihydroorotate dehydrogenase quinone,0.994724,1
cytochrome-c oxidase,cytochrome-c oxidase,0.994612,1
veillonella_atypica,veillonella_atypica,0.994282,1
streptococcus_parasanguinis,streptococcus_parasanguinis,0.994176,1
parabacteroides_distasonis,parabacteroides_distasonis,0.993958,1
fructose-bisphosphate aldolase,fructose-bisphosphate aldolase,0.993669,1
eubacterium_rectale,eubacterium_rectale,0.993643,1
clostridium_citroniae,clostridium_citroniae,0.992874,1
fe3+-transporting atpase,fe3+-transporting atpase,0.992565,1
serine o-acetyltransferase,serine o-acetyltransferase,0.992497,1
clostridium_bartlettii,clostridium_bartlettii,0.992423,1
bacteroides_faecis,bacteroides_faecis,0.992195,1
bacteroides_massiliensis,bacteroides_massiliensis,0.991592,1
streptococcus_salivarius,streptococcus_salivarius,0.99132,1
uridine kinase,uridine kinase,0.991275,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.990694,1
escherichia_unclassified,escherichia_unclassified,0.990599,1
c2likevirus_unclassified,c2likevirus_unclassified,0.989514,1
bacteroides_vulgatus,bacteroides_vulgatus,0.989141,1
eubacterium_eligens,eubacterium_eligens,0.987974,1
roseburia_intestinalis,roseburia_intestinalis,0.98794,1
clostridium_symbiosum,clostridium_symbiosum,0.987022,1
mitsuokella_unclassified,mitsuokella_unclassified,0.985843,1
3-hydroxyacyl-acyl-carrier-protein dehydratase,3-hydroxyacyl-acyl-carrier-protein dehydratase,0.985536,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.983447,1
dna helicase,dna helicase,0.982897,1
bacteroides_dorei,bacteroides_dorei,0.979439,1
oscillibacter_unclassified,oscillibacter_unclassified,0.978537,1
glutamate dehydrogenase nadp+,glutamate dehydrogenase nadp+,0.973801,1
roseburia_inulinivorans,roseburia_inulinivorans,0.973066,1
ribulose-bisphosphate carboxylase,ribulose-bisphosphate carboxylase,0.972413,1
roseburia_unclassified,roseburia_unclassified,0.951827,1
veillonella_parvula,veillonella_parvula,0.941137,1
coprobacillus_unclassified,coprobacillus_unclassified,0.939764,1
clostridium_hathewayi,clostridium_hathewayi,0.917323,1
m__hmdb00452,faecalibacterium_prausnitzii,1.463803,0.6
flavonifractor_plautii,phosphopyruvate hydratase,0.855969,1
m__hmdb00195,roseburia_unclassified,0.827244,1
m__hmdb00630,veillonella_dispar,-0.806638,1
lachnospiraceae_bacterium_2_1_58faa,16s rrna cytosine1402-n4-methyltransferase,-0.794505,1
pseudomonas_unclassified,3-hydroxyacyl-acyl-carrier-protein dehydratase,-0.75206,1
pseudomonas_unclassified,dna-directed rna polymerase,-0.555594,1
pseudomonas_unclassified,triose-phosphate isomerase,-0.542063,1
m__hmdb03464,ruminococcus_gnavus,0.531982,1
m__hmdb00873,roseburia_inulinivorans,0.489954,1
pseudomonas_unclassified,l-serine ammonia-lyase,-0.437734,1
m__hmdb00812,alistipes_onderdonkii,1.418087,0.3
erysipelotrichaceae_bacterium_6_1_45,enoyl-coa hydratase,0.395821,1
m__hmdb00262,faecalibacterium_prausnitzii,0.488773,0.8
m__hmdb00452,subdoligranulum_unclassified,-0.614443,0.6
mitsuokella_unclassified,beta-ketoacyl-acyl-carrier-protein synthase ii,-0.887732,0.4
m__hmdb00094,roseburia_unclassified,0.347845,1
clostridiaceae_bacterium_jc118,4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,0.385334,0.9
m__hmdb00020,peptostreptococcaceae_noname_unclassified,0.319763,1
m__hmdb00699,sutterella_wadsworthensis,-0.295032,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00101,2.626582,0.1
lachnospiraceae_bacterium_8_1_57faa,16s rrna cytosine1402-n4-methyltransferase,0.315973,0.8
lachnospiraceae_bacterium_3_1_57faa_ct1,transaldolase,0.251352,1
eggerthella_unclassified,phosphopyruvate hydratase,-0.765674,0.3
pseudomonas_unclassified,adenosylmethionine--8-amino-7-oxononanoate transaminase,-0.216806,1
m__hmdb00195,akkermansia_muciniphila,0.233778,0.9
dorea_unclassified,4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,0.226307,0.9
pseudomonas_unclassified,nadh dehydrogenase quinone,0.223779,0.9
eubacterium_eligens,methionyl aminopeptidase,-0.200782,1
m__hmdb00156,lachnospiraceae_bacterium_1_1_57faa,0.199375,1
m__hmdb01169,clostridium_hathewayi,0.487201,0.4
m__hmdb00452,haemophilus_parainfluenzae,-0.242672,0.8
m__hmdb00262,dialister_invisus,0.191055,1
streptococcus_salivarius,serine o-acetyltransferase,0.183689,1
m__hmdb00195,prevotella_copri,0.252765,0.7
eggerthella_unclassified,shikimate kinase,-0.33339,0.5
m__hmdb00020,prevotella_copri,0.221446,0.7
eubacterium_ramulus,enoyl-coa hydratase,-0.150896,1
flavonifractor_plautii,phosphoenolpyruvate carboxykinase atp,-0.121974,1
