source,target,weigh,bootscore
mitsuokella_unclassified,rna helicase,43.642949,1
anaerotruncus_unclassified,bacteroides_cellulosilyticus,26.671429,1
anaerotruncus_unclassified,bacteroides_cellulosilyticus,-26.015395,1
holdemania_unclassified,m__hmdb00101,16.036036,1
clostridium_hathewayi,veillonella_parvula,4.559464,1
clostridium_hathewayi,veillonella_parvula,-4.472471,1
clostridium_symbiosum,roseburia_intestinalis,4.04667,1
clostridium_symbiosum,roseburia_intestinalis,-3.849724,1
eggerthella_unclassified,clostridium_hathewayi,4.635504,0.8
eggerthella_unclassified,clostridium_hathewayi,-4.353584,0.8
clostridium_hathewayi,roseburia_inulinivorans,-6.567219,0.5
clostridium_hathewayi,roseburia_inulinivorans,6.364407,0.5
anaerotruncus_colihominis,superoxide dismutase,3.372793,0.9
anaerostipes_hadrus,dialister_invisus,-4.506292,0.6
anaerotruncus_colihominis,bacteroides_caccae,-2.596044,1
anaerostipes_hadrus,methionyl aminopeptidase,2.212466,0.9
flavonifractor_plautii,ruminococcus_gnavus,1.803775,1
anaerostipes_hadrus,dialister_invisus,4.374055,0.4
streptococcus_parasanguinis,klebsiella_pneumoniae,1.58921,1
pseudomonas_unclassified,fructose-bisphosphate aldolase,-1.510205,1
lachnospiraceae_bacterium_2_1_58faa,eubacterium_rectale,1.48536,1
streptococcus_parasanguinis,klebsiella_pneumoniae,-1.446669,1
escherichia_unclassified,bacteroides_fragilis,-1.757023,0.8
escherichia_unclassified,bacteroides_fragilis,1.693821,0.8
pseudomonas_unclassified,rna helicase,-1.527481,0.8
mitsuokella_unclassified,lachnospiraceae_bacterium_7_1_58faa,3.046023,0.4
pseudomonas_unclassified,ribulose-bisphosphate carboxylase,-1.190125,1
mitsuokella_unclassified,lachnospiraceae_bacterium_7_1_58faa,-2.961666,0.4
flavonifractor_plautii,flavonifractor_plautii,1.028622,1
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,1.023785,1
veillonella_atypica,veillonella_atypica,1.021129,1
m__hmdb00036,m__hmdb00036,1.018728,1
veillonella_dispar,veillonella_dispar,1.017874,1
peptostreptococcaceae_noname_unclassified,peptostreptococcaceae_noname_unclassified,1.017693,1
l-lactate dehydrogenase,l-lactate dehydrogenase,1.015884,1
collinsella_aerofaciens,collinsella_aerofaciens,1.01447,1
dihydrolipoyl dehydrogenase,dihydrolipoyl dehydrogenase,1.011907,1
dephospho-coa kinase,dephospho-coa kinase,1.009165,1
m__hmdb00247,m__hmdb00247,1.009145,1
m__hmdb00138,m__hmdb00138,1.007502,1
phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,1.006745,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,1.006469,1
m__hmdb00030,m__hmdb00030,1.005981,1
m__hmdb00637,m__hmdb00637,1.005911,1
streptococcus_thermophilus,streptococcus_thermophilus,1.00574,1
aspartate ammonia-lyase,aspartate ammonia-lyase,1.005139,1
rna helicase,rna helicase,1.00499,1
m__hmdb00043,m__hmdb00043,1.004973,1
phosphopyruvate hydratase,phosphopyruvate hydratase,1.004942,1
l-serine ammonia-lyase,l-serine ammonia-lyase,1.004789,1
m__hmdb00262,m__hmdb00262,1.004697,1
haemophilus_parainfluenzae,haemophilus_parainfluenzae,1.004537,1
phosphatidate cytidylyltransferase,phosphatidate cytidylyltransferase,1.004467,1
m__hmdb01991,m__hmdb01991,1.003876,1
m__hmdb00562,m__hmdb00562,1.003442,1
m__hmdb00452,m__hmdb00452,1.003248,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,3-methyl-2-oxobutanoate hydroxymethyltransferase,1.003174,1
m__hmdb10169,m__hmdb10169,1.002944,1
m__hmdb00174,m__hmdb00174,1.002932,1
protein-npi-phosphohistidine--sugar phosphotransferase,protein-npi-phosphohistidine--sugar phosphotransferase,1.002854,1
m__hmdb00715,m__hmdb00715,1.002816,1
alistipes_finegoldii,alistipes_finegoldii,1.002707,1
16s rrna cytosine1402-n4-methyltransferase,16s rrna cytosine1402-n4-methyltransferase,1.002636,1
m__hmdb02322,m__hmdb02322,1.002589,1
m__hmdb02329,m__hmdb02329,1.002576,1
bacteroides_thetaiotaomicron,bacteroides_thetaiotaomicron,1.002567,1
m__hmdb00020,m__hmdb00020,1.00246,1
clostridium_asparagiforme,clostridium_asparagiforme,1.0024,1
m__hmdb00098,m__hmdb00098,1.002229,1
m__hmdb00482,m__hmdb00482,1.00217,1
m__hmdb00195,m__hmdb00195,1.002134,1
m__hmdb00156,m__hmdb00156,1.002127,1
shikimate kinase,shikimate kinase,1.002116,1
m__hmdb00089,m__hmdb00089,1.002043,1
dialister_invisus,dialister_invisus,1.001936,1
phosphogluconate dehydrogenase nadp+-dependent decarboxylating,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,1.001882,1
pyridoxine 5-phosphate synthase,pyridoxine 5-phosphate synthase,1.001837,1
parabacteroides_unclassified,parabacteroides_unclassified,1.001827,1
m__hmdb01257,m__hmdb01257,1.001792,1
coprococcus_catus,coprococcus_catus,1.001788,1
m__hmdb00725,m__hmdb00725,1.00174,1
pyruvate carboxylase,pyruvate carboxylase,1.001733,1
anaerotruncus_unclassified,anaerotruncus_unclassified,1.001727,1
beta-lactamase,beta-lactamase,1.001706,1
m__hmdb00630,m__hmdb00630,1.001684,1
m__hmdb00870,m__hmdb00870,1.001676,1
ribulose-phosphate 3-epimerase,ribulose-phosphate 3-epimerase,1.001662,1
