source,target,weigh,bootscore
m__hmdb00019,m__hmdb00019,0.999989811,1
m__hmdb00812,m__hmdb00812,0.9999743451,1
m__hmdb00197,m__hmdb00197,0.9999733159,1
m__hmdb00063,m__hmdb00063,0.9999587652,1
m__hmdb00725,m__hmdb00725,0.9998566566,1
m__hmdb00156,m__hmdb00156,0.9997004064,1
m__hmdb00244,m__hmdb00244,0.9995952668,1
m__hmdb00139,m__hmdb00139,0.9995062513,1
m__hmdb00209,m__hmdb00209,0.9994730102,1
m__hmdb01895,m__hmdb01895,0.9994637335,1
m__hmdb00194,m__hmdb00194,0.9994104005,1
m__hmdb00094,m__hmdb00094,0.9993747593,1
m__hmdb00118,m__hmdb00118,0.9993551669,1
m__hmdb00452,m__hmdb00452,0.9992784585,1
m__hmdb01547,m__hmdb01547,0.9992584788,1
m__hmdb02123,m__hmdb02123,0.9992057155,1
m__hmdb00511,m__hmdb00511,0.998885996,1
m__hmdb00873,m__hmdb00873,0.9987591707,1
m__hmdb00715,m__hmdb00715,0.9987419401,1
m__hmdb00764,m__hmdb00764,0.9987100842,1
m__hmdb00222,m__hmdb00222,0.998608987,1
m__hmdb11718,m__hmdb11718,0.9984503069,1
m__hmdb03357,m__hmdb03357,0.9984336077,1
m__hmdb00020,m__hmdb00020,0.9983537407,1
m__hmdb00448,m__hmdb00448,0.9983114806,1
m__hmdb00870,m__hmdb00870,0.9981424923,1
m__hmdb03464,m__hmdb03464,0.9980487674,1
m__hmdb00195,m__hmdb00195,0.9979098844,1
m__hmdb00067,m__hmdb00067,0.9972380177,1
m__hmdb04193,m__hmdb04193,0.9972208773,1
m__hmdb00296,m__hmdb00296,0.9961850393,1
m__hmdb00262,m__hmdb00262,0.9959202198,1
m__hmdb00247,m__hmdb00247,0.9957766509,1
m__hmdb00482,m__hmdb00482,0.9957619942,1
m__hmdb00174,m__hmdb00174,0.9952423117,1
m__hmdb00510,m__hmdb00510,0.9945806333,1
m__hmdb00043,m__hmdb00043,0.9943889116,1
m__hmdb00956,m__hmdb00956,0.99415439,1
m__hmdb00039,m__hmdb00039,0.9933459668,1
m__hmdb10169,m__hmdb10169,0.983821509,1
2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,0.9819523198,1
m__hmdb00097,m__hmdb00097,0.9817555498,1
m__hmdb00806,m__hmdb00806,0.9815795456,1
m__hmdb01169,m__hmdb01169,0.9808740569,1
m__hmdb00128,m__hmdb00128,0.9798395864,1
m__hmdb00637,m__hmdb00637,0.9755753404,1
m__hmdb01149,m__hmdb01149,0.9751472015,1
m__hmdb00138,m__hmdb00138,0.9742714239,1
m__hmdb00014,m__hmdb00014,0.9739015306,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.973810253,1
m__hmdb00562,m__hmdb00562,0.9728345763,1
fe3+-transporting atpase,fe3+-transporting atpase,0.9687712364,1
clostridium_citroniae,dna helicase,0.9652348877,1
mitsuokella_unclassified,transaldolase,-0.9605700521,1
glycerate 3-kinase,glycerate 3-kinase,0.952168985,1
m__hmdb00269,m__hmdb00269,0.952168985,1
holdemania_unclassified,formate-c-acetyltransferase-activating enzyme,-0.9578798106,0.99
m__hmdb00619,m__hmdb00619,0.9419813105,1
m__hmdb00036,m__hmdb00036,0.9339724913,1
glycerol kinase,glycerol kinase,0.909336621,1
s-ribosylhomocysteine lyase,s-ribosylhomocysteine lyase,0.9087483163,1
propionibacterium_acnes,shikimate kinase,-0.9048419452,1
ribulose-bisphosphate carboxylase,ribulose-bisphosphate carboxylase,0.9016806143,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00089,-0.977727727,0.92
pseudomonas_unclassified,l-lactate dehydrogenase,-0.8972803239,1
m__hmdb00056,m__hmdb00056,0.8971006591,1
pseudomonas_unclassified,methylaspartate mutase,0.8833982766,1
m__hmdb00626,m__hmdb00626,0.8819635553,1
m__hmdb00289,m__hmdb00289,0.8642437227,1
m__hmdb00030,m__hmdb00030,0.8613061494,1
phosphatidate cytidylyltransferase,phosphatidate cytidylyltransferase,0.8595703248,1
holdemania_unclassified,thymidylate synthase,-0.884517932,0.97
m__hmdb00098,m__hmdb00098,0.854031474,1
m__hmdb00239,m__hmdb00239,0.8290868598,1
3-hydroxyacyl-acyl-carrier-protein dehydratase,3-hydroxyacyl-acyl-carrier-protein dehydratase,0.8253014167,1
erysipelotrichaceae_bacterium_6_1_45,peroxiredoxin,0.8136040165,1
eubacterium_ramulus,rna helicase,0.8129121601,1
clostridium_bartlettii,glyceraldehyde-3-phosphate dehydrogenase phosphorylating,-0.826876032,0.98
pseudomonas_unclassified,l-serine ammonia-lyase,-0.8021509674,1
beta-lactamase,beta-lactamase,0.7981494529,1
m__hmdb00699,m__hmdb00699,0.7974486244,1
holdemania_unclassified,glutamate dehydrogenase,-0.9620327902,0.82
dihydrolipoyl dehydrogenase,dihydrolipoyl dehydrogenase,0.7725232173,1
m__hmdb00630,m__hmdb00630,0.764976201,1
propionibacterium_acnes,hydroxylamine reductase,0.7530824761,1
preq1 synthase,preq1 synthase,0.7487387827,1
pseudomonas_unclassified,triose-phosphate isomerase,-0.7944903075,0.94
pseudomonas_unclassified,aspartate ammonia-lyase,0.7505790852,0.99
clostridiaceae_bacterium_jc118,4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,0.773812279,0.95
acetyl-coa c-acetyltransferase,acetyl-coa c-acetyltransferase,0.7301789393,1
pseudomonas_unclassified,protein-npi-phosphohistidine-sugar phosphotransferase,-0.9010107695,0.81
m__hmdb01232,m__hmdb01232,0.7153797503,1
pseudomonas_unclassified,ubiquinol oxidase electrogenic: non h+-transporting,0.7130353533,1
pseudomonas_unclassified,ribulose-phosphate 3-epimerase,0.6957684099,1
dihydroorotate dehydrogenase quinone,dihydroorotate dehydrogenase quinone,0.6917210134,1
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,0.6718927646,1
orotidine-5-phosphate decarboxylase,orotidine-5-phosphate decarboxylase,0.669676147,1
clostridiaceae_bacterium_jc118,aldose 1-epimerase,0.7997171707,0.82
clostridiaceae_bacterium_jc118,glutamate decarboxylase,-0.8677301226,0.75
veillonella_dispar,glucose-1-phosphate adenylyltransferase,0.6457423605,1
m__hmdb04610,m__hmdb04610,0.6409003461,1
uridine kinase,uridine kinase,0.6164025319,1
phosphoglycerate kinase,phosphoglycerate kinase,0.5975038123,1
pyridoxine 5-phosphate synthase,pyridoxine 5-phosphate synthase,0.5896781425,1
erysipelotrichaceae_bacterium_6_1_45,enoyl-coa hydratase,0.5884362825,1
lachnospiraceae_bacterium_1_1_57faa,methionyl aminopeptidase,0.5776992514,1
nadh dehydrogenase quinone,nadh dehydrogenase quinone,0.5654320381,1
m__hmdb01257,m__hmdb01257,0.5628678263,1
adenosylmethionine-8-amino-7-oxononanoate transaminase,adenosylmethionine-8-amino-7-oxononanoate transaminase,0.5613854833,1
anaerotruncus_colihominis,3-methyl-2-oxobutanoate hydroxymethyltransferase,0.5889365681,0.95
pyruvate carboxylase,pyruvate carboxylase,0.5528483982,1
ubiquinol oxidase electrogenic: non h+-transporting,m__hmdb00101,0.5672009151,0.96
m__hmdb01991,m__hmdb01991,0.540015229,1
clostridium_bartlettii,fructose-bisphosphate aldolase,0.5942773449,0.89
m__hmdb00251,m__hmdb00251,0.5228825531,1
eggerthella_unclassified,glucose-6-phosphate dehydrogenase nadp+,0.8035856313,0.63
ruminococcaceae_bacterium_d16,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,0.4974879623,1
hydroxylamine reductase,m__hmdb02322,-0.5210651337,0.94
glutamate dehydrogenase nadp+,glutamate dehydrogenase nadp+,0.4847349773,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb02329,-0.885227939,0.54
pseudomonas_unclassified,nadh,-0.5759170869,0.79
coprococcus_comes,16s rrna cytosine1402-n4-methyltransferase,0.4803030042,0.94
serine o-acetyltransferase,serine o-acetyltransferase,0.4490018588,1
pseudomonas_unclassified,pyridoxal 5-phosphate synthase glutamine hydrolyzing,-0.4564146117,0.98
bacterial non-heme ferritin,bacterial non-heme ferritin,0.4407579365,1
streptococcus_salivarius,serine o-acetyltransferase,0.4406369999,1
cytochrome-c oxidase,cytochrome-c oxidase,0.4398558621,1
streptococcus_salivarius,pyruvate carboxylase,-0.4276778592,0.98
bacteroides_eggerthii,pyridoxal 5-phosphate synthase,0.409906744,1
clostridiaceae_bacterium_jc118,endopeptidase clp,0.6989144306,0.57
lachnospiraceae_bacterium_5_1_63faa,2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,0.3951256516,1
disease state,streptococcus_parasanguinis,0.3833611508,1
age,streptococcus_parasanguinis,0.3833611508,1
