source,target,weigh,bootscore
m__hmdb00812,m__hmdb00812,0.9999733311,1
m__hmdb01547,m__hmdb01547,0.9997935137,1
m__hmdb00725,m__hmdb00725,0.9997266837,1
m__hmdb00063,m__hmdb00063,0.9995585954,1
m__hmdb00244,m__hmdb00244,0.9994082219,1
m__hmdb00452,m__hmdb00452,0.9993308326,1
m__hmdb00197,m__hmdb00197,0.9990895455,1
m__hmdb00511,m__hmdb00511,0.9988911179,1
m__hmdb00156,m__hmdb00156,0.9986623889,1
m__hmdb03357,m__hmdb03357,0.9985393269,1
m__hmdb00195,m__hmdb00195,0.9979682272,1
m__hmdb00019,m__hmdb00019,0.9977282923,1
m__hmdb00296,m__hmdb00296,0.9971917396,1
m__hmdb00482,m__hmdb00482,0.9963060742,1
m__hmdb00020,m__hmdb00020,0.9960850091,1
m__hmdb00118,m__hmdb00118,0.9960312059,1
m__hmdb11718,m__hmdb11718,0.9956096849,1
m__hmdb00510,m__hmdb00510,0.9949246058,1
m__hmdb00448,m__hmdb00448,0.9948773053,1
m__hmdb00209,m__hmdb00209,0.9939823252,1
m__hmdb00039,m__hmdb00039,0.9938455747,1
m__hmdb03464,m__hmdb03464,0.9930063152,1
m__hmdb00067,m__hmdb00067,0.9917304181,1
m__hmdb00764,m__hmdb00764,0.9904030627,1
m__hmdb00956,m__hmdb00956,0.9870886851,1
m__hmdb00365,m__hmdb00365,0.9869599776,1
m__hmdb00194,m__hmdb00194,0.9862777068,1
m__hmdb01895,m__hmdb01895,0.9855400388,1
m__hmdb10169,m__hmdb10169,0.9850644492,1
m__hmdb02123,m__hmdb02123,0.9829626535,1
m__hmdb01169,m__hmdb01169,0.9823448098,1
2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,0.9818353001,1
m__hmdb00043,m__hmdb00043,0.9807362053,1
m__hmdb00806,m__hmdb00806,0.9738331537,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9738174015,1
m__hmdb00094,m__hmdb00094,0.9733814269,1
m__hmdb00128,m__hmdb00128,0.9730576385,1
fe3+-transporting atpase,fe3+-transporting atpase,0.9687455277,1
m__hmdb00139,m__hmdb00139,0.9663775379,1
m__hmdb00562,m__hmdb00562,0.9648792534,1
clostridium_citroniae,dna helicase,0.9647907579,1
mitsuokella_unclassified,transaldolase,-0.960156115,1
m__hmdb00637,m__hmdb00637,0.9551506645,1
m__hmdb01149,m__hmdb01149,0.9528233891,1
glycerate 3-kinase,glycerate 3-kinase,0.9524799366,1
m__hmdb00619,m__hmdb00619,0.9510559624,1
holdemania_unclassified,formate-c-acetyltransferase-activating enzyme,-0.9575529526,0.99
m__hmdb00174,m__hmdb00174,0.9387241659,1
m__hmdb00036,m__hmdb00036,0.9345186126,1
m__hmdb00873,m__hmdb00873,0.9242046665,1
glycerol kinase,glycerol kinase,0.9102083637,1
s-ribosylhomocysteine lyase,s-ribosylhomocysteine lyase,0.9096239561,1
m__hmdb00870,m__hmdb00870,0.9069659511,1
m__hmdb04193,m__hmdb04193,0.9051659892,1
propionibacterium_acnes,shikimate kinase,-0.9051222806,1
ribulose-bisphosphate carboxylase,ribulose-bisphosphate carboxylase,0.902995916,1
pseudomonas_unclassified,l-lactate dehydrogenase,-0.8972623801,1
m__hmdb00262,m__hmdb00262,0.8915970949,1
m__hmdb00699,m__hmdb00699,0.8891462528,1
pseudomonas_unclassified,methylaspartate mutase,0.8833682237,1
m__hmdb00626,m__hmdb00626,0.881785836,1
dihydrolipoyl dehydrogenase,dihydrolipoyl dehydrogenase,0.8697803195,1
m__hmdb00222,m__hmdb00222,0.8633076876,1
phosphatidate cytidylyltransferase,phosphatidate cytidylyltransferase,0.8594382858,1
m__hmdb00097,m__hmdb00097,0.8592693835,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00089,-0.975787713,0.88
holdemania_unclassified,thymidylate synthase,-0.8841111914,0.97
m__hmdb00098,m__hmdb00098,0.8493829395,1
m__hmdb00247,m__hmdb00247,0.8474108111,1
3-hydroxyacyl-acyl-carrier-protein dehydratase,3-hydroxyacyl-acyl-carrier-protein dehydratase,0.8322949157,1
m__hmdb00014,m__hmdb00014,0.821219956,1
erysipelotrichaceae_bacterium_6_1_45,peroxiredoxin,0.8138443048,1
eubacterium_ramulus,rna helicase,0.8105111928,1
clostridium_bartlettii,glyceraldehyde-3-phosphate dehydrogenase phosphorylating,-0.8268104178,0.98
pseudomonas_unclassified,l-serine ammonia-lyase,-0.804611055,1
holdemania_unclassified,glutamate dehydrogenase,-0.9629645791,0.83
m__hmdb00715,m__hmdb00715,0.7990079831,1
beta-lactamase,beta-lactamase,0.7978185521,1
m__hmdb00630,m__hmdb00630,0.7615832738,1
propionibacterium_acnes,hydroxylamine reductase,0.7532648579,1
preq1 synthase,preq1 synthase,0.7504529764,1
m__hmdb02329,m__hmdb02329,0.7462762341,1
m__hmdb00030,m__hmdb00030,0.7460288933,1
pseudomonas_unclassified,aspartate ammonia-lyase,0.7516271736,0.99
eggerthella_unclassified,m__hmdb00289,-0.8891794486,0.83
pseudomonas_unclassified,triose-phosphate isomerase,-0.792303341,0.93
clostridiaceae_bacterium_jc118,4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,0.7707294244,0.95
m__hmdb00239,m__hmdb00239,0.7312054573,1
acetyl-coa c-acetyltransferase,acetyl-coa c-acetyltransferase,0.7207652114,1
m__hmdb00269,m__hmdb00269,0.7199413091,1
pseudomonas_unclassified,protein-npi-phosphohistidine-sugar phosphotransferase,-0.8998109141,0.8
m__hmdb01232,m__hmdb01232,0.7193359763,1
pseudomonas_unclassified,ubiquinol oxidase electrogenic: non h+-transporting,0.7130191541,1
pseudomonas_unclassified,ribulose-phosphate 3-epimerase,0.6957272244,1
dihydroorotate dehydrogenase quinone,dihydroorotate dehydrogenase quinone,0.692501437,1
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,0.6713771877,1
orotidine-5-phosphate decarboxylase,orotidine-5-phosphate decarboxylase,0.6694711149,1
clostridiaceae_bacterium_jc118,glutamate decarboxylase,-0.8676288543,0.75
clostridiaceae_bacterium_jc118,aldose 1-epimerase,0.8004562926,0.81
veillonella_dispar,glucose-1-phosphate adenylyltransferase,0.6457615915,1
uridine kinase,uridine kinase,0.616948571,1
phosphoglycerate kinase,phosphoglycerate kinase,0.613001203,1
bifidobacterium_longum,m__hmdb01991,0.6248121741,0.98
coprobacillus_unclassified,m__hmdb01257,-0.7840023923,0.77
pyridoxine 5-phosphate synthase,pyridoxine 5-phosphate synthase,0.5895758837,1
erysipelotrichaceae_bacterium_6_1_45,enoyl-coa hydratase,0.5869518521,1
lachnospiraceae_bacterium_1_1_57faa,methionyl aminopeptidase,0.5794267072,1
nadh dehydrogenase quinone,nadh dehydrogenase quinone,0.56890575,1
anaerotruncus_colihominis,3-methyl-2-oxobutanoate hydroxymethyltransferase,0.5986129462,0.95
adenosylmethionine-8-amino-7-oxononanoate transaminase,adenosylmethionine-8-amino-7-oxononanoate transaminase,0.5633059089,1
pyruvate carboxylase,pyruvate carboxylase,0.5525059598,1
clostridium_bartlettii,fructose-bisphosphate aldolase,0.5871923574,0.88
eggerthella_unclassified,glucose-6-phosphate dehydrogenase nadp+,0.8018243513,0.62
ruminococcaceae_bacterium_d16,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,0.4953368462,1
ubiquinol oxidase electrogenic: non h+-transporting,m__hmdb00101,0.5367058324,0.92
m__hmdb00251,m__hmdb00251,0.4868099774,1
glutamate dehydrogenase nadp+,glutamate dehydrogenase nadp+,0.4812959236,1
coprococcus_comes,16s rrna cytosine1402-n4-methyltransferase,0.474584433,0.95
pseudomonas_unclassified,pyridoxal 5-phosphate synthase glutamine hydrolyzing,-0.4588516819,0.98
serine o-acetyltransferase,serine o-acetyltransferase,0.4489043084,1
pseudomonas_unclassified,nadh,-0.5713486064,0.78
streptococcus_salivarius,serine o-acetyltransferase,0.4409169795,1
bacterial non-heme ferritin,bacterial non-heme ferritin,0.4406709423,1
cytochrome-c oxidase,cytochrome-c oxidase,0.4402673738,1
m__hmdb04610,m__hmdb04610,0.4214754433,1
streptococcus_salivarius,pyruvate carboxylase,-0.4275550824,0.98
bacteroides_eggerthii,pyridoxal 5-phosphate synthase,0.4094521368,1
lachnospiraceae_bacterium_5_1_63faa,2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,0.3939910489,1
3-hydroxyacyl-coa dehydrogenase,3-hydroxyacyl-coa dehydrogenase,0.3896198717,1
disease state,streptococcus_parasanguinis,0.3828728595,1
age,streptococcus_parasanguinis,0.3828728595,1
streptococcus_thermophilus,peptidylprolyl isomerase,0.55088387,0.69
dna-directed rna polymerase,dna-directed rna polymerase,0.3758289959,1
methionyl aminopeptidase,methionyl aminopeptidase,0.3735156381,1
clostridiaceae_bacterium_jc118,endopeptidase clp,0.6889104892,0.54
pyridoxal 5-phosphate synthase glutamine hydrolyzing,pyridoxal 5-phosphate synthase glutamine hydrolyzing,0.3710167242,1
haemophilus_parainfluenzae,phosphoglycerate kinase,0.3657882088,1
lachnospiraceae_bacterium_3_1_57faa_ct1,pyridoxine 5-phosphate synthase,-0.3697980693,0.98
lachnospiraceae_bacterium_5_1_63faa,glutamate dehydrogenase nadp+,0.4734070061,0.76
2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,0.3569675232,1
parabacteroides_distasonis,m__hmdb04610,0.3636419404,0.98
phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,0.3559195401,1
barnesiella_intestinihominis,uridine kinase,0.3489467969,1
lachnospiraceae_bacterium_5_1_63faa,adenosylmethionine-8-amino-7-oxononanoate transaminase,0.4189866233,0.83
eubacterium_ramulus,enoyl-coa hydratase,-0.3420311279,1
