source,target,weigh,bootscore
m__hmdb00019,m__hmdb00019,0.9999898116,1
m__hmdb00197,m__hmdb00197,0.999974296,1
m__hmdb00812,m__hmdb00812,0.99997333,1
m__hmdb00063,m__hmdb00063,0.9999587628,1
m__hmdb00725,m__hmdb00725,0.9998566541,1
m__hmdb00156,m__hmdb00156,0.999698517,1
m__hmdb00244,m__hmdb00244,0.9995943133,1
m__hmdb00139,m__hmdb00139,0.9995072296,1
m__hmdb00209,m__hmdb00209,0.9994760087,1
m__hmdb01895,m__hmdb01895,0.999464846,1
m__hmdb00194,m__hmdb00194,0.9994083827,1
m__hmdb00094,m__hmdb00094,0.9993802131,1
m__hmdb00118,m__hmdb00118,0.9993531956,1
m__hmdb00452,m__hmdb00452,0.9992803887,1
m__hmdb01547,m__hmdb01547,0.9992464066,1
m__hmdb02123,m__hmdb02123,0.9991952872,1
m__hmdb00511,m__hmdb00511,0.9988862209,1
m__hmdb00873,m__hmdb00873,0.9987779255,1
m__hmdb00715,m__hmdb00715,0.9987448735,1
m__hmdb00764,m__hmdb00764,0.9986884381,1
m__hmdb00222,m__hmdb00222,0.9986304511,1
m__hmdb03357,m__hmdb03357,0.9985217201,1
m__hmdb11718,m__hmdb11718,0.99845707,1
m__hmdb00020,m__hmdb00020,0.9983559223,1
m__hmdb00448,m__hmdb00448,0.9983297779,1
m__hmdb00870,m__hmdb00870,0.9981247915,1
m__hmdb03464,m__hmdb03464,0.9980584812,1
m__hmdb00195,m__hmdb00195,0.9979186223,1
m__hmdb00067,m__hmdb00067,0.9972739134,1
m__hmdb04193,m__hmdb04193,0.9971958942,1
m__hmdb00296,m__hmdb00296,0.9961785522,1
m__hmdb00482,m__hmdb00482,0.9959374175,1
m__hmdb00262,m__hmdb00262,0.9958816463,1
m__hmdb00247,m__hmdb00247,0.9957495455,1
m__hmdb00174,m__hmdb00174,0.9952607464,1
m__hmdb00510,m__hmdb00510,0.994476828,1
m__hmdb00043,m__hmdb00043,0.9944305585,1
m__hmdb00956,m__hmdb00956,0.9941885145,1
m__hmdb00039,m__hmdb00039,0.9934112505,1
m__hmdb10169,m__hmdb10169,0.98377181,1
2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,0.9818104357,1
m__hmdb00097,m__hmdb00097,0.981710965,1
m__hmdb00806,m__hmdb00806,0.9816499377,1
m__hmdb01169,m__hmdb01169,0.9808702121,1
m__hmdb00128,m__hmdb00128,0.9798371915,1
m__hmdb00269,m__hmdb00269,0.9757751639,1
m__hmdb00637,m__hmdb00637,0.9755491378,1
m__hmdb01149,m__hmdb01149,0.9751044223,1
m__hmdb00138,m__hmdb00138,0.9743708566,1
m__hmdb00014,m__hmdb00014,0.9740236576,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9738200291,1
m__hmdb00562,m__hmdb00562,0.9730860294,1
fe3+-transporting atpase,fe3+-transporting atpase,0.9687410552,1
clostridium_citroniae,dna helicase,0.9652422392,1
mitsuokella_unclassified,transaldolase,-0.9605476622,1
glycerate 3-kinase,glycerate 3-kinase,0.9522497508,1
holdemania_unclassified,formate-c-acetyltransferase-activating enzyme,-0.9555684987,0.99
m__hmdb00619,m__hmdb00619,0.9408605564,1
m__hmdb00036,m__hmdb00036,0.9337112967,1
glycerol kinase,glycerol kinase,0.909653192,1
s-ribosylhomocysteine lyase,s-ribosylhomocysteine lyase,0.9085433326,1
propionibacterium_acnes,shikimate kinase,-0.9049422215,1
ribulose-bisphosphate carboxylase,ribulose-bisphosphate carboxylase,0.9025555254,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00089,-0.9777282066,0.92
pseudomonas_unclassified,l-lactate dehydrogenase,-0.8972691329,1
