source,target,weigh,bootscore
m__hmdb00812,m__hmdb00812,0.9999743573,1
m__hmdb01547,m__hmdb01547,0.9997935484,1
m__hmdb00725,m__hmdb00725,0.9997276918,1
m__hmdb00063,m__hmdb00063,0.9995822292,1
m__hmdb00244,m__hmdb00244,0.9994122335,1
m__hmdb00452,m__hmdb00452,0.9993328767,1
m__hmdb00197,m__hmdb00197,0.9990895419,1
m__hmdb00511,m__hmdb00511,0.9988851282,1
m__hmdb00156,m__hmdb00156,0.9986457247,1
m__hmdb03357,m__hmdb03357,0.9986407691,1
m__hmdb00195,m__hmdb00195,0.9979692001,1
m__hmdb00019,m__hmdb00019,0.9977304542,1
m__hmdb00296,m__hmdb00296,0.9972126664,1
m__hmdb00482,m__hmdb00482,0.9962763325,1
m__hmdb00020,m__hmdb00020,0.9960873314,1
m__hmdb00118,m__hmdb00118,0.9960772942,1
m__hmdb11718,m__hmdb11718,0.9956143999,1
m__hmdb00510,m__hmdb00510,0.9949522598,1
m__hmdb00448,m__hmdb00448,0.9948388566,1
m__hmdb00209,m__hmdb00209,0.9940645187,1
m__hmdb00039,m__hmdb00039,0.9939432638,1
m__hmdb03464,m__hmdb03464,0.9929092637,1
m__hmdb00067,m__hmdb00067,0.991809309,1
m__hmdb00764,m__hmdb00764,0.9877442191,1
m__hmdb00956,m__hmdb00956,0.9871100755,1
m__hmdb00365,m__hmdb00365,0.9868940723,1
m__hmdb00194,m__hmdb00194,0.9862264158,1
m__hmdb01895,m__hmdb01895,0.9855635944,1
m__hmdb10169,m__hmdb10169,0.984983211,1
m__hmdb02123,m__hmdb02123,0.9830460194,1
m__hmdb01169,m__hmdb01169,0.9823623483,1
2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,0.9817878855,1
m__hmdb00043,m__hmdb00043,0.9803290852,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9738179497,1
m__hmdb00806,m__hmdb00806,0.9735950932,1
m__hmdb00094,m__hmdb00094,0.9732502618,1
