source,target,weigh,bootscore
m__hmdb00019,roseburia_hominis,5274.268084,0.89
m__hmdb00511,streptococcus_thermophilus,-1520.646218,1
m__hmdb00511,sutterella_wadsworthensis,1492.92157,0.92
m__hmdb00511,dorea_unclassified,-1096.373735,1
m__hmdb00511,escherichia_unclassified,-1031.693365,1
m__hmdb00725,clostridium_bolteae,1111.098367,0.86
m__hmdb00511,bacteroides_uniformis,-886.607821,1
m__hmdb00511,escherichia_coli,-866.050318,1
m__hmdb00511,veillonella_unclassified,-816.427862,1
m__hmdb00511,bacteroides_dorei,-749.609935,1
m__hmdb00511,collinsella_aerofaciens,-650.174675,1
m__hmdb00511,ruminococcaceae_bacterium_d16,-533.19079,1
m__hmdb00511,ruminococcus_torques,-529.772415,1
m__hmdb00511,anaerostipes_hadrus,-514.85844,1
m__hmdb00244,holdemania_unclassified,389.176918,0.93
m__hmdb00511,streptococcus_salivarius,322.453317,0.96
m__hmdb00511,dialister_invisus,-302.405823,1
m__hmdb03464,peptostreptococcaceae_noname_unclassified,-302.09845,1
m__hmdb00209,clostridium_symbiosum,-392.535929,0.72
m__hmdb00511,bacteroides_caccae,284.407967,0.82
m__hmdb00511,roseburia_unclassified,-235.704501,0.96
m__hmdb00482,sutterella_wadsworthensis,-240.413459,0.92
m__hmdb03464,klebsiella_pneumoniae,-232.584854,0.93
m__hmdb00139,haemophilus_parainfluenzae,-363.612019,0.58
m__hmdb00094,clostridium_citroniae,-314.507807,0.64
m__hmdb01169,alistipes_shahii,581.624996,0.34
m__hmdb00482,streptococcus_thermophilus,205.094499,0.96
m__hmdb00020,peptostreptococcaceae_noname_unclassified,192.458376,1
m__hmdb00511,eubacterium_siraeum,189.055845,1
m__hmdb00098,eubacterium_ventriosum,181.429547,0.98
m__hmdb00511,bacteroides_cellulosilyticus,209.725143,0.81
m__hmdb00482,dorea_unclassified,160.291285,1
m__hmdb00482,escherichia_unclassified,151.946799,0.98
m__hmdb00511,parabacteroides_distasonis,145.905675,0.96
m__hmdb00511,dorea_formicigenerans,211.568926,0.66
m__hmdb00482,bacteroides_uniformis,136.94714,1
m__hmdb00511,veillonella_parvula,-155.48773,0.86
m__hmdb00699,lachnospiraceae_bacterium_8_1_57faa,185.987821,0.71
m__hmdb01232,bacteroides_finegoldii,-196.798322,0.67
m__hmdb11718,bifidobacterium_longum,-127.544635,1
m__hmdb00482,veillonella_unclassified,117.334502,1
m__hmdb00511,clostridium_symbiosum,406.826585,0.27
m__hmdb00174,parabacteroides_unclassified,-109.617446,0.96
m__hmdb00174,ruminococcus_gnavus,-104.836448,0.99
m__hmdb00482,collinsella_aerofaciens,101.95188,1
m__hmdb00873,subdoligranulum_unclassified,-103.14852,0.98
m__hmdb00209,lachnospiraceae_bacterium_3_1_57faa_ct1,-162.853562,0.62
m__hmdb03464,bacteroides_thetaiotaomicron,-135.216833,0.73
m__hmdb03464,mitsuokella_unclassified,-110.023479,0.87
m__hmdb00174,streptococcus_parasanguinis,-85.02515,1
m__hmdb00812,roseburia_intestinalis,745.158217,0.11
m__hmdb00262,bacteroides_vulgatus,-91.947632,0.89
m__hmdb00482,anaerostipes_hadrus,83.059974,0.95
m__hmdb00482,ruminococcus_torques,81.628402,0.95
m__hmdb00244,clostridium_clostridioforme,222.833431,0.34
m__hmdb00482,escherichia_coli,105.608373,0.69
m__hmdb00448,clostridiales_bacterium_1_7_47faa,68.027051,0.99
m__hmdb00094,akkermansia_muciniphila,-192.523815,0.34
m__hmdb00174,streptococcus_salivarius,-64.030133,0.99
m__hmdb00812,eubacterium_siraeum,612.223439,0.1
m__hmdb00482,ruminococcaceae_bacterium_d16,67.493509,0.85
m__hmdb00174,dorea_formicigenerans,-60.111549,0.93
m__hmdb00156,roseburia_hominis,-115.225651,0.47
m__hmdb00511,eubacterium_hallii,102.777667,0.51
m__hmdb00174,bacteroides_xylanisolvens,-60.455486,0.86
m__hmdb00244,eggerthella_unclassified,168.077989,0.3
m__hmdb00262,coprococcus_comes,-68.292184,0.73
m__hmdb00139,ruminococcus_bromii,129.910499,0.38
m__hmdb00209,bacteroides_ovatus,-106.74183,0.44
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00089,-48.899986,0.92
m__hmdb00806,parabacteroides_unclassified,40.285134,1
m__hmdb00262,veillonella_parvula,-74.904734,0.53
