source,target,weigh,bootscore
m__hmdb00511,streptococcus_thermophilus,-756.392318,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00089,-48.723332,0.91
m__hmdb00482,streptococcus_thermophilus,36.501254,0.15
ubiquinol oxidase electrogenic: non h+-transporting,m__hmdb00101,2.685639,0.95
serine o-acetyltransferase,serine o-acetyltransferase,1.486811,1
methionyl aminopeptidase,methionyl aminopeptidase,1.345016,1
hydroxylamine reductase,m__hmdb02322,-1.321369,0.86
aspartate ammonia-lyase,aspartate ammonia-lyase,1.127923,1
m__hmdb00036,m__hmdb00036,1.108855,1
streptococcus_thermophilus,streptococcus_thermophilus,1.097348,1
m__hmdb00511,m__hmdb00511,1.074712,1
m__hmdb00174,m__hmdb00174,1.071384,1
m__hmdb00482,m__hmdb00482,1.069777,1
m__hmdb00020,m__hmdb00020,1.068178,1
methylaspartate mutase,methylaspartate mutase,1.058786,1
m__hmdb00089,m__hmdb00089,1.052296,1
m__hmdb00637,m__hmdb00637,1.051609,1
m__hmdb00365,m__hmdb00365,1.046471,1
m__hmdb00956,m__hmdb00956,1.043992,1
m__hmdb00630,m__hmdb00630,1.042623,1
m__hmdb00138,m__hmdb00138,1.041544,1
m__hmdb00806,m__hmdb00806,1.039015,1
m__hmdb00156,m__hmdb00156,1.037928,1
m__hmdb02329,m__hmdb02329,1.025548,1
m__hmdb00097,m__hmdb00097,1.020547,1
m__hmdb01169,m__hmdb01169,1.020473,1
m__hmdb01232,m__hmdb01232,1.020368,1
m__hmdb00244,m__hmdb00244,1.017875,1
m__hmdb00562,m__hmdb00562,1.016524,1
beta-lactamase,beta-lactamase,1.016059,1
m__hmdb00289,m__hmdb00289,1.015102,1
m__hmdb00197,m__hmdb00197,1.014287,1
m__hmdb00118,m__hmdb00118,1.013229,1
triose-phosphate isomerase,triose-phosphate isomerase,1.013025,1
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,1.01118,1
m__hmdb00262,m__hmdb00262,1.010593,1
m__hmdb00448,m__hmdb00448,1.009027,1
glucose-6-phosphate dehydrogenase nadp+,glucose-6-phosphate dehydrogenase nadp+,1.00878,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,3-methyl-2-oxobutanoate hydroxymethyltransferase,1.008247,1
histidine kinase,histidine kinase,1.007866,1
ubiquinol oxidase electrogenic: non h+-transporting,ubiquinol oxidase electrogenic: non h+-transporting,1.005349,1
m__hmdb00139,m__hmdb00139,1.004186,1
m__hmdb00098,m__hmdb00098,1.004026,1
pyridoxine 5-phosphate synthase,pyridoxine 5-phosphate synthase,1.002204,1
transaldolase,transaldolase,1.001281,1
m__hmdb00699,m__hmdb00699,1.001162,1
phosphogluconate dehydrogenase nadp+-dependent decarboxylating,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,0.999808,1
aldose 1-epimerase,aldose 1-epimerase,0.999305,1
m__hmdb00056,m__hmdb00056,0.997301,1
ribulose-phosphate 3-epimerase,ribulose-phosphate 3-epimerase,0.995566,1
m__hmdb00194,m__hmdb00194,0.995,1
fructose-bisphosphate aldolase,fructose-bisphosphate aldolase,0.994934,1
orotidine-5-phosphate decarboxylase,orotidine-5-phosphate decarboxylase,0.991822,1
m__hmdb01991,m__hmdb01991,0.991749,1
3-hydroxybutyryl-coa dehydrogenase,3-hydroxybutyryl-coa dehydrogenase,0.991289,1
m__hmdb00725,m__hmdb00725,0.990651,1
3-hydroxyacyl-coa dehydrogenase,3-hydroxyacyl-coa dehydrogenase,0.990227,1
m__hmdb01149,m__hmdb01149,0.988413,1
peptidylprolyl isomerase,peptidylprolyl isomerase,0.988094,1
