source,target,weigh,bootscore
m__hmdb00812,ruminococcaceae_bacterium_d16,-20697.42292,0.97
m__hmdb00812,prevotella_copri,-18203.091719,0.98
m__hmdb00812,eubacterium_siraeum,-26794.843984,0.66
m__hmdb00812,dorea_unclassified,-17372.831772,0.53
m__hmdb00812,lachnospiraceae_bacterium_7_1_58faa,-10468.380298,0.73
m__hmdb00812,bacteroides_eggerthii,-10488.065391,0.62
m__hmdb00812,erysipelotrichaceae_bacterium_6_1_45,-9152.63632,0.71
m__hmdb00812,haemophilus_parainfluenzae,-9928.979052,0.65
m__hmdb00812,parabacteroides_merdae,-8614.792501,0.61
m__hmdb00812,akkermansia_muciniphila,-10256.266307,0.49
m__hmdb00812,parabacteroides_distasonis,-7936.990408,0.56
m__hmdb00812,lachnospiraceae_bacterium_5_1_63faa,-8075.957776,0.55
m__hmdb00812,alistipes_shahii,-9134.423836,0.43
m__hmdb00511,streptococcus_thermophilus,-3867.716708,0.98
m__hmdb00812,bacteroides_uniformis,-8613.071674,0.38
m__hmdb00812,parasutterella_excrementihominis,-6078.563693,0.48
m__hmdb00812,coprococcus_catus,-6524.433922,0.38
m__hmdb00511,sutterella_wadsworthensis,2107.406582,1
m__hmdb00511,clostridium_symbiosum,1648.676274,1
m__hmdb00812,flavonifractor_plautii,-4195.186061,0.34
m__hmdb00812,subdoligranulum_unclassified,-4965.260624,0.28
m__hmdb03357,alistipes_putredinis,-3294.002251,0.4
m__hmdb00812,veillonella_parvula,-5483.057507,0.21
m__hmdb00812,burkholderiales_bacterium_1_1_47,-3607.186864,0.3
m__hmdb00812,anaerostipes_hadrus,-4686.896672,0.22
m__hmdb03357,akkermansia_muciniphila,-3553.217741,0.28
m__hmdb00812,ruminococcus_callidus,-3264.516626,0.3
m__hmdb00812,bifidobacterium_longum,-4443.638783,0.21
m__hmdb00812,clostridiaceae_bacterium_jc118,-3035.316836,0.3
m__hmdb00511,streptococcus_salivarius,886.757113,1
m__hmdb00511,bacteroides_xylanisolvens,903.672901,0.98
m__hmdb00511,streptococcus_parasanguinis,762.43634,1
m__hmdb00511,dorea_unclassified,-1347.424588,0.46
m__hmdb00139,bacteroides_vulgatus,684.645633,0.79
m__hmdb00482,streptococcus_thermophilus,546.004332,0.98
m__hmdb00812,bacteroides_faecis,-2781.927265,0.19
m__hmdb00139,bacteroides_ovatus,729.726956,0.71
m__hmdb00812,anaerotruncus_unclassified,-2892.11252,0.16
m__hmdb00812,bacteroides_massiliensis,-2218.41989,0.2
m__hmdb00812,dialister_invisus,-2832.837079,0.15
m__hmdb00511,parabacteroides_unclassified,671.701932,0.55
m__hmdb00812,bacteroides_vulgatus,-2419.863391,0.14
m__hmdb00699,odoribacter_splanchnicus,408.704754,0.82
m__hmdb00511,dorea_formicigenerans,342.504125,0.93
m__hmdb00139,ruminococcus_gnavus,723.367451,0.4
m__hmdb00715,eubacterium_hallii,289.666679,0.96
m__hmdb00482,sutterella_wadsworthensis,-270.416927,1
m__hmdb00511,roseburia_unclassified,-332.812348,0.76
m__hmdb02123,clostridium_leptum,-249.226055,0.99
m__hmdb00511,eubacterium_rectale,356.328067,0.65
m__hmdb00511,oscillibacter_unclassified,295.047932,0.73
m__hmdb00262,bacteroides_vulgatus,-236.099588,0.85
m__hmdb00482,clostridium_symbiosum,-211.969774,0.94
m__hmdb03357,eubacterium_siraeum,-1992.320949,0.1
m__hmdb00262,bacteroides_ovatus,-237.533976,0.83
m__hmdb02123,escherichia_coli,-223.476285,0.8
m__hmdb00511,clostridium_bolteae,291.1233,0.52
m__hmdb00812,coprococcus_comes,-1245.406636,0.12
m__hmdb00812,peptostreptococcaceae_noname_unclassified,-1414.895217,0.1
m__hmdb00174,escherichia_unclassified,146.765426,0.96
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00101,243.61433,0.57
m__hmdb02123,clostridiales_bacterium_1_7_47faa,-141.279243,0.98
m__hmdb02123,propionibacterium_acnes,-136.751598,0.96
m__hmdb00511,clostridium_leptum,209.225749,0.6
m__hmdb00511,bacteroides_uniformis,-419.914338,0.29
m__hmdb00511,anaerostipes_hadrus,-195.996313,0.62
m__hmdb02123,holdemania_unclassified,-121.376663,0.92
m__hmdb02123,roseburia_hominis,-117.361874,0.93
m__hmdb00482,veillonella_unclassified,101.799504,1
m__hmdb02123,lachnospiraceae_bacterium_5_1_63faa,-118.705831,0.79
m__hmdb00139,bacteroides_caccae,262.354589,0.35
m__hmdb00482,dorea_unclassified,194.691045,0.47
m__hmdb02123,ruminococcus_obeum,-113.985143,0.73
m__hmdb00482,bacteroides_xylanisolvens,-107.081727,0.76
m__hmdb00194,c2likevirus_unclassified,-151.06747,0.52
m__hmdb00262,bacteroides_thetaiotaomicron,-93.400123,0.7
m__hmdb00262,lachnospiraceae_bacterium_2_1_58faa,-97.465498,0.65
m__hmdb00715,roseburia_inulinivorans,113.484412,0.55
m__hmdb00870,lachnospiraceae_bacterium_3_1_46faa,65.617494,0.92
m__hmdb00262,bacteroides_stercoris,-94.27481,0.6
m__hmdb02123,anaerotruncus_colihominis,-90.940872,0.59
m__hmdb00806,veillonella_unclassified,-51.224943,1
m__hmdb00715,ruminococcus_lactaris,92.507281,0.54
m__hmdb00222,lachnospiraceae_bacterium_2_1_58faa,-50.472673,0.98
m__hmdb00806,escherichia_coli,-49.022088,1
m__hmdb00806,bacteroides_dorei,-48.195043,1
m__hmdb02123,ruminococcus_bromii,-88.361816,0.53
m__hmdb00262,bacteroides_caccae,-97.836614,0.45
m__hmdb00715,dorea_longicatena,98.023017,0.44
m__hmdb02123,lachnospiraceae_bacterium_7_1_58faa,-73.57199,0.57
m__hmdb00097,veillonella_dispar,-42.276451,0.99
m__hmdb00715,ruminococcus_obeum,96.639301,0.42
m__hmdb00806,escherichia_unclassified,-39.568714,0.99
m__hmdb00511,ruminococcus_gnavus,185.065518,0.21
m__hmdb00067,coprobacillus_unclassified,-53.296225,0.72
m__hmdb02123,clostridium_asparagiforme,-63.899339,0.58
m__hmdb00174,bacteroides_dorei,65.215875,0.52
m__hmdb00511,bacteroides_ovatus,139.932636,0.24
m__hmdb11718,alistipes_onderdonkii,64.170755,0.52
m__hmdb02123,clostridium_hathewayi,-58.757207,0.56
