source,target,weigh,bootscore
m__hmdb00511,streptococcus_thermophilus,-2391.886349,0.61
m__hmdb00482,streptococcus_thermophilus,335.615279,0.6
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00101,102.461912,0.26
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,1.517993,1
2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,1.200728,1
m__hmdb00036,m__hmdb00036,1.12663,1
eubacterium_siraeum,eubacterium_siraeum,1.121682,1
enoyl-coa hydratase,enoyl-coa hydratase,1.064554,1
beta-ketoacyl-acyl-carrier-protein synthase ii,beta-ketoacyl-acyl-carrier-protein synthase ii,1.063698,1
hydroxylamine reductase,hydroxylamine reductase,1.051365,1
alistipes_finegoldii,akkermansia_muciniphila,1.04464,1
phosphatidate cytidylyltransferase,phosphatidate cytidylyltransferase,1.032323,1
phosphogluconate dehydrogenase nadp+-dependent decarboxylating,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,1.027837,1
m__hmdb00511,m__hmdb00511,1.018982,1
pyridoxal 5-phosphate synthase glutamine hydrolyzing,pyridoxal 5-phosphate synthase glutamine hydrolyzing,1.016478,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,3-methyl-2-oxobutanoate hydroxymethyltransferase,1.015763,1
aspartate ammonia-lyase,aspartate ammonia-lyase,1.013158,1
dihydrolipoyl dehydrogenase,dihydrolipoyl dehydrogenase,1.012405,1
m__hmdb00365,m__hmdb00365,1.009319,1
ribulose-phosphate 3-epimerase,ribulose-phosphate 3-epimerase,1.008516,1
m__hmdb00020,m__hmdb00020,1.006709,1
m__hmdb00510,m__hmdb00510,1.006568,1
beta-lactamase,beta-lactamase,1.004533,1
m__hmdb00448,m__hmdb00448,1.002431,1
m__hmdb02123,m__hmdb02123,1.000113,1
m__hmdb00715,m__hmdb00715,0.998538,1
histidine kinase,histidine kinase,0.997619,1
m__hmdb00056,m__hmdb00056,0.99749,1
m__hmdb00806,m__hmdb00806,0.995843,1
m__hmdb00030,m__hmdb00030,0.994778,1
m__hmdb00139,m__hmdb00139,0.994408,1
m__hmdb00138,m__hmdb00138,0.99305,1
peptidylprolyl isomerase,peptidylprolyl isomerase,0.99257,1
ubiquinol oxidase electrogenic: non h+-transporting,ubiquinol oxidase electrogenic: non h+-transporting,0.990014,1
shikimate kinase,shikimate kinase,0.98822,1
m__hmdb11718,m__hmdb11718,0.987769,1
h+-transporting two-sector atpase,h+-transporting two-sector atpase,0.987251,1
glyceraldehyde-3-phosphate dehydrogenase phosphorylating,glyceraldehyde-3-phosphate dehydrogenase phosphorylating,0.987001,1
m__hmdb00247,m__hmdb00247,0.985775,1
glucose-1-phosphate adenylyltransferase,glucose-1-phosphate adenylyltransferase,0.985162,1
m__hmdb01547,m__hmdb01547,0.984884,1
m__hmdb00637,m__hmdb00637,0.98306,1
lachnospiraceae_bacterium_1_1_57faa,lachnospiraceae_bacterium_1_1_57faa,0.980302,1
m__hmdb00094,m__hmdb00094,0.980048,1
m__hmdb00630,m__hmdb00630,0.976943,1
m__hmdb01169,m__hmdb01169,0.976519,1
m__hmdb00098,m__hmdb00098,0.975825,1
m__hmdb00562,m__hmdb00562,0.97581,1
m__hmdb00195,m__hmdb00195,0.975775,1
m__hmdb00019,m__hmdb00019,0.975528,1
aldose 1-epimerase,aldose 1-epimerase,0.975101,1
methylaspartate mutase,methylaspartate mutase,0.974469,1
glycerol kinase,glycerol kinase,0.97412,1
m__hmdb00089,m__hmdb00089,0.973693,1
m__hmdb00197,m__hmdb00197,0.973342,1
m__hmdb00043,m__hmdb00043,0.97328,1
4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,0.972993,1
m__hmdb02329,m__hmdb02329,0.972599,1
m__hmdb00619,m__hmdb00619,0.971242,1
m__hmdb00956,m__hmdb00956,0.971157,1
m__hmdb00262,m__hmdb00262,0.971028,1
nadh,nadh,0.970772,1
m__hmdb00209,m__hmdb00209,0.968968,1
m__hmdb00482,m__hmdb00482,0.968129,1
m__hmdb00289,m__hmdb00289,0.967573,1
bacterial non-heme ferritin,bacterial non-heme ferritin,0.967568,1
m__hmdb01991,m__hmdb01991,0.967499,1
transaldolase,transaldolase,0.966556,1
m__hmdb00063,m__hmdb00063,0.966356,1
dna-directed rna polymerase,dna-directed rna polymerase,0.966338,1
m__hmdb00039,m__hmdb00039,0.966152,1
phosphopyruvate hydratase,phosphopyruvate hydratase,0.965518,1
nadh dehydrogenase quinone,nadh dehydrogenase quinone,0.963812,1
m__hmdb10169,m__hmdb10169,0.963756,1
pyruvate carboxylase,pyruvate carboxylase,0.963198,1
uridine kinase,uridine kinase,0.962305,1
peroxiredoxin,peroxiredoxin,0.961916,1
m__hmdb00067,m__hmdb00067,0.961483,1
s-ribosylhomocysteine lyase,s-ribosylhomocysteine lyase,0.960309,1
m__hmdb03464,m__hmdb03464,0.959994,1
m__hmdb00699,m__hmdb00699,0.959085,1
glutamate decarboxylase,glutamate decarboxylase,0.959045,1
methionyl aminopeptidase,methionyl aminopeptidase,0.958835,1
bifidobacterium_adolescentis,bifidobacterium_longum,0.968176,0.99
m__hmdb00452,m__hmdb00452,0.958086,1
m__hmdb00097,m__hmdb00097,0.95735,1
m__hmdb00222,m__hmdb00222,0.955585,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.955516,1
16s rrna cytosine1402-n4-methyltransferase,16s rrna cytosine1402-n4-methyltransferase,0.954633,1
dna helicase,dna helicase,0.952992,1
pyridoxine 5-phosphate synthase,pyridoxine 5-phosphate synthase,0.952739,1
m__hmdb00244,m__hmdb00244,0.951423,1
triose-phosphate isomerase,triose-phosphate isomerase,0.951279,1
m__hmdb00870,m__hmdb00870,0.951154,1
endopeptidase clp,endopeptidase clp,0.950239,1
