source,target,weigh,bootscore
m__hmdb00812,ruminococcus_torques,-30376.251261,1
m__hmdb00812,dorea_formicigenerans,-21737.072602,1
m__hmdb00812,eubacterium_hallii,-21795.386049,0.99
m__hmdb00812,ruminococcaceae_bacterium_d16,-21336.838777,0.99
m__hmdb00812,bacteroides_eggerthii,-20669.82617,0.97
m__hmdb00812,coprococcus_comes,-19680.548106,0.99
m__hmdb00812,lachnospiraceae_bacterium_2_1_58faa,-21087.630532,0.84
m__hmdb00812,clostridium_leptum,-19301.675476,0.82
m__hmdb00812,holdemania_filiformis,-17443.34543,0.84
m__hmdb00812,bacteroides_ovatus,-13874.100209,0.78
m__hmdb00812,clostridium_bolteae,-13178.297056,0.62
m__hmdb00812,dorea_longicatena,-13982.77343,0.57
m__hmdb00812,eggerthella_unclassified,-6672.595161,0.42
m__hmdb00812,bacteroides_vulgatus,-7688.734162,0.35
m__hmdb00139,c2likevirus_unclassified,-2141.822222,0.98
m__hmdb00812,bifidobacterium_longum,-6392.072727,0.3
m__hmdb01895,veillonella_unclassified,1956.796887,0.95
m__hmdb00812,eubacterium_ramulus,-4515.556699,0.24
m__hmdb00812,anaerostipes_hadrus,-3896.516236,0.27
m__hmdb00699,roseburia_unclassified,896.706932,0.99
m__hmdb00098,c2likevirus_unclassified,829.188404,0.96
m__hmdb00812,ruminococcus_gnavus,-3906.192917,0.2
m__hmdb00699,klebsiella_pneumoniae,831.833104,0.87
m__hmdb00699,alistipes_shahii,731.373083,0.92
m__hmdb00812,lachnospiraceae_bacterium_5_1_63faa,-3202.62891,0.19
m__hmdb01547,bacteroides_caccae,-592.805691,0.99
m__hmdb00699,odoribacter_splanchnicus,646.736479,0.86
m__hmdb01547,ruminococcus_lactaris,-549.844486,1
m__hmdb01547,eubacterium_rectale,-505.125192,0.94
m__hmdb00812,bacteroides_caccae,-3032.799351,0.14
m__hmdb00156,bifidobacterium_adolescentis,-514.725629,0.82
m__hmdb00873,dorea_unclassified,-415.514114,1
m__hmdb00098,ruminococcus_torques,465.330089,0.86
m__hmdb00873,bacteroides_uniformis,-355.506448,1
m__hmdb00139,veillonella_atypica,-607.958605,0.57
m__hmdb01169,parabacteroides_merdae,1367.702761,0.25
m__hmdb02123,escherichia_coli,-327.833092,0.96
m__hmdb00873,clostridium_hathewayi,-309.794706,1
m__hmdb00873,roseburia_unclassified,-312.857747,0.98
m__hmdb00812,clostridium_symbiosum,-2351.203434,0.13
m__hmdb00262,bacteroides_xylanisolvens,-300.247536,0.99
m__hmdb00873,mitsuokella_unclassified,-296.585511,0.96
m__hmdb00699,eubacterium_eligens,406.459025,0.7
m__hmdb01547,eubacterium_ramulus,-360.115943,0.76
m__hmdb00139,bacteroides_fragilis,-622.762124,0.43
m__hmdb01547,lachnospiraceae_bacterium_1_1_57faa,-381.914183,0.66
m__hmdb00873,erysipelotrichaceae_bacterium_6_1_45,-240.958137,1
m__hmdb00699,alistipes_finegoldii,350.346571,0.67
m__hmdb02123,clostridium_leptum,-275.534912,0.85
m__hmdb02123,collinsella_aerofaciens,-243.702499,0.93
m__hmdb02123,propionibacterium_acnes,-211.495413,0.99
m__hmdb02123,parabacteroides_distasonis,-212.376097,0.98
m__hmdb02123,ruminococcus_obeum,-208.081642,0.98
m__hmdb02123,holdemania_unclassified,-214.560674,0.94
m__hmdb00873,pseudomonas_unclassified,-233.721128,0.85
m__hmdb02123,akkermansia_muciniphila,-219.954376,0.89
m__hmdb00873,veillonella_dispar,-256.947067,0.75
m__hmdb00873,coprococcus_catus,-209.454664,0.9
m__hmdb00873,streptococcus_salivarius,-238.50337,0.79
m__hmdb00873,odoribacter_splanchnicus,-215.218456,0.87
m__hmdb00699,ruminococcus_bromii,336.055539,0.55
m__hmdb00019,lachnospiraceae_bacterium_2_1_58faa,1802.831339,0.1
m__hmdb02123,lachnospiraceae_bacterium_7_1_58faa,-177.69911,0.99
m__hmdb02123,clostridium_hathewayi,-175.51501,0.96
m__hmdb02123,anaerotruncus_colihominis,-183.033168,0.9
m__hmdb00139,haemophilus_parainfluenzae,-455.80877,0.36
m__hmdb00873,clostridium_citroniae,-166.666584,0.85
m__hmdb00194,sutterella_wadsworthensis,-231.425035,0.58
m__hmdb02123,clostridiales_bacterium_1_7_47faa,-152.094331,0.87
m__hmdb02123,eggerthella_unclassified,-159.14076,0.82
m__hmdb00873,clostridiales_bacterium_1_7_47faa,-149.181502,0.8
m__hmdb01232,parabacteroides_merdae,-298.197246,0.4
m__hmdb00139,lachnospiraceae_bacterium_8_1_57faa,-376.781538,0.31
m__hmdb00139,klebsiella_pneumoniae,-354.581911,0.31
m__hmdb02123,oscillibacter_unclassified,-151.470345,0.7
m__hmdb02123,clostridium_citroniae,-119.164323,0.84
m__hmdb00873,anaerotruncus_colihominis,-162.959621,0.6
m__hmdb00873,streptococcus_parasanguinis,-167.32238,0.51
m__hmdb00873,clostridium_symbiosum,-138.833541,0.61
m__hmdb02123,clostridium_symbiosum,-141.080192,0.6
m__hmdb00870,lachnospiraceae_bacterium_3_1_46faa,83.016693,0.96
m__hmdb02123,anaerostipes_hadrus,-113.387535,0.7
m__hmdb01547,lachnospiraceae_bacterium_5_1_63faa,-183.392432,0.43
m__hmdb01547,haemophilus_parainfluenzae,-223.020267,0.35
m__hmdb00482,haemophilus_parainfluenzae,74.405302,1
m__hmdb00139,veillonella_dispar,-359.018815,0.2
m__hmdb02123,lachnospiraceae_bacterium_3_1_57faa_ct1,-111.072236,0.63
m__hmdb00725,roseburia_hominis,-362.128766,0.19
m__hmdb01169,clostridium_clostridioforme,621.631211,0.11
m__hmdb01895,propionibacterium_acnes,280.986033,0.22
m__hmdb02123,anaerotruncus_unclassified,105.720829,0.58
m__hmdb02123,bacteroides_stercoris,-98.580946,0.56
m__hmdb01169,clostridium_bartlettii,546.783171,0.1
m__hmdb00139,lachnospiraceae_bacterium_1_1_57faa,-231.670089,0.21
m__hmdb00715,lachnospiraceae_bacterium_2_1_58faa,101.41533,0.45
m__hmdb00873,veillonella_atypica,-100.063293,0.39
m__hmdb02123,subdoligranulum_unclassified,-68.806929,0.54
m__hmdb00139,subdoligranulum_unclassified,-148.558457,0.24
m__hmdb00139,bacteroides_cellulosilyticus,-196.301419,0.18
m__hmdb00194,eubacterium_hallii,-92.900078,0.37
m__hmdb02123,lachnospiraceae_bacterium_8_1_57faa,-94.868022,0.36
m__hmdb00098,veillonella_dispar,163.865694,0.2
m__hmdb02123,clostridium_bartlettii,-68.918174,0.46
m__hmdb00873,lachnospiraceae_bacterium_7_1_58faa,-65.892794,0.46
m__hmdb00715,lachnospiraceae_bacterium_1_1_57faa,97.385148,0.31
m__hmdb00873,ruminococcaceae_bacterium_d16,-73.549228,0.4
m__hmdb00097,bacteroides_ovatus,32.246935,0.89
m__hmdb00699,bacteroides_finegoldii,138.187078,0.18
m__hmdb00873,anaerotruncus_unclassified,-64.613275,0.37
m__hmdb00715,bacteroides_dorei,-70.430382,0.33
m__hmdb00699,alistipes_putredinis,112.432967,0.19
m__hmdb01547,flavonifractor_plautii,95.485677,0.22
m__hmdb00452,bacteroides_ovatus,-130.368783,0.16
m__hmdb00296,bacteroides_dorei,-47.089565,0.44
m__hmdb00128,peptostreptococcaceae_noname_unclassified,22.749191,0.9
m__hmdb00067,ruminococcus_gnavus,43.303093,0.47
m__hmdb00873,propionibacterium_acnes,-60.686346,0.33
m__hmdb01547,eubacterium_hallii,-84.348268,0.23
m__hmdb00365,ruminococcus_bromii,-18.343088,1
m__hmdb00365,bifidobacterium_adolescentis,-17.838841,1
m__hmdb00873,streptococcus_thermophilus,-51.642146,0.3
m__hmdb00067,dorea_unclassified,39.678744,0.38
m__hmdb00139,holdemania_unclassified,-103.991266,0.14
m__hmdb00873,bacteroides_thetaiotaomicron,-55.114567,0.26
m__hmdb00873,veillonella_parvula,-58.601973,0.24
m__hmdb00244,bilophila_unclassified,-132.249567,0.1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00101,82.998226,0.15
m__hmdb02123,bacteroides_cellulosilyticus,-48.899076,0.24
m__hmdb00482,collinsella_aerofaciens,23.749926,0.47
m__hmdb00194,veillonella_parvula,-58.447727,0.18
m__hmdb00365,bacteroides_vulgatus,10.441427,0.91
hgi__defa5,bacteroides_cellulosilyticus,8.779037,1
m__hmdb00448,bacteroides_xylanisolvens,37.215662,0.22
m__hmdb00098,holdemania_filiformis,60.149464,0.13
m__hmdb02123,clostridium_asparagiforme,-36.745412,0.21
m__hmdb00365,clostridium_asparagiforme,-10.162127,0.75
hgi__defa5,parabacteroides_unclassified,7.252262,1
m__hmdb00056,streptococcus_salivarius,7.046107,1
hgr__fabp1,prevotella_copri,-6.839955,1
m__hmdb00870,bacteroides_fragilis,25.292712,0.26
m__hmdb02123,dorea_formicigenerans,-32.809007,0.2
m__hmdb02123,bifidobacterium_longum,-32.630429,0.19
m__hmdb00630,eubacterium_rectale,-60.917734,0.1
hgr__fabp1,bacteroides_massiliensis,-5.764925,1
m__hmdb02123,bilophila_unclassified,-26.242134,0.21
m__hmdb00873,bacteroides_cellulosilyticus,-41.138446,0.13
m__hmdb00056,coprococcus_catus,5.243252,1
m__hmdb00195,bifidobacterium_adolescentis,-35.705807,0.14
m__hmdb00056,streptococcus_thermophilus,4.632572,1
hgr__fabp1,parasutterella_excrementihominis,-4.666275,0.99
hgr__fabp1,barnesiella_intestinihominis,-4.567047,1
m__hmdb01547,clostridium_bolteae,45.066521,0.1
m__hmdb00262,flavonifractor_plautii,-29.530324,0.15
m__hmdb00056,bilophila_unclassified,4.586549,0.96
m__hmdb00365,bifidobacterium_longum,-7.856574,0.56
hgi__defa5,mitsuokella_unclassified,4.430367,0.96
