source,target,weigh,bootscore
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00101,89.020391,0.16
m__hmdb02123,clostridiales_bacterium_1_7_47faa,-35.741573,0.21
m__hmdb02123,clostridium_symbiosum,-31.787499,0.14
nadh,m__hmdb00101,1.65912,0.85
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,1.33618,1
m__hmdb00036,m__hmdb00036,1.102022,1
m__hmdb00247,m__hmdb00247,1.055002,1
beta-ketoacyl-acyl-carrier-protein synthase ii,beta-ketoacyl-acyl-carrier-protein synthase ii,1.029287,1
m__hmdb00511,m__hmdb00511,1.022777,1
m__hmdb10169,m__hmdb10169,1.021373,1
m__hmdb00043,m__hmdb00043,1.018976,1
m__hmdb00956,m__hmdb00956,1.017336,1
m__hmdb02123,m__hmdb02123,1.002835,1
m__hmdb00197,m__hmdb00197,1.001405,1
aspartate ammonia-lyase,aspartate ammonia-lyase,1.001137,1
m__hmdb00365,m__hmdb00365,0.997352,1
m__hmdb00482,m__hmdb00482,0.996644,1
glyceraldehyde-3-phosphate dehydrogenase phosphorylating,glyceraldehyde-3-phosphate dehydrogenase phosphorylating,0.99453,1
m__hmdb01895,m__hmdb01895,0.991503,1
ribulose-phosphate 3-epimerase,ribulose-phosphate 3-epimerase,0.987967,1
m__hmdb00637,m__hmdb00637,0.986302,1
phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,0.985886,1
m__hmdb00289,m__hmdb00289,0.984958,1
m__hmdb00806,m__hmdb00806,0.982449,1
m__hmdb00873,m__hmdb00873,0.982231,1
peroxiredoxin,peroxiredoxin,0.981277,1
m__hmdb00097,m__hmdb00097,0.98044,1
hydroxylamine reductase,hydroxylamine reductase,0.978579,1
m__hmdb01547,m__hmdb01547,0.976383,1
aldose 1-epimerase,aldose 1-epimerase,0.976142,1
m__hmdb00630,m__hmdb00630,0.975871,1
shikimate kinase,shikimate kinase,0.975572,1
m__hmdb00269,m__hmdb00269,0.974317,1
m__hmdb00209,m__hmdb00209,0.972235,1
m__hmdb00262,m__hmdb00262,0.971996,1
m__hmdb00089,m__hmdb00089,0.971904,1
m__hmdb04610,m__hmdb04610,0.971858,1
m__hmdb00562,m__hmdb00562,0.971742,1
m__hmdb00020,m__hmdb00020,0.971398,1
4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,0.970497,1
glycerol kinase,glycerol kinase,0.969877,1
m__hmdb11718,m__hmdb11718,0.969256,1
m__hmdb00138,m__hmdb00138,0.968921,1
m__hmdb00448,m__hmdb00448,0.968444,1
peptidylprolyl isomerase,peptidylprolyl isomerase,0.9678,1
m__hmdb00056,m__hmdb00056,0.967232,1
m__hmdb00870,m__hmdb00870,0.966972,1
m__hmdb00715,m__hmdb00715,0.965752,1
m__hmdb00139,m__hmdb00139,0.964095,1
m__hmdb00156,m__hmdb00156,0.963742,1
phosphogluconate dehydrogenase nadp+-dependent decarboxylating,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,0.963409,1
m__hmdb00118,m__hmdb00118,0.962631,1
dihydrolipoyl dehydrogenase,dihydrolipoyl dehydrogenase,0.961825,1
beta-lactamase,beta-lactamase,0.961656,1
m__hmdb00098,m__hmdb00098,0.959976,1
m__hmdb00222,m__hmdb00222,0.955194,1
methylaspartate mutase,methylaspartate mutase,0.954885,1
m__hmdb00039,m__hmdb00039,0.951537,1
m__hmdb00251,m__hmdb00251,0.950396,1
histidine kinase,histidine kinase,0.949414,1
m__hmdb00510,m__hmdb00510,0.949067,1
m__hmdb00195,m__hmdb00195,0.947917,1
m__hmdb00019,m__hmdb00019,0.947862,1
m__hmdb00626,m__hmdb00626,0.947697,1
pyridoxine 5-phosphate synthase,pyridoxine 5-phosphate synthase,0.947354,1
transaldolase,transaldolase,0.947125,1
glutamate decarboxylase,glutamate decarboxylase,0.946911,1
m__hmdb03464,m__hmdb03464,0.94626,1
m__hmdb00452,m__hmdb00452,0.945516,1
3-hydroxyacyl-coa dehydrogenase,3-hydroxyacyl-coa dehydrogenase,0.945124,1
m__hmdb00699,m__hmdb00699,0.943911,1
glucose-1-phosphate adenylyltransferase,glucose-1-phosphate adenylyltransferase,0.942932,1
phosphoglycerate kinase,phosphoglycerate kinase,0.942568,1
rna helicase,rna helicase,0.942085,1
orotidine-5-phosphate decarboxylase,orotidine-5-phosphate decarboxylase,0.940982,1
3-hydroxybutyryl-coa dehydrogenase,3-hydroxybutyryl-coa dehydrogenase,0.939781,1
2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,0.939592,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.939359,1
m__hmdb00128,m__hmdb00128,0.939042,1
ubiquinol oxidase electrogenic: non h+-transporting,ubiquinol oxidase electrogenic: non h+-transporting,0.938808,1
2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,0.937543,1
pyridoxal 5-phosphate synthase glutamine hydrolyzing,pyridoxal 5-phosphate synthase glutamine hydrolyzing,0.936656,1
h+-transporting two-sector atpase,h+-transporting two-sector atpase,0.934753,1
m__hmdb00244,m__hmdb00244,0.933848,1
dna-directed rna polymerase,dna-directed rna polymerase,0.93326,1
endopeptidase clp,endopeptidase clp,0.933177,1
m__hmdb00067,m__hmdb00067,0.932755,1
m__hmdb00619,m__hmdb00619,0.931881,1
m__hmdb00296,m__hmdb00296,0.931449,1
glutamate dehydrogenase,glutamate dehydrogenase,0.931137,1
erysipelotrichaceae_bacterium_6_1_45,coprobacillus_unclassified,0.950033,0.98
m__hmdb02322,m__hmdb02322,0.931018,1
m__hmdb01149,m__hmdb01149,0.930871,1
m__hmdb01991,m__hmdb01991,0.930447,1
m__hmdb01169,m__hmdb01169,0.929257,1
m__hmdb00174,m__hmdb00174,0.929104,1
l-lactate dehydrogenase,l-lactate dehydrogenase,0.928342,1
pyruvate carboxylase,pyruvate carboxylase,0.92818,1
m__hmdb00725,m__hmdb00725,0.926948,1
triose-phosphate isomerase,triose-phosphate isomerase,0.926651,1
m__hmdb03357,m__hmdb03357,0.92576,1
m__hmdb01232,m__hmdb01232,0.924593,1
m__hmdb00764,m__hmdb00764,0.922922,1
m__hmdb00094,m__hmdb00094,0.921835,1
m__hmdb00063,m__hmdb00063,0.921191,1
m__hmdb01257,m__hmdb01257,0.920295,1
thymidylate synthase,thymidylate synthase,0.919092,1
m__hmdb02329,m__hmdb02329,0.917606,1
protein-npi-phosphohistidine--sugar phosphotransferase,protein-npi-phosphohistidine--sugar phosphotransferase,0.917135,1
adenosylmethionine--8-amino-7-oxononanoate transaminase,adenosylmethionine--8-amino-7-oxononanoate transaminase,0.910583,1
clostridiales_bacterium_1_7_47faa,clostridium_clostridioforme,0.910548,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,3-methyl-2-oxobutanoate hydroxymethyltransferase,0.910221,1
