source,target,weigh,bootscore
m__hmdb00812,ruminococcaceae_bacterium_d16,-5893.235203,0.5
m__hmdb00511,sutterella_wadsworthensis,1784.486226,1
m__hmdb00511,parabacteroides_unclassified,1669.739052,0.99
m__hmdb00511,clostridium_symbiosum,1436.24206,1
m__hmdb00511,ruminococcus_gnavus,985.017716,0.99
m__hmdb00511,clostridium_bolteae,919.638053,1
m__hmdb00511,bacteroides_xylanisolvens,861.640924,1
m__hmdb00812,eubacterium_siraeum,3104.356696,0.26
m__hmdb00063,eubacterium_eligens,1185.295781,0.55
m__hmdb00812,ruminococcus_torques,-2684.938149,0.19
m__hmdb00244,alistipes_finegoldii,614.286888,0.7
m__hmdb00511,streptococcus_salivarius,415.572672,1
m__hmdb00511,clostridium_leptum,415.530463,1
m__hmdb00873,dorea_unclassified,-332.243198,0.96
m__hmdb00511,streptococcus_parasanguinis,317.537761,1
m__hmdb01547,lachnospiraceae_bacterium_1_1_57faa,-370.099653,0.85
m__hmdb00511,alistipes_onderdonkii,298.232023,1
m__hmdb00873,roseburia_unclassified,-296.320592,1
m__hmdb00873,bacteroides_uniformis,-300.111621,0.97
m__hmdb00244,flavonifractor_plautii,478.338075,0.58
m__hmdb00511,streptococcus_thermophilus,-852.864166,0.31
m__hmdb00511,dorea_formicigenerans,260.465383,1
m__hmdb01232,parabacteroides_merdae,-343.11211,0.72
m__hmdb00482,parabacteroides_unclassified,-249.397318,0.99
m__hmdb00482,sutterella_wadsworthensis,-228.613175,1
m__hmdb00244,lachnospiraceae_bacterium_2_1_58faa,388.09108,0.57
m__hmdb00244,coprobacillus_unclassified,366.635284,0.56
m__hmdb00511,eubacterium_siraeum,223.86557,0.89
m__hmdb00482,clostridium_symbiosum,-196.150319,1
m__hmdb00511,escherichia_unclassified,-470.327839,0.41
m__hmdb00262,veillonella_dispar,-184.060809,1
m__hmdb00262,veillonella_atypica,-182.723922,1
m__hmdb00452,holdemania_unclassified,-266.455233,0.68
m__hmdb00262,lachnospiraceae_bacterium_2_1_58faa,-176.416052,1
m__hmdb00244,odoribacter_splanchnicus,352.975673,0.47
m__hmdb00262,streptococcus_parasanguinis,-163.005314,1
m__hmdb00262,alistipes_finegoldii,-153.611109,1
m__hmdb00139,bacteroides_ovatus,332.44516,0.46
m__hmdb00511,bilophila_wadsworthia,154.025583,0.98
m__hmdb00262,bacteroides_ovatus,-160.699734,0.9
m__hmdb00262,coprococcus_comes,-137.761718,1
m__hmdb00262,peptostreptococcaceae_noname_unclassified,-136.001855,1
m__hmdb00511,veillonella_atypica,145.967235,0.93
m__hmdb00482,ruminococcus_gnavus,-139.744151,0.96
m__hmdb00262,odoribacter_splanchnicus,-137.211737,0.94
m__hmdb00262,bilophila_wadsworthia,-131.453808,0.97
m__hmdb00482,clostridium_bolteae,-123.477596,1
m__hmdb00262,alistipes_shahii,-123.179987,0.99
m__hmdb00244,erysipelotrichaceae_bacterium_6_1_45,288.938812,0.4
m__hmdb00262,eubacterium_ventriosum,-119.27213,0.96
m__hmdb00262,erysipelotrichaceae_bacterium_6_1_45,-115.65316,0.99
m__hmdb00262,bacteroides_thetaiotaomicron,-118.793365,0.96
m__hmdb02123,holdemania_unclassified,-112.75164,0.99
m__hmdb00482,bacteroides_xylanisolvens,-113.387449,0.98
m__hmdb02123,ruminococcus_obeum,-111.09412,1
m__hmdb00262,bacteroides_fragilis,-126.225754,0.88
m__hmdb00262,anaerotruncus_unclassified,-110.664256,1
m__hmdb00262,haemophilus_parainfluenzae,-119.878463,0.92
m__hmdb00262,bacteroides_stercoris,-126.591227,0.85
m__hmdb02123,akkermansia_muciniphila,-109.1314,0.98
m__hmdb00262,eubacterium_rectale,-117.690886,0.88
m__hmdb00262,bacteroides_eggerthii,-107.044457,0.94
m__hmdb00262,bacteroides_massiliensis,-104.66796,0.91
m__hmdb00262,bilophila_unclassified,-106.701809,0.89
m__hmdb00262,pseudomonas_unclassified,-98.970533,0.94
m__hmdb00262,mitsuokella_unclassified,-95.613533,0.93
m__hmdb02123,clostridium_leptum,-115.13954,0.77
m__hmdb00262,coprococcus_catus,-95.386722,0.92
m__hmdb00511,holdemania_filiformis,100.74115,0.87
m__hmdb00511,eubacterium_hallii,104.925649,0.82
m__hmdb02123,lachnospiraceae_bacterium_7_1_58faa,-85.283823,0.99
m__hmdb02123,clostridiales_bacterium_1_7_47faa,-83.983336,0.99
m__hmdb02123,clostridium_hathewayi,-86.310336,0.96
m__hmdb00262,barnesiella_intestinihominis,-95.154146,0.87
m__hmdb00244,alistipes_shahii,240.590898,0.34
m__hmdb02123,lachnospiraceae_bacterium_8_1_57faa,-91.194319,0.85
m__hmdb00482,streptococcus_thermophilus,140.283131,0.55
m__hmdb02123,eggerthella_unclassified,-80.285567,0.96
m__hmdb00511,bacteroides_ovatus,141.171003,0.54
m__hmdb00098,erysipelotrichaceae_bacterium_6_1_45,137.376335,0.55
m__hmdb02123,propionibacterium_acnes,-82.626807,0.87
m__hmdb00452,eubacterium_hallii,-166.131146,0.43
m__hmdb00262,subdoligranulum_unclassified,-97.969742,0.72
m__hmdb02123,anaerotruncus_colihominis,-77.490798,0.91
m__hmdb00262,ruminococcus_callidus,-87.812302,0.76
m__hmdb00482,veillonella_unclassified,65.970186,0.99
m__hmdb00262,streptococcus_salivarius,-99.12031,0.64
m__hmdb00262,bacteroides_caccae,-84.835537,0.71
m__hmdb00262,eubacterium_ramulus,-81.47757,0.69
m__hmdb02123,lachnospiraceae_bacterium_3_1_57faa_ct1,-67.687137,0.83
m__hmdb03357,peptostreptococcaceae_noname_unclassified,558.097863,0.1
m__hmdb00262,bacteroides_faecis,-80.836464,0.66
m__hmdb00873,veillonella_parvula,-110.597046,0.47
m__hmdb02123,bacteroides_cellulosilyticus,-66.34723,0.77
m__hmdb00174,bacteroides_dorei,66.05822,0.74
m__hmdb02123,collinsella_aerofaciens,-73.214001,0.66
m__hmdb00511,bacteroides_vulgatus,86.28246,0.56
m__hmdb00262,roseburia_inulinivorans,-66.495018,0.7
m__hmdb00262,clostridiaceae_bacterium_jc118,-61.517657,0.72
m__hmdb00262,veillonella_parvula,-82.587595,0.53
m__hmdb00262,alistipes_putredinis,-69.228096,0.61
m__hmdb00870,coprococcus_catus,41.491787,0.95
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00101,125.839318,0.31
m__hmdb00244,lachnospiraceae_bacterium_3_1_57faa_ct1,172.062259,0.22
m__hmdb00452,bacteroides_caccae,-130.233312,0.29
m__hmdb02123,clostridium_citroniae,-49.489418,0.74
m__hmdb00873,clostridium_hathewayi,-73.82126,0.49
m__hmdb00262,alistipes_onderdonkii,-62.971046,0.55
m__hmdb00139,bacteroides_caccae,133.087799,0.26
m__hmdb02123,subdoligranulum_unclassified,-50.754749,0.68
m__hmdb00806,veillonella_unclassified,-33.609399,1
m__hmdb02123,clostridium_asparagiforme,-52.084205,0.64
m__hmdb00262,roseburia_intestinalis,-61.011006,0.53
m__hmdb00452,clostridiaceae_bacterium_jc118,-106.632475,0.3
m__hmdb00262,parabacteroides_distasonis,-58.108206,0.53
m__hmdb00806,bacteroides_dorei,-30.695807,1
m__hmdb00482,ruminococcus_torques,42.265402,0.72
m__hmdb00262,anaerotruncus_colihominis,-57.173438,0.52
m__hmdb00873,ruminococcaceae_bacterium_d16,-73.971706,0.4
m__hmdb00873,streptococcus_thermophilus,-102.613986,0.28
m__hmdb00806,escherichia_coli,-27.009076,0.99
m__hmdb00806,dorea_unclassified,-25.573762,0.99
m__hmdb02123,dorea_longicatena,-42.509641,0.58
m__hmdb00482,escherichia_unclassified,56.977382,0.41
m__hmdb00806,streptococcus_thermophilus,-32.122803,0.69
m__hmdb00262,clostridium_bartlettii,-47.078865,0.47
m__hmdb00098,ruminococcus_lactaris,64.681202,0.34
m__hmdb00873,lachnospiraceae_bacterium_7_1_58faa,-49.507077,0.43
m__hmdb00244,eggerthella_unclassified,111.615975,0.19
m__hmdb00156,lachnospiraceae_bacterium_3_1_57faa_ct1,88.007401,0.24
m__hmdb00806,ruminococcus_torques,-22.465792,0.94
m__hmdb00511,bacteroides_caccae,49.785626,0.4
m__hmdb02123,dorea_formicigenerans,-36.890224,0.53
