source,target,weigh,bootscore
m__hmdb00511,streptococcus_thermophilus,-609.331105,0.22
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00101,130.19114,0.32
m__hmdb00511,streptococcus_parasanguinis,80.18857,0.27
m__hmdb00482,streptococcus_thermophilus,86.662997,0.23
m__hmdb00806,streptococcus_thermophilus,-14.57615,0.32
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,1.387066,1
m__hmdb00036,m__hmdb00036,1.168944,1
aspartate ammonia-lyase,aspartate ammonia-lyase,1.105736,1
m__hmdb00138,m__hmdb00138,1.098167,1
m__hmdb00247,m__hmdb00247,1.090599,1
m__hmdb00637,m__hmdb00637,1.071524,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,3-methyl-2-oxobutanoate hydroxymethyltransferase,1.038897,1
m__hmdb01895,m__hmdb01895,1.031313,1
methylaspartate mutase,methylaspartate mutase,1.026148,1
m__hmdb00511,m__hmdb00511,1.023826,1
m__hmdb00030,m__hmdb00030,1.015182,1
dihydrolipoyl dehydrogenase,dihydrolipoyl dehydrogenase,1.014124,1
phosphogluconate dehydrogenase nadp+-dependent decarboxylating,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,1.012708,1
m__hmdb00482,m__hmdb00482,1.010284,1
m__hmdb00020,m__hmdb00020,1.00912,1
beta-lactamase,beta-lactamase,1.008599,1
m__hmdb00174,m__hmdb00174,1.007972,1
m__hmdb00262,m__hmdb00262,1.006457,1
ubiquinol oxidase electrogenic: non h+-transporting,ubiquinol oxidase electrogenic: non h+-transporting,1.004151,1
m__hmdb00806,m__hmdb00806,1.004129,1
enoyl-coa hydratase,enoyl-coa hydratase,1.004123,1
m__hmdb00448,m__hmdb00448,1.003559,1
phosphatidate cytidylyltransferase,phosphatidate cytidylyltransferase,1.003409,1
clostridium_citroniae,oscillibacter_unclassified,1.034377,0.97
m__hmdb02123,m__hmdb02123,1.001532,1
pyridoxal 5-phosphate synthase glutamine hydrolyzing,pyridoxal 5-phosphate synthase glutamine hydrolyzing,1.000542,1
m__hmdb00089,m__hmdb00089,1.000068,1
m__hmdb00043,m__hmdb00043,0.998178,1
m__hmdb00365,m__hmdb00365,0.997278,1
m__hmdb11718,m__hmdb11718,0.995237,1
ribulose-phosphate 3-epimerase,ribulose-phosphate 3-epimerase,0.995225,1
m__hmdb00056,m__hmdb00056,0.993403,1
aldose 1-epimerase,aldose 1-epimerase,0.992059,1
m__hmdb00156,m__hmdb00156,0.991462,1
m__hmdb00630,m__hmdb00630,0.991242,1
m__hmdb00699,m__hmdb00699,0.99097,1
m__hmdb00209,m__hmdb00209,0.990597,1
m__hmdb00195,m__hmdb00195,0.989879,1
dephospho-coa kinase,dephospho-coa kinase,0.989263,1
m__hmdb00197,m__hmdb00197,0.988691,1
m__hmdb00715,m__hmdb00715,0.988672,1
