source,target,weigh,bootscore
m__hmdb00812,m__hmdb00812,0.9999785729,1
m__hmdb00197,m__hmdb00197,0.9999607751,1
m__hmdb01169,m__hmdb01169,0.9998853394,1
m__hmdb00063,m__hmdb00063,0.9997582741,1
m__hmdb03357,m__hmdb03357,0.9992804542,1
m__hmdb00019,m__hmdb00019,0.9989954604,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9988264242,1
clostridium_citroniae,clostridium_citroniae,0.9988037751,1
m__hmdb00094,m__hmdb00094,0.9982643431,1
m__hmdb00699,m__hmdb00699,0.9977334895,1
m__hmdb00764,m__hmdb00764,0.9964679321,1
m__hmdb00452,m__hmdb00452,0.996399943,1
m__hmdb03464,m__hmdb03464,0.9959424279,1
m__hmdb00715,m__hmdb00715,0.9953947536,1
dorea_formicigenerans,dorea_formicigenerans,0.9953652229,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.9950461266,1
m__hmdb01547,m__hmdb01547,0.9949836361,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.9947060312,1
m__hmdb00511,m__hmdb00511,0.9946116243,1
m__hmdb00118,m__hmdb00118,0.9945746429,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9939256622,1
m__hmdb00873,m__hmdb00873,0.9933308423,1
m__hmdb00448,m__hmdb00448,0.99292001,1
m__hmdb00156,m__hmdb00156,0.991984896,1
m__hmdb00244,m__hmdb00244,0.9919662272,1
m__hmdb00098,m__hmdb00098,0.9919413695,1
m__hmdb00195,m__hmdb00195,0.991071287,1
m__hmdb00020,m__hmdb00020,0.9888608988,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9886990401,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.9862068893,1
m__hmdb00139,m__hmdb00139,0.9852572881,1
m__hmdb00039,m__hmdb00039,0.9846557511,1
m__hmdb00209,m__hmdb00209,0.983819848,1
pseudomonas_unclassified,pseudomonas_unclassified,0.9820221013,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.9819297651,1
pseudomonas_unclassified,streptococcus_parasanguinis,0.9818383212,1
holdemania_filiformis,holdemania_filiformis,0.980185071,1
m__hmdb01895,m__hmdb01895,0.9789887621,1
bilophila_wadsworthia,bilophila_wadsworthia,0.9775056473,1
m__hmdb03357,ruminococcus_lactaris,0.9702381141,1
m__hmdb00043,m__hmdb00043,0.9699309616,1
m__hmdb00725,m__hmdb00725,0.9696413119,1
clostridium_leptum,clostridium_leptum,0.9684916833,1
m__hmdb00630,m__hmdb00630,0.9642286141,1
m__hmdb00296,m__hmdb00296,0.9613143584,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9608638981,1
ruminococcus_bromii,ruminococcus_bromii,0.9585046076,1
m__hmdb00956,m__hmdb00956,0.9517592541,1
pseudomonas_unclassified,fructose-bisphosphate aldolase,-0.9513768328,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.9496473518,1
mitsuokella_unclassified,m__hmdb04610,0.997853518,0.95
m__hmdb00870,m__hmdb00870,0.9434492747,1
anaerostipes_hadrus,methionyl aminopeptidase,0.9412872917,1
flavonifractor_plautii,flavonifractor_plautii,0.9356693121,1
m__hmdb00482,m__hmdb00482,0.9330671437,1
m__hmdb00194,m__hmdb00194,0.9307383861,1
m__hmdb00262,m__hmdb00262,0.9214469625,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.9202572899,1
barnesiella_intestinihominis,barnesiella_intestinihominis,0.9137174488,1
dialister_invisus,dialister_invisus,0.913092482,1
aspartate ammonia-lyase,aspartate ammonia-lyase,0.9117882373,1
m__hmdb00806,m__hmdb00806,0.9090670895,1
m__hmdb00619,m__hmdb00619,0.9088048222,1
