source,target,weigh,bootscore
m__hmdb00019,m__hmdb00019,0.9999608915,1
m__hmdb00812,m__hmdb00812,0.9999338249,1
m__hmdb01169,m__hmdb01169,0.9999248598,1
m__hmdb00197,m__hmdb00197,0.9999017205,1
m__hmdb00063,m__hmdb00063,0.9997595075,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.999197993,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9989656528,1
m__hmdb03357,m__hmdb03357,0.9987581215,1
m__hmdb00244,m__hmdb00244,0.9987367736,1
m__hmdb01232,m__hmdb01232,0.9986709601,1
mitsuokella_unclassified,rna helicase,0.9985869965,1
dorea_formicigenerans,dorea_formicigenerans,0.9976753633,1
m__hmdb00511,m__hmdb00511,0.9972178425,1
clostridium_citroniae,clostridium_citroniae,0.997110993,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9970828018,1
streptococcus_thermophilus,streptococcus_thermophilus,0.9970065209,1
m__hmdb00448,m__hmdb00448,0.9969473925,1
m__hmdb00156,m__hmdb00156,0.9965293976,1
anaerostipes_hadrus,anaerostipes_hadrus,0.9957074231,1
clostridium_bartlettii,clostridium_bartlettii,0.995643682,1
m__hmdb01547,m__hmdb01547,0.9956051071,1
eubacterium_ramulus,eubacterium_ramulus,0.9952808182,1
m__hmdb00118,m__hmdb00118,0.9945824743,1
m__hmdb00067,m__hmdb00067,0.9932339562,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.9925499848,1
m__hmdb00094,m__hmdb00094,0.9922561293,1
m__hmdb00699,m__hmdb00699,0.991724777,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.9915778075,1
m__hmdb11718,m__hmdb11718,0.9908260967,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.9905125158,1
m__hmdb00195,m__hmdb00195,0.9902484891,1
m__hmdb00043,m__hmdb00043,0.9901997405,1
m__hmdb00039,m__hmdb00039,0.9880886977,1
m__hmdb00139,m__hmdb00139,0.9878804528,1
pseudomonas_unclassified,streptococcus_parasanguinis,0.9878446377,1
m__hmdb03464,m__hmdb03464,0.9853236033,1
m__hmdb00098,m__hmdb00098,0.9851212711,1
holdemania_filiformis,holdemania_filiformis,0.9846093599,1
coprococcus_catus,coprococcus_catus,0.9844397217,1
m__hmdb00452,m__hmdb00452,0.9823035671,1
holdemania_unclassified,akkermansia_muciniphila,0.9822186167,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9815116574,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.9808369495,1
holdemania_unclassified,holdemania_unclassified,0.9804296384,1
m__hmdb00097,m__hmdb00097,0.9803424627,1
m__hmdb01895,m__hmdb01895,0.9801109875,1
dorea_unclassified,dorea_unclassified,0.9800446463,1
