source,target,weigh,bootscore
m__hmdb00812,m__hmdb00812,0.9998489561,1
m__hmdb00197,m__hmdb00197,0.9997404567,1
m__hmdb00063,m__hmdb00063,0.9990301341,1
m__hmdb03357,m__hmdb03357,0.9984504251,1
m__hmdb00019,m__hmdb00019,0.9981115971,1
clostridium_citroniae,clostridium_citroniae,0.9975504826,1
m__hmdb01232,m__hmdb01232,0.9971834186,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.9967238063,1
m__hmdb00715,m__hmdb00715,0.9963486201,1
m__hmdb00725,m__hmdb00725,0.9960234694,1
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,0.9959165188,1
m__hmdb00699,m__hmdb00699,0.9957404706,1
m__hmdb01169,m__hmdb01169,0.9953545394,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9951135323,1
m__hmdb00448,m__hmdb00448,0.9943149833,1
m__hmdb01547,m__hmdb01547,0.9942447736,1
m__hmdb01895,m__hmdb01895,0.9933123846,1
m__hmdb00244,m__hmdb00244,0.992814134,1
m__hmdb00094,m__hmdb00094,0.9908436908,1
dorea_unclassified,dorea_unclassified,0.9902704232,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.989683661,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9894543064,1
m__hmdb00139,m__hmdb00139,0.9887598966,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9885402061,1
m__hmdb00510,m__hmdb00510,0.9879305134,1
m__hmdb00156,m__hmdb00156,0.9858577293,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.9839634778,1
m__hmdb11718,m__hmdb11718,0.9800805609,1
m__hmdb00118,m__hmdb00118,0.9791056033,1
m__hmdb00452,m__hmdb00452,0.9686023711,1
m__hmdb00043,m__hmdb00043,0.9676386115,1
holdemania_unclassified,holdemania_unclassified,0.9668887136,1
lachnospiraceae_bacterium_2_1_58faa,bacteroides_caccae,0.9665908369,1
coprococcus_catus,coprococcus_catus,0.966455231,1
eubacterium_ramulus,eubacterium_ramulus,0.9661300332,1
bilophila_wadsworthia,bilophila_wadsworthia,0.9633127352,1
m__hmdb00873,m__hmdb00873,0.9628438169,1
m__hmdb00511,m__hmdb00511,0.9602777725,1
m__hmdb00195,m__hmdb00195,0.9586159414,1
m__hmdb00097,m__hmdb00097,0.9585507946,1
holdemania_filiformis,holdemania_filiformis,0.9527232724,1
pseudomonas_unclassified,streptococcus_parasanguinis,0.9487905414,1
m__hmdb00630,m__hmdb00630,0.943153948,1
m__hmdb00209,m__hmdb00209,0.9422741803,1
m__hmdb03357,ruminococcus_lactaris,0.9512904821,0.99
streptococcus_thermophilus,streptococcus_thermophilus,0.9401183084,1
alistipes_shahii,alistipes_shahii,0.9379474558,1
m__hmdb00039,m__hmdb00039,0.9374822237,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.9333519008,1
m__hmdb00870,m__hmdb00870,0.9331038735,1
odoribacter_splanchnicus,odoribacter_splanchnicus,0.9319808692,1
m__hmdb03464,m__hmdb03464,0.9300140614,1
m__hmdb00764,m__hmdb00764,0.9245616558,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9238420621,1
;  q06996: l_sendf    ;  o55528: l_sendo,parabacteroides_distasonis,-0.9618046461,0.94
pseudomonas_unclassified,3-hydroxyacyl-acyl-carrier-protein dehydratase,-0.9033228515,1
m__hmdb10169,m__hmdb10169,0.8916457439,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.8876070991,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.8852682177,1
m__hmdb00296,m__hmdb00296,0.8732007434,1
m__hmdb00262,m__hmdb00262,0.8703853852,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.8682352061,1
m__hmdb00715,dialister_invisus,0.8612922996,1
m__hmdb04193,m__hmdb04193,0.8572573322,1
m__hmdb00194,m__hmdb00194,0.8569090362,1
holdemania_unclassified,phosphatidate cytidylyltransferase,-0.8688201184,0.98
m__hmdb00619,m__hmdb00619,0.8463871728,1
m__hmdb00247,m__hmdb00247,0.8389248327,1
clostridium_leptum,clostridium_leptum,0.8319960384,1
m__hmdb00222,m__hmdb00222,0.8276037182,1
cytochrome-c oxidase,cytochrome-c oxidase,0.8169275456,1
ruminococcus_bromii,ruminococcus_bromii,0.8126527088,1
m__hmdb00098,m__hmdb00098,0.8031910144,1
m__hmdb00020,m__hmdb00020,0.8005141695,1
eubacterium_eligens,eubacterium_eligens,0.7995257834,1
pseudomonas_unclassified,l-lactate dehydrogenase,-0.7995221546,1
bacteroides_finegoldii,bacteroides_finegoldii,0.7972938293,1
pseudomonas_unclassified,triose-phosphate isomerase,-0.7932196,1
coprococcus_catus,roseburia_inulinivorans,0.8165602964,0.97
m__hmdb00067,m__hmdb00067,0.7888231073,1
pseudomonas_unclassified,rna helicase,-0.8913699986,0.88
coprobacillus_unclassified,acetyl-coa c-acetyltransferase,0.8204510327,0.95
bilophila_unclassified,bilophila_unclassified,0.7715708324,1
pseudomonas_unclassified,l-serine ammonia-lyase,-0.7600623163,1
pseudomonas_unclassified,fructose-bisphosphate aldolase,-0.7540555091,1
roseburia_hominis,roseburia_hominis,0.7529547651,1
holdemania_unclassified,glutamate dehydrogenase,-0.8362579836,0.89
m__hmdb00128,m__hmdb00128,0.7413305807,1
eggerthella_unclassified,eggerthella_unclassified,0.7345778876,1
streptococcus_salivarius,serine o-acetyltransferase,0.7345711478,1
m__hmdb00174,m__hmdb00174,0.7342716409,1
veillonella_dispar,veillonella_dispar,0.7331300609,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,0.7295664614,1
erysipelotrichaceae_bacterium_6_1_45,enoyl-coa hydratase,0.7217657328,1
lachnospiraceae_bacterium_2_1_58faa,m__hmdb00056,0.7152049236,1
glucose-1-phosphate adenylyltransferase,glucose-1-phosphate adenylyltransferase,0.7026900794,1
m__hmdb00482,m__hmdb00482,0.7015219259,1
ruminococcus_bromii,bacteroides_eggerthii,0.7095803286,0.98
ribulose-phosphate 3-epimerase,ribulose-phosphate 3-epimerase,0.6940899195,1
pseudomonas_unclassified,aspartate ammonia-lyase,0.6852798937,1
shikimate kinase,shikimate kinase,0.6838864915,1
dorea_longicatena,m__hmdb02322,0.7056715914,0.96
lachnospiraceae_bacterium_3_1_57faa_ct1,transaldolase,0.6886012469,0.98
bilophila_wadsworthia,aldose 1-epimerase,-0.6810239393,0.98
dihydroorotate dehydrogenase quinone,dihydroorotate dehydrogenase quinone,0.6622125057,1
parabacteroides_merdae,parabacteroides_merdae,0.6584013577,1
anaerostipes_hadrus,m__hmdb02329,0.7043575491,0.93
anaerotruncus_colihominis,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,0.6536351984,1
m__hmdb00956,m__hmdb00956,0.6506504946,1
pseudomonas_unclassified,methylaspartate mutase,0.6505033631,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00101,0.9884780228,0.65
parasutterella_excrementihominis,fe3+-transporting atpase,0.6415415055,1
m__hmdb00562,m__hmdb00562,0.6405835665,1
bifidobacterium_longum,bifidobacterium_longum,0.6335151362,1
clostridium_bartlettii,ruminococcus_gnavus,0.8167928851,0.77
escherichia_unclassified,escherichia_unclassified,0.6188000088,1
collinsella_aerofaciens,collinsella_aerofaciens,0.6132389596,1
clostridiales_bacterium_1_7_47faa,phosphopyruvate hydratase,-0.6191137269,0.99
ruminococcus_obeum,ruminococcus_obeum,0.6075439647,1
