source,target,weigh,bootscore
m__hmdb00812,m__hmdb00812,0.9999478587,1
clostridium_citroniae,clostridium_citroniae,0.9994427636,1
m__hmdb00063,m__hmdb00063,0.9988169682,1
m__hmdb00197,m__hmdb00197,0.9987314883,1
m__hmdb00452,m__hmdb00452,0.9984776668,1
m__hmdb00725,m__hmdb00725,0.9984108644,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9983305344,1
m__hmdb01547,m__hmdb01547,0.9979742761,1
m__hmdb00019,m__hmdb00019,0.9978995731,1
m__hmdb00156,m__hmdb00156,0.997861352,1
m__hmdb03357,m__hmdb03357,0.9977169668,1
m__hmdb00244,m__hmdb00244,0.9966145176,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9960097896,1
m__hmdb00511,m__hmdb00511,0.9957882128,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.9954730705,1
m__hmdb00118,m__hmdb00118,0.9947245818,1
m__hmdb00020,m__hmdb00020,0.9945998905,1
holdemania_unclassified,holdemania_unclassified,0.9923943589,1
m__hmdb00209,m__hmdb00209,0.9910861764,1
m__hmdb00482,m__hmdb00482,0.9896768788,1
m__hmdb00699,m__hmdb00699,0.9893709757,1
eubacterium_ramulus,eubacterium_ramulus,0.9891234248,1
m__hmdb03464,m__hmdb03464,0.9861043915,1
m__hmdb00194,m__hmdb00194,0.9852787697,1
holdemania_filiformis,holdemania_filiformis,0.9829000194,1
m__hmdb11718,m__hmdb11718,0.9827722334,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9825688635,1
dorea_formicigenerans,dorea_formicigenerans,0.9824635768,1
m__hmdb00039,m__hmdb00039,0.981392894,1
m__hmdb01169,m__hmdb01169,0.9778446149,1
dorea_unclassified,dorea_unclassified,0.9744177285,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9733921241,1
streptococcus_thermophilus,streptococcus_thermophilus,0.970448217,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.9697999207,1
m__hmdb00764,m__hmdb00764,0.9686403125,1
m__hmdb00094,m__hmdb00094,0.9672833128,1
m__hmdb00195,m__hmdb00195,0.9653603472,1
m__hmdb00139,m__hmdb00139,0.9629542167,1
clostridium_leptum,clostridium_leptum,0.9628312401,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.9618651481,1
m__hmdb02123,m__hmdb02123,0.9602614229,1
m__hmdb00128,m__hmdb00128,0.9586644882,1
m__hmdb01895,m__hmdb01895,0.9574068715,1
bilophila_wadsworthia,bilophila_wadsworthia,0.9563027256,1
m__hmdb00956,m__hmdb00956,0.9536547565,1
holdemania_unclassified,formate-c-acetyltransferase-activating enzyme,-0.9506146426,1
m__hmdb00806,m__hmdb00806,0.9501269672,1
mitsuokella_unclassified,transaldolase,-0.9482138415,1
anaerostipes_hadrus,anaerostipes_hadrus,0.9464625869,1
m__hmdb00043,m__hmdb00043,0.9428493228,1
coprococcus_catus,coprococcus_catus,0.9372628636,1
m__hmdb00448,m__hmdb00448,0.9340203281,1
m__hmdb10169,m__hmdb10169,0.9303836212,1
alistipes_shahii,alistipes_shahii,0.9245862799,1
m__hmdb00562,m__hmdb00562,0.9202382346,1
propionibacterium_acnes,propionibacterium_acnes,0.9184153324,1
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,0.9130952311,1
m__hmdb00296,m__hmdb00296,0.912869019,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.8985320856,1
streptococcus_salivarius,streptococcus_salivarius,0.8878489415,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.8843397267,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00089,-0.9669515042,0.91
;  q06996: l_sendf    ;  o55528: l_sendo,streptococcus_parasanguinis,0.9244686614,0.95
pseudomonas_unclassified,l-lactate dehydrogenase,-0.8778117035,1
clostridium_citroniae,dna helicase,0.8752180089,1
m__hmdb00873,m__hmdb00873,0.8719938142,1
m__hmdb00067,m__hmdb00067,0.8706148898,1
m__hmdb00870,m__hmdb00870,0.8686236489,1
m__hmdb00262,m__hmdb00262,0.8637918182,1
m__hmdb00715,m__hmdb00715,0.8572643048,1
bacteroides_faecis,bacteroides_faecis,0.8520424446,1
m__hmdb00098,m__hmdb00098,0.8379652728,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.8369604002,1
coprobacillus_unclassified,coprobacillus_unclassified,0.8347138368,1
coprobacillus_unclassified,ruminococcus_gnavus,0.8302483623,1
m__hmdb00174,m__hmdb00174,0.8206962577,1
m__hmdb00247,m__hmdb00247,0.8206398323,1
pseudomonas_unclassified,escherichia_coli,-0.8154180903,1
holdemania_unclassified,thymidylate synthase,-0.8318798482,0.98
m__hmdb04193,m__hmdb04193,0.8114325129,1
m__hmdb00222,m__hmdb00222,0.8023666754,1
m__hmdb01149,m__hmdb01149,0.7979399617,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.7924070551,1
m__hmdb00097,m__hmdb00097,0.7916290056,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.7848887321,1
pseudomonas_unclassified,methylaspartate mutase,0.7828904922,1
collinsella_aerofaciens,collinsella_aerofaciens,0.7576483517,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.7560822193,1
m__hmdb00510,m__hmdb00510,0.7553789653,1
veillonella_atypica,veillonella_atypica,0.7501564576,1
m__hmdb00630,m__hmdb00630,0.7498423651,1
propionibacterium_acnes,parabacteroides_distasonis,-0.7450817136,1
anaerotruncus_unclassified,m__hmdb00269,-0.7903654418,0.94
m__hmdb00637,m__hmdb00637,0.73771344,1
roseburia_hominis,roseburia_hominis,0.7306169688,1
eggerthella_unclassified,m__hmdb00289,-0.8050850558,0.9
clostridiaceae_bacterium_jc118,m__hmdb00056,-0.8071317692,0.89
burkholderiales_bacterium_1_1_47,burkholderiales_bacterium_1_1_47,0.7129858662,1
;  q06996: l_sendf    ;  o55528: l_sendo,pseudomonas_unclassified,-0.7108145335,1
m__hmdb00030,m__hmdb00030,0.7093807114,1
eggerthella_unclassified,eggerthella_unclassified,0.7064994824,1
m__hmdb01232,m__hmdb01232,0.7042330459,1
3-hydroxyacyl-acyl-carrier-protein dehydratase,3-hydroxyacyl-acyl-carrier-protein dehydratase,0.6929601602,1
ruminococcus_obeum,ruminococcus_obeum,0.6911094996,1
mitsuokella_unclassified,m__hmdb00138,0.9214217936,0.75
erysipelotrichaceae_bacterium_6_1_45,eubacterium_siraeum,0.7343368369,0.94
bacteroides_finegoldii,bacteroides_finegoldii,0.6887672246,1
pseudomonas_unclassified,triose-phosphate isomerase,-0.7605506414,0.9
pseudomonas_unclassified,l-serine ammonia-lyase,-0.6826765158,1
clostridiaceae_bacterium_jc118,aldose 1-epimerase,0.7477616732,0.91
pseudomonas_unclassified,ubiquinol oxidase electrogenic: non h+-transporting,0.6803846591,1
propionibacterium_acnes,hydroxylamine reductase,0.6661854674,1
ruminococcus_lactaris,ruminococcus_lactaris,0.6619529676,1
erysipelotrichaceae_bacterium_6_1_45,peroxiredoxin,0.6554590476,1
eubacterium_hallii,eubacterium_hallii,0.6488546776,1
ribulose-bisphosphate carboxylase,ribulose-bisphosphate carboxylase,0.6448665481,1
dihydroorotate dehydrogenase quinone,dihydroorotate dehydrogenase quinone,0.6414424023,1
clostridiaceae_bacterium_jc118,endopeptidase clp,0.7037297786,0.91
clostridium_bartlettii,glyceraldehyde-3-phosphate dehydrogenase phosphorylating,-0.6411542839,0.98
fe3+-transporting atpase,fe3+-transporting atpase,0.6224934195,1
holdemania_filiformis,pyridoxal 5-phosphate synthase,-0.7368400117,0.84
m__hmdb00014,m__hmdb00014,0.6173722453,1
pseudomonas_unclassified,ribulose-phosphate 3-epimerase,0.6156718828,1
m__hmdb01547,bacteroides_massiliensis,0.6232610058,0.98
clostridium_bartlettii,roseburia_inulinivorans,-0.6148880992,0.99
pseudomonas_unclassified,protein-npi-phosphohistidine-sugar phosphotransferase,-0.7199618327,0.84
anaerotruncus_unclassified,subdoligranulum_unclassified,0.8041441601,0.75
clostridium_bartlettii,veillonella_parvula,0.6799008519,0.88
veillonella_dispar,veillonella_dispar,0.5958610663,1
s-ribosylhomocysteine lyase,s-ribosylhomocysteine lyase,0.5903029532,1
m__hmdb00020,peptostreptococcaceae_noname_unclassified,0.5867353419,1
orotidine-5-phosphate decarboxylase,orotidine-5-phosphate decarboxylase,0.583476551,1
flavonifractor_plautii,flavonifractor_plautii,0.5825250872,1
m__hmdb00239,m__hmdb00239,0.5822001112,1
bacteroides_caccae,bacteroides_caccae,0.5746103556,1
pseudomonas_unclassified,aspartate ammonia-lyase,0.5744037839,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,0.572445416,1
erysipelotrichaceae_bacterium_6_1_45,enoyl-coa hydratase,0.5618866132,1
clostridium_bartlettii,fructose-bisphosphate aldolase,0.5650479291,0.98
clostridiaceae_bacterium_jc118,4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,0.5802824372,0.94
ruminococcus_callidus,ruminococcus_callidus,0.5422192081,1
roseburia_unclassified,roseburia_unclassified,0.5336340431,1
escherichia_unclassified,escherichia_unclassified,0.5318507468,1
clostridium_bartlettii,clostridium_bartlettii,0.5307822144,1
clostridium_bartlettii,roseburia_intestinalis,0.7058483844,0.73
clostridiaceae_bacterium_jc118,glutamate decarboxylase,-0.5645360632,0.91
glycerate 3-kinase,glycerate 3-kinase,0.5120157226,1
clostridium_bartlettii,veillonella_unclassified,0.6531317019,0.78
clostridium_bartlettii,clostridium_hathewayi,0.5046528739,1
m__hmdb00156,alistipes_finegoldii,0.5044628652,1
propionibacterium_acnes,shikimate kinase,-0.5031849261,1
eubacterium_ramulus,rna helicase,0.4903315555,1
clostridium_bartlettii,oscillibacter_unclassified,0.5693935628,0.86
eggerthella_unclassified,glucose-6-phosphate dehydrogenase nadp+,0.688727865,0.71
bilophila_wadsworthia,prevotella_copri,0.4891853857,0.99
lachnospiraceae_bacterium_3_1_57faa_ct1,phosphopyruvate hydratase,0.4956036219,0.97
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.4801239482,1
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,0.478173247,1
pseudomonas_unclassified,nadh,-0.4714642006,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00251,-0.5867943475,0.79
veillonella_dispar,eubacterium_eligens,0.4632779008,1
holdemania_filiformis,bacteroides_stercoris,0.6729002821,0.68
holdemania_unclassified,glutamate dehydrogenase,-0.4811192565,0.95
clostridium_asparagiforme,odoribacter_splanchnicus,0.5072612096,0.9
phosphatidate cytidylyltransferase,phosphatidate cytidylyltransferase,0.4548603617,1
coprococcus_comes,16s rrna cytosine1402-n4-methyltransferase,0.4527983724,1
bacteroides_cellulosilyticus,bacteroides_cellulosilyticus,0.4526705508,1
