source,target,weigh,bootscore
clostridium_citroniae,clostridium_citroniae,0.99958948,1
bilophila_wadsworthia,bilophila_wadsworthia,0.9994613118,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9989666251,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.998863074,1
propionibacterium_acnes,propionibacterium_acnes,0.9983435362,1
dorea_unclassified,dorea_unclassified,0.9983158399,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.9978779749,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.9973804582,1
dorea_formicigenerans,dorea_formicigenerans,0.9964709906,1
streptococcus_thermophilus,streptococcus_thermophilus,0.9957669063,1
holdemania_unclassified,holdemania_unclassified,0.9926058506,1
pseudomonas_unclassified,pseudomonas_unclassified,0.992280452,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9921036377,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.9918326395,1
clostridium_leptum,clostridium_leptum,0.9917472455,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.990774897,1
streptococcus_salivarius,streptococcus_salivarius,0.9884205049,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.987780617,1
holdemania_filiformis,holdemania_filiformis,0.9858700743,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.9854402489,1
bilophila_unclassified,bilophila_unclassified,0.97847728,1
coprococcus_catus,coprococcus_catus,0.9757876268,1
alistipes_onderdonkii,alistipes_onderdonkii,0.9755970207,1
alistipes_shahii,alistipes_shahii,0.9753793888,1
bacteroides_faecis,bacteroides_faecis,0.9732402082,1
anaerostipes_hadrus,anaerostipes_hadrus,0.9709869224,1
ruminococcus_bromii,ruminococcus_bromii,0.9690537855,1
burkholderiales_bacterium_1_1_47,burkholderiales_bacterium_1_1_47,0.9583506175,1
collinsella_aerofaciens,collinsella_aerofaciens,0.9260299095,1
coprobacillus_unclassified,ruminococcus_gnavus,0.9214840965,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.9194258747,1
lachnospiraceae_bacterium_5_1_63faa,bacteroides_massiliensis,0.9258096469,0.99
barnesiella_intestinihominis,barnesiella_intestinihominis,0.914651135,1
akkermansia_muciniphila,akkermansia_muciniphila,0.9138033679,1
veillonella_atypica,veillonella_atypica,0.9053623697,1
coprobacillus_unclassified,coprobacillus_unclassified,0.8998831901,1
roseburia_hominis,roseburia_hominis,0.8968203396,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,0.8936425756,1
veillonella_dispar,veillonella_dispar,0.8908767281,1
bacteroides_finegoldii,bacteroides_finegoldii,0.8879556124,1
parabacteroides_merdae,parabacteroides_merdae,0.8871421022,1
lachnospiraceae_bacterium_3_1_46faa,lachnospiraceae_bacterium_3_1_46faa,0.8796080249,1
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,0.8793976435,1
ruminococcus_obeum,ruminococcus_obeum,0.8779160752,1
bacteroides_cellulosilyticus,bacteroides_cellulosilyticus,0.8749658676,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.8613721814,1
alistipes_finegoldii,alistipes_finegoldii,0.859090117,1
escherichia_unclassified,escherichia_coli,0.8501571877,0.98
holdemania_filiformis,bacteroides_stercoris,0.894754434,0.93
propionibacterium_acnes,parabacteroides_distasonis,-0.8307376666,1
flavonifractor_plautii,flavonifractor_plautii,0.824753648,1
ruminococcus_lactaris,ruminococcus_lactaris,0.8008980705,1
coprococcus_comes,coprococcus_comes,0.799935242,1
eubacterium_hallii,eubacterium_hallii,0.7932209781,1
erysipelotrichaceae_bacterium_6_1_45,eubacterium_siraeum,0.8538393436,0.92
clostridium_bartlettii,veillonella_parvula,0.8572237894,0.88
dorea_longicatena,dorea_longicatena,0.7369498802,1
veillonella_dispar,veillonella_unclassified,0.7369400949,1
lachnospiraceae_bacterium_1_1_57faa,lachnospiraceae_bacterium_1_1_57faa,0.7336808801,1
eggerthella_unclassified,eggerthella_unclassified,0.7328962192,1
bacteroides_uniformis,bacteroides_uniformis,0.7174598643,1
clostridium_bartlettii,roseburia_inulinivorans,-0.7206162601,0.99
escherichia_unclassified,escherichia_unclassified,0.7031958765,1
bacteroides_caccae,bacteroides_caccae,0.6951390758,1
ruminococcus_callidus,ruminococcus_callidus,0.6788925777,1
roseburia_unclassified,roseburia_unclassified,0.6782694159,1
propionibacterium_acnes,parabacteroides_unclassified,-0.6814616366,0.94
bacteroides_eggerthii,bacteroides_eggerthii,0.6248133928,1
clostridium_bartlettii,clostridium_hathewayi,0.6003750062,1
dorea_unclassified,bacteroides_vulgatus,0.8947301239,0.67
veillonella_dispar,eubacterium_eligens,0.5818925844,1
streptococcus_salivarius,streptococcus_parasanguinis,0.6337248972,0.88
clostridium_bartlettii,clostridium_bartlettii,0.5517150753,1
bilophila_wadsworthia,prevotella_copri,0.5219414804,1
bacteroides_thetaiotaomicron,bacteroides_thetaiotaomicron,0.4999051972,1
peptostreptococcaceae_noname_unclassified,sutterella_wadsworthensis,0.4884334477,1
anaerotruncus_colihominis,dialister_invisus,0.8671880261,0.55
bilophila_wadsworthia,prevotella_copri,-0.4716785606,1
clostridium_bartlettii,oscillibacter_unclassified,0.5854490754,0.79
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.4597612132,1
bifidobacterium_longum,bifidobacterium_longum,0.4555129644,1
collinsella_aerofaciens,bacteroides_dorei,0.4920416503,0.91
haemophilus_parainfluenzae,haemophilus_parainfluenzae,0.4400715107,1
collinsella_aerofaciens,bacteroides_dorei,-0.4838554533,0.9
clostridium_bartlettii,roseburia_intestinalis,0.8866935981,0.48
sutterella_wadsworthensis,sutterella_wadsworthensis,0.4121281982,1
streptococcus_parasanguinis,klebsiella_pneumoniae,-0.4995239974,0.78
clostridium_hathewayi,clostridium_hathewayi,0.3855315745,1
streptococcus_parasanguinis,klebsiella_pneumoniae,0.3842666417,1
clostridium_bolteae,ruminococcus_torques,0.3814990134,1
veillonella_dispar,clostridium_symbiosum,0.3943327034,0.96
eubacterium_siraeum,eubacterium_rectale,0.3804621321,0.98
eubacterium_eligens,eubacterium_eligens,0.3684207168,1
odoribacter_splanchnicus,odoribacter_splanchnicus,0.3658640822,1
clostridium_clostridioforme,clostridium_clostridioforme,0.3657314975,1
ruminococcaceae_bacterium_d16,bifidobacterium_longum,0.4505920313,0.8
alistipes_shahii,alistipes_putredinis,0.4023123187,0.89
bacteroides_ovatus,bacteroides_ovatus,0.3500069082,1
propionibacterium_acnes,c2likevirus_unclassified,0.9439316762,0.36
alistipes_shahii,alistipes_putredinis,-0.3764394889,0.89
clostridium_bolteae,ruminococcus_torques,-0.3252925533,1
ruminococcus_torques,bacteroides_ovatus,0.3786381619,0.85
veillonella_dispar,haemophilus_parainfluenzae,0.4251834469,0.75
eubacterium_rectale,eubacterium_rectale,0.2991157782,1
eubacterium_ramulus,eubacterium_ramulus,0.2975882286,1
hgi__tpt1,mitsuokella_unclassified,0.9900990196,0.3
hgr__fabp1,bacteroides_eggerthii,0.2937761883,1
ruminococcus_torques,ruminococcus_torques,0.2932084332,1
clostridium_bolteae,clostridium_bolteae,0.2908747224,1
clostridium_symbiosum,clostridium_symbiosum,0.2891220079,1
faecalibacterium_prausnitzii,faecalibacterium_prausnitzii,0.2812116072,1
eubacterium_siraeum,eubacterium_rectale,-0.3204220897,0.87
bifidobacterium_adolescentis,bifidobacterium_adolescentis,0.2708120104,1
oscillibacter_unclassified,oscillibacter_unclassified,0.2674547685,1
bacteroides_fragilis,bacteroides_fragilis,0.2659765526,1
veillonella_dispar,clostridium_symbiosum,-0.3079828027,0.81
clostridium_hathewayi,roseburia_inulinivorans,0.2471058419,1
veillonella_dispar,bacteroides_fragilis,-0.4813253051,0.49
lachnospiraceae_bacterium_1_1_57faa,bifidobacterium_adolescentis,0.2956470884,0.79
eubacterium_ventriosum,eubacterium_ventriosum,0.2327753405,1
anaerostipes_hadrus,escherichia_unclassified,0.2506823463,0.92
clostridium_hathewayi,clostridium_bolteae,0.3018240946,0.75
erysipelotrichaceae_bacterium_6_1_45,clostridium_bartlettii,0.2271614686,0.99
alistipes_putredinis,alistipes_putredinis,0.2212481924,1
parabacteroides_unclassified,parabacteroides_unclassified,0.2200879137,1
erysipelotrichaceae_bacterium_6_1_45,clostridium_bartlettii,-0.2211234561,0.98
lachnospiraceae_bacterium_7_1_58faa,ruminococcaceae_bacterium_d16,-0.2742240532,0.78
lachnospiraceae_bacterium_1_1_57faa,bifidobacterium_adolescentis,-0.2708123307,0.78
ruminococcus_torques,bacteroides_caccae,-0.25914377,0.8
lachnospiraceae_bacterium_7_1_58faa,ruminococcaceae_bacterium_d16,0.2654280381,0.78
coprococcus_catus,eubacterium_hallii,-0.2035746848,1
clostridium_asparagiforme,coprococcus_comes,0.1987996993,0.98
anaerotruncus_unclassified,eubacterium_ventriosum,0.705429572,0.27
ruminococcus_torques,bacteroides_ovatus,-0.2549452303,0.73
veillonella_parvula,veillonella_unclassified,0.2014136528,0.92
eggerthella_unclassified,eubacterium_ramulus,0.3779993113,0.48
clostridium_clostridioforme,roseburia_unclassified,0.1771455191,1
clostridium_asparagiforme,odoribacter_splanchnicus,0.3085660024,0.53
veillonella_dispar,clostridium_clostridioforme,-0.3001532881,0.52
eggerthella_unclassified,eubacterium_ramulus,-0.3233738614,0.47
alistipes_shahii,bacteroides_thetaiotaomicron,0.2614538284,0.56
veillonella_dispar,flavonifractor_plautii,-0.1461667162,1
parabacteroides_distasonis,parabacteroides_distasonis,0.1457628744,1
clostridium_clostridioforme,roseburia_unclassified,-0.144585065,1
clostridium_symbiosum,clostridium_clostridioforme,0.2610193993,0.55
erysipelotrichaceae_bacterium_6_1_45,eggerthella_unclassified,0.1424331185,1
clostridium_asparagiforme,odoribacter_splanchnicus,0.2984226213,0.47
c2likevirus_unclassified,faecalibacterium_prausnitzii,-0.1407374609,0.98
eubacterium_siraeum,eubacterium_siraeum,0.1327947788,1
erysipelotrichaceae_bacterium_6_1_45,eggerthella_unclassified,-0.1246706623,1
subdoligranulum_unclassified,subdoligranulum_unclassified,0.1209374647,1
anaerotruncus_unclassified,subdoligranulum_unclassified,0.6008982391,0.18
escherichia_coli,escherichia_coli,0.1057217586,1
klebsiella_pneumoniae,klebsiella_pneumoniae,0.1026496215,1
peptostreptococcaceae_noname_unclassified,peptostreptococcaceae_noname_unclassified,0.0998265299,1
peptostreptococcaceae_noname_unclassified,bacteroides_thetaiotaomicron,-0.1430402773,0.68
peptostreptococcaceae_noname_unclassified,bacteroides_fragilis,0.1350114766,0.72
bacteroides_vulgatus,bacteroides_vulgatus,0.0960966722,1
peptostreptococcaceae_noname_unclassified,haemophilus_parainfluenzae,-0.0980264032,0.98
peptostreptococcaceae_noname_unclassified,bifidobacterium_longum,-0.0919035598,1
lachnospiraceae_bacterium_8_1_57faa,peptostreptococcaceae_noname_unclassified,0.8243387088,0.11
odoribacter_splanchnicus,bacteroides_xylanisolvens,0.0856687125,1
veillonella_dispar,coprobacillus_unclassified,0.0875826449,0.96
hgi__anpep,bacteroides_eggerthii,0.0814104188,1
clostridiaceae_bacterium_jc118,ruminococcus_callidus,-0.1258427907,0.64
c2likevirus_unclassified,sutterella_wadsworthensis,0.0968530755,0.8
veillonella_parvula,oscillibacter_unclassified,-0.0761531704,1
veillonella_unclassified,roseburia_intestinalis,0.075443724,1
dorea_formicigenerans,lachnospiraceae_bacterium_3_1_46faa,-0.0953055684,0.79
dialister_invisus,dialister_invisus,0.0747227595,1
coprococcus_catus,subdoligranulum_unclassified,0.237434671,0.31
ruminococcus_gnavus,veillonella_dispar,-0.0766532258,0.96
bacteroides_massiliensis,bacteroides_massiliensis,0.0732689201,1
eggerthella_unclassified,lachnospiraceae_bacterium_3_1_57faa_ct1,0.080138161,0.91
c2likevirus_unclassified,bacteroides_uniformis,-0.0904027466,0.8
ruminococcus_lactaris,ruminococcus_obeum,0.0721544493,1
veillonella_parvula,veillonella_parvula,0.0715548337,1
streptococcus_thermophilus,ruminococcus_lactaris,0.0930002917,0.74
bacteroides_thetaiotaomicron,roseburia_hominis,0.0664990898,0.99
clostridium_hathewayi,clostridium_bolteae,-0.1328390708,0.47
clostridium_symbiosum,ruminococcus_gnavus,-0.0626008267,0.99
veillonella_unclassified,veillonella_unclassified,0.0616462523,1
sutterella_wadsworthensis,peptostreptococcaceae_noname_unclassified,-0.0680272234,0.89
c2likevirus_unclassified,parabacteroides_merdae,-0.0583473642,0.99
veillonella_dispar,veillonella_atypica,0.0574762191,1
bacteroides_stercoris,bacteroides_stercoris,0.0562455615,1
coprobacillus_unclassified,clostridiales_bacterium_1_7_47faa,0.0805604744,0.67
c2likevirus_unclassified,parabacteroides_merdae,0.0545105336,0.98
ruminococcus_lactaris,streptococcus_parasanguinis,0.1062660542,0.49
c2likevirus_unclassified,bacteroides_uniformis,0.0730600777,0.71
eggerthella_unclassified,clostridium_bolteae,0.2501967779,0.2
ruminococcus_gnavus,eubacterium_eligens,-0.0496866988,1
streptococcus_thermophilus,dorea_longicatena,0.1208776656,0.41
eubacterium_siraeum,bacteroides_cellulosilyticus,0.0575015759,0.81
bifidobacterium_longum,collinsella_aerofaciens,0.0465018201,1
peptostreptococcaceae_noname_unclassified,escherichia_unclassified,-0.0461217773,1
hgi__hla-dra,escherichia_coli,0.0441210538,0.99
hgr__fabp1,bacteroides_finegoldii,0.0485311219,0.89
c2likevirus_unclassified,c2likevirus_unclassified,0.0426802323,1
sutterella_wadsworthensis,bacteroides_fragilis,0.0718722162,0.59
lachnospiraceae_bacterium_8_1_57faa,faecalibacterium_prausnitzii,0.4235504362,0.1
roseburia_hominis,faecalibacterium_prausnitzii,0.1321367767,0.32
prevotella_copri,barnesiella_intestinihominis,0.0431310083,0.98
streptococcus_thermophilus,dorea_longicatena,0.1197722779,0.35
prevotella_copri,barnesiella_intestinihominis,-0.0422178567,0.97
ruminococcaceae_bacterium_d16,eubacterium_ventriosum,0.059957831,0.64
roseburia_inulinivorans,roseburia_inulinivorans,0.032277898,1
dorea_formicigenerans,veillonella_atypica,-0.0367739778,0.8
bilophila_wadsworthia,bifidobacterium_adolescentis,0.1620278739,0.18
ruminococcus_gnavus,veillonella_dispar,0.0324700461,0.89
ruminococcus_gnavus,flavonifractor_plautii,0.0290796359,0.99
bacteroides_caccae,akkermansia_muciniphila,-0.0444424373,0.64
coprobacillus_unclassified,clostridiales_bacterium_1_7_47faa,-0.0561845487,0.49
bifidobacterium_adolescentis,collinsella_aerofaciens,0.0274682704,1
eubacterium_siraeum,bacteroides_cellulosilyticus,-0.0435237371,0.63
alistipes_shahii,odoribacter_splanchnicus,0.0271472941,1
escherichia_unclassified,anaerostipes_hadrus,-0.0265076119,0.94
mitsuokella_unclassified,ruminococcus_callidus,0.1910717973,0.13
bacteroides_dorei,bacteroides_dorei,0.0241028965,1
roseburia_intestinalis,roseburia_intestinalis,0.0238751318,1
veillonella_dispar,coprococcus_catus,0.0231427089,1
peptostreptococcaceae_noname_unclassified,bacteroides_thetaiotaomicron,0.0611442472,0.36
ruminococcus_obeum,streptococcus_parasanguinis,0.0875971357,0.25
anaerotruncus_unclassified,ruminococcus_lactaris,0.0940602863,0.23
ruminococcus_obeum,streptococcus_parasanguinis,0.0830242233,0.26
parasutterella_excrementihominis,lachnospiraceae_bacterium_7_1_58faa,0.0604119679,0.33
bacteroides_thetaiotaomicron,bacteroides_xylanisolvens,0.0206887119,0.92
bacteroides_eggerthii,bacteroides_finegoldii,-0.0295907422,0.62
ruminococcus_lactaris,ruminococcus_obeum,-0.0481295887,0.38
oscillibacter_unclassified,parabacteroides_distasonis,0.0233531474,0.78
alistipes_onderdonkii,bacteroides_uniformis,0.1008774632,0.17
parasutterella_excrementihominis,lachnospiraceae_bacterium_7_1_58faa,-0.0556871412,0.3
escherichia_coli,ruminococcus_bromii,-0.0166139241,0.98
ruminococcus_gnavus,ruminococcus_gnavus,-0.0159150768,1
bacteroides_dorei,roseburia_hominis,0.0200245241,0.79
akkermansia_muciniphila,bacteroides_caccae,0.0237819047,0.65
anaerotruncus_colihominis,alistipes_finegoldii,-0.1101472632,0.14
bacteroides_vulgatus,bacteroides_faecis,0.0161350564,0.91
ruminococcus_lactaris,lachnospiraceae_bacterium_1_1_57faa,0.0907731021,0.16
lachnospiraceae_bacterium_3_1_46faa,dialister_invisus,0.0337325004,0.42
roseburia_inulinivorans,clostridium_hathewayi,-0.0140934193,1
eubacterium_rectale,eubacterium_siraeum,0.0133658776,1
escherichia_coli,ruminococcus_bromii,0.0143322905,0.93
