source,target,weigh,bootscore
mitsuokella_unclassified,mitsuokella_unclassified,0.9984834727,1
pseudomonas_unclassified,pseudomonas_unclassified,0.9982959671,1
clostridium_citroniae,clostridium_citroniae,0.9980107312,1
dorea_formicigenerans,dorea_formicigenerans,0.9976798048,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.9973018535,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9971106147,1
anaerostipes_hadrus,anaerostipes_hadrus,0.9957144759,1
clostridium_bartlettii,clostridium_bartlettii,0.9956449838,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.9925454256,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.9911041065,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.9905157271,1
pseudomonas_unclassified,streptococcus_parasanguinis,0.9879816223,1
holdemania_filiformis,holdemania_filiformis,0.9846014732,1
dorea_unclassified,dorea_unclassified,0.9819996355,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9808239953,1
holdemania_unclassified,holdemania_unclassified,0.9794984239,1
coprococcus_catus,coprococcus_catus,0.9743626971,1
ruminococcus_obeum,ruminococcus_obeum,0.9671186111,1
streptococcus_salivarius,streptococcus_salivarius,0.9634765619,1
ruminococcus_bromii,ruminococcus_bromii,0.9585980226,1
alistipes_shahii,alistipes_shahii,0.9561970575,1
bilophila_wadsworthia,bilophila_wadsworthia,0.9441396071,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,0.9140117046,1
veillonella_dispar,veillonella_dispar,0.90240685,1
roseburia_hominis,roseburia_hominis,0.8960098356,1
lachnospiraceae_bacterium_1_1_57faa,lachnospiraceae_bacterium_1_1_57faa,0.892783437,1
barnesiella_intestinihominis,barnesiella_intestinihominis,0.8902665888,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.8766501391,1
parabacteroides_unclassified,parabacteroides_unclassified,0.8636729489,1
ruminococcus_obeum,eubacterium_eligens,0.8617200997,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.8537043401,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.852236931,1
clostridium_leptum,clostridium_leptum,0.8504222697,1
clostridium_citroniae,clostridium_symbiosum,0.8470254368,0.99
erysipelotrichaceae_bacterium_6_1_45,eubacterium_siraeum,0.834723678,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.8028328233,1
eggerthella_unclassified,eggerthella_unclassified,0.783463696,1
