source,target,weigh,bootscore
m__hmdb00812,m__hmdb00812,0.9999733363,1
m__hmdb00063,m__hmdb00063,0.999948567,1
clostridium_citroniae,clostridium_citroniae,0.9998564034,1
m__hmdb01547,m__hmdb01547,0.9997792115,1
m__hmdb00725,m__hmdb00725,0.9997245398,1
m__hmdb00452,m__hmdb00452,0.9992426229,1
m__hmdb00197,m__hmdb00197,0.9992251,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9991316984,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9989687622,1
m__hmdb00244,m__hmdb00244,0.9987419581,1
m__hmdb03357,m__hmdb03357,0.9987411915,1
m__hmdb00156,m__hmdb00156,0.9986797596,1
m__hmdb00019,m__hmdb00019,0.9986167172,1
mitsuokella_unclassified,mitsuokella_unclassified,0.998576372,1
m__hmdb00511,m__hmdb00511,0.9984019688,1
m__hmdb00195,m__hmdb00195,0.9977968217,1
dorea_unclassified,dorea_unclassified,0.9975859043,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.9973772107,1
m__hmdb00296,m__hmdb00296,0.997224723,1
dorea_formicigenerans,dorea_formicigenerans,0.9965385557,1
propionibacterium_acnes,propionibacterium_acnes,0.996423815,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9963159463,1
m__hmdb00118,m__hmdb00118,0.9962434201,1
m__hmdb00020,m__hmdb00020,0.9960846267,1
m__hmdb11718,m__hmdb11718,0.9956515091,1
m__hmdb03464,m__hmdb03464,0.9955838109,1
m__hmdb00448,m__hmdb00448,0.9948809259,1
m__hmdb00482,m__hmdb00482,0.9948052867,1
m__hmdb00209,m__hmdb00209,0.9947840248,1
m__hmdb00699,m__hmdb00699,0.9943441841,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.994120102,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.9940519369,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.9930605948,1
holdemania_unclassified,holdemania_unclassified,0.9926965602,1
eubacterium_ramulus,eubacterium_ramulus,0.9924908581,1
bilophila_wadsworthia,bilophila_wadsworthia,0.992388198,1
m__hmdb00365,m__hmdb00365,0.9919395358,1
m__hmdb00067,m__hmdb00067,0.9918017914,1
odoribacter_splanchnicus,odoribacter_splanchnicus,0.9913465468,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.9907732421,1
m__hmdb00510,m__hmdb00510,0.9897792454,1
m__hmdb00956,m__hmdb00956,0.98970186,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.9877989093,1
m__hmdb00764,m__hmdb00764,0.9875935072,1
m__hmdb00194,m__hmdb00194,0.9875427149,1
m__hmdb00039,m__hmdb00039,0.9863141245,1
holdemania_filiformis,holdemania_filiformis,0.9858703013,1
m__hmdb01895,m__hmdb01895,0.9853604896,1
m__hmdb10169,m__hmdb10169,0.9845362534,1
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,0.9843272267,1
holdemania_unclassified,formate-c-acetyltransferase-activating enzyme,-0.9832877654,1
m__hmdb01169,m__hmdb01169,0.9828457578,1
m__hmdb02123,m__hmdb02123,0.9823346204,1
lachnospiraceae_bacterium_1_1_57faa,lachnospiraceae_bacterium_1_1_57faa,0.9821039505,1
m__hmdb00043,m__hmdb00043,0.9809341754,1
streptococcus_thermophilus,streptococcus_thermophilus,0.9758474205,1
coprococcus_catus,coprococcus_catus,0.9758073255,1
alistipes_shahii,alistipes_shahii,0.9755669685,1
m__hmdb00715,m__hmdb00715,0.9754891368,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9738198328,1
m__hmdb00094,m__hmdb00094,0.9733842771,1
m__hmdb00128,m__hmdb00128,0.972919081,1
m__hmdb00562,m__hmdb00562,0.9709958797,1
anaerostipes_hadrus,anaerostipes_hadrus,0.9709766511,1
ruminococcus_bromii,ruminococcus_bromii,0.9693439283,1
fe3+-transporting atpase,fe3+-transporting atpase,0.9686941864,1
m__hmdb00806,m__hmdb00806,0.9682085828,1
m__hmdb00139,m__hmdb00139,0.966977354,1
clostridium_citroniae,dna helicase,0.9641566729,1
mitsuokella_unclassified,transaldolase,-0.9604558678,1
m__hmdb00637,m__hmdb00637,0.9584953292,1
burkholderiales_bacterium_1_1_47,burkholderiales_bacterium_1_1_47,0.9584160806,1
clostridium_leptum,clostridium_leptum,0.9570877579,1
glycerate 3-kinase,glycerate 3-kinase,0.9525893459,1
m__hmdb01149,m__hmdb01149,0.9525375083,1
alistipes_onderdonkii,alistipes_onderdonkii,0.9521116021,1
m__hmdb00619,m__hmdb00619,0.9501887118,1
