source,target,weigh,bootscore
m__hmdb00019,m__hmdb00019,0.9999643369,1
m__hmdb01169,m__hmdb01169,0.9999247257,1
m__hmdb00812,m__hmdb00812,0.9999227457,1
m__hmdb00197,m__hmdb00197,0.999901722,1
m__hmdb00063,m__hmdb00063,0.9997608749,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9992349422,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9989576604,1
m__hmdb03357,m__hmdb03357,0.9987604447,1
m__hmdb00244,m__hmdb00244,0.9987346957,1
m__hmdb01232,m__hmdb01232,0.9986690074,1
mitsuokella_unclassified,rna helicase,0.9985914323,1
dorea_formicigenerans,dorea_formicigenerans,0.9976959788,1
m__hmdb00511,m__hmdb00511,0.9972612437,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9971040366,1
m__hmdb00448,m__hmdb00448,0.9970490635,1
clostridium_citroniae,clostridium_citroniae,0.997041386,1
m__hmdb00156,m__hmdb00156,0.9965599051,1
m__hmdb01547,m__hmdb01547,0.9957390032,1
anaerostipes_hadrus,anaerostipes_hadrus,0.9957217736,1
clostridium_bartlettii,clostridium_bartlettii,0.9956479196,1
eubacterium_ramulus,eubacterium_ramulus,0.995291322,1
m__hmdb00118,m__hmdb00118,0.9946397364,1
m__hmdb00067,m__hmdb00067,0.9933589816,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.9925497035,1
m__hmdb00094,m__hmdb00094,0.9922259813,1
m__hmdb00699,m__hmdb00699,0.9921625669,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.9916516874,1
m__hmdb11718,m__hmdb11718,0.9907465327,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.9905197944,1
m__hmdb00043,m__hmdb00043,0.9902037396,1
m__hmdb00195,m__hmdb00195,0.9900504716,1
pseudomonas_unclassified,streptococcus_parasanguinis,0.9879627282,1
m__hmdb00139,m__hmdb00139,0.9879024274,1
m__hmdb00039,m__hmdb00039,0.9877608195,1
m__hmdb00098,m__hmdb00098,0.9859151929,1
m__hmdb03464,m__hmdb03464,0.9855174828,1
holdemania_filiformis,holdemania_filiformis,0.9846093442,1
coprococcus_catus,coprococcus_catus,0.9842405311,1
holdemania_unclassified,akkermansia_muciniphila,0.9822663132,1
m__hmdb00452,m__hmdb00452,0.9821908488,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9813696998,1
m__hmdb00020,m__hmdb00020,0.9804764375,1
m__hmdb00097,m__hmdb00097,0.9803790714,1
m__hmdb01895,m__hmdb01895,0.9801372369,1
dorea_unclassified,dorea_unclassified,0.9799914896,1
holdemania_unclassified,holdemania_unclassified,0.9799361354,1
m__hmdb00209,m__hmdb00209,0.9792661412,1
m__hmdb00764,m__hmdb00764,0.9705179824,1
m__hmdb00725,m__hmdb00725,0.9672762205,1
ruminococcus_obeum,ruminococcus_obeum,0.9670840532,1
m__hmdb00715,m__hmdb00715,0.9658805245,1
methylaspartate mutase,methylaspartate mutase,0.9657282549,1
m__hmdb00194,m__hmdb00194,0.9651735294,1
m__hmdb00296,m__hmdb00296,0.9635871359,1
m__hmdb04193,m__hmdb04193,0.9609513398,1
ruminococcus_bromii,ruminococcus_bromii,0.958164443,1
alistipes_shahii,alistipes_shahii,0.957538923,1
bilophila_wadsworthia,bilophila_wadsworthia,0.9566079172,1
streptococcus_thermophilus,streptococcus_thermophilus,0.9523148731,1
pseudomonas_unclassified,fructose-bisphosphate aldolase,-0.9517857275,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.9513263145,1
m__hmdb00510,m__hmdb00510,0.9445106035,1
m__hmdb00806,m__hmdb00806,0.9383981256,1
m__hmdb00870,m__hmdb00870,0.9357202902,1
m__hmdb00630,m__hmdb00630,0.9352783806,1
veillonella_dispar,veillonella_dispar,0.9343421376,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.929763293,1
m__hmdb00269,m__hmdb00269,0.9257547644,1
m__hmdb00262,m__hmdb00262,0.9238240979,1
streptococcus_salivarius,serine o-acetyltransferase,0.9234446238,1
m__hmdb00873,m__hmdb00873,0.920630724,1
ubiquinol oxidase electrogenic: non h+-transporting,ubiquinol oxidase electrogenic: non h+-transporting,0.9198974837,1
pseudomonas_unclassified,3-hydroxyacyl-acyl-carrier-protein dehydratase,-0.9196727042,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,0.9196062933,1
clostridium_symbiosum,clostridium_symbiosum,0.9173309406,1
m__hmdb00619,m__hmdb00619,0.9105391917,1
m__hmdb00482,m__hmdb00482,0.9094172478,1
m__hmdb00174,m__hmdb00174,0.9086208564,1
lachnospiraceae_bacterium_1_1_57faa,lachnospiraceae_bacterium_1_1_57faa,0.8930035955,1
m__hmdb10169,m__hmdb10169,0.8883381047,1
m__hmdb00247,m__hmdb00247,0.8860716841,1
collinsella_aerofaciens,collinsella_aerofaciens,0.8852525864,1
bacterial non-heme ferritin,bacterial non-heme ferritin,0.8827693159,1
pyridoxal 5-phosphate synthase glutamine hydrolyzing,pyridoxal 5-phosphate synthase glutamine hydrolyzing,0.8794719377,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.8759414371,1
clostridium_leptum,clostridium_leptum,0.8626514642,1
barnesiella_intestinihominis,barnesiella_intestinihominis,0.8625304789,1
m__hmdb00036,m__hmdb00036,0.8541969634,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.8518088525,1
erysipelotrichaceae_bacterium_6_1_45,enoyl-coa hydratase,0.8461660481,1
anaerostipes_hadrus,escherichia_unclassified,0.8552099033,0.98
ruminococcaceae_bacterium_d16,m__hmdb01991,0.8465333792,0.99
roseburia_hominis,roseburia_hominis,0.8363676622,1
glucose-6-phosphate dehydrogenase nadp+,glucose-6-phosphate dehydrogenase nadp+,0.8361891732,1
erysipelotrichaceae_bacterium_6_1_45,eubacterium_siraeum,0.8345419747,1
eubacterium_hallii,eubacterium_hallii,0.8286447937,1
m__hmdb00128,m__hmdb00128,0.8232564727,1
anaerotruncus_colihominis,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,0.8219778323,1
propionibacterium_acnes,propionibacterium_acnes,0.8213989723,1
holdemania_unclassified,m__hmdb00365,0.8725902624,0.94
m__hmdb00562,m__hmdb00562,0.8185903391,1
clostridium_citroniae,m__hmdb00637,0.8600768569,0.95
glucose-1-phosphate adenylyltransferase,glucose-1-phosphate adenylyltransferase,0.8042977248,1
ruminococcus_lactaris,ruminococcus_lactaris,0.8037880919,1
m__hmdb00626,m__hmdb00626,0.8020611469,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.8008367901,1
phosphatidate cytidylyltransferase,phosphatidate cytidylyltransferase,0.7964658204,1
glutamate dehydrogenase nadp+,glutamate dehydrogenase nadp+,0.794836145,1
eggerthella_unclassified,eggerthella_unclassified,0.7833735119,1
parabacteroides_merdae,parabacteroides_merdae,0.7815768295,1
lachnospiraceae_bacterium_2_1_58faa,m__hmdb00056,0.780635973,1
eubacterium_ventriosum,eubacterium_ventriosum,0.7801796691,1
bacteroides_eggerthii,bacteroides_eggerthii,0.7794677629,1
mitsuokella_unclassified,m__hmdb00251,0.775674353,1
pseudomonas_unclassified,adenosylmethionine-8-amino-7-oxononanoate transaminase,-0.770868928,1
pseudomonas_unclassified,l-serine ammonia-lyase,-0.7700028541,1
bacteroides_ovatus,bacteroides_ovatus,0.7672603882,1
beta-lactamase,beta-lactamase,0.7653764022,1
m__hmdb00715,dialister_invisus,0.7972090147,0.96
bifidobacterium_longum,bifidobacterium_longum,0.7636003358,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.7587239574,1
aspartate ammonia-lyase,aspartate ammonia-lyase,0.7519178794,1
m__hmdb00956,m__hmdb00956,0.7362517479,1
lachnospiraceae_bacterium_3_1_57faa_ct1,transaldolase,0.7298936238,1
dihydroorotate dehydrogenase quinone,dihydroorotate dehydrogenase quinone,0.728552265,1
coprococcus_catus,roseburia_inulinivorans,0.8669678279,0.84
;  q06996: l_sendf    ;  o55528: l_sendo,bacteroides_cellulosilyticus,-0.9830017226,0.74
pseudomonas_unclassified,triose-phosphate isomerase,-0.7219844464,1
s-ribosylhomocysteine lyase,s-ribosylhomocysteine lyase,0.7172233433,1
pseudomonas_unclassified,cytochrome-c oxidase,0.7132688427,1
glycerate 3-kinase,glycerate 3-kinase,0.7015545712,1
bacteroides_finegoldii,bacteroides_finegoldii,0.6949684217,1
m__hmdb00014,m__hmdb00014,0.6929944644,1
clostridiales_bacterium_1_7_47faa,phosphopyruvate hydratase,-0.6885352261,1
bacteroides_thetaiotaomicron,bacteroides_thetaiotaomicron,0.6803303772,1
clostridium_symbiosum,m__hmdb00239,0.6780796062,1
pseudomonas_unclassified,protein-npi-phosphohistidine-sugar phosphotransferase,0.8752801324,0.77
thymidylate synthase,thymidylate synthase,0.672931268,1
coprococcus_comes,16s rrna cytosine1402-n4-methyltransferase,0.6765698301,0.98
bilophila_unclassified,bilophila_unclassified,0.6617286572,1
m__hmdb02329,m__hmdb02329,0.658768765,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.6533002091,1
clostridium_bolteae,superoxide dismutase,0.6594909779,0.99
uridine kinase,uridine kinase,0.6507530599,1
coprobacillus_unclassified,acetyl-coa c-acetyltransferase,0.8002129666,0.81
m__hmdb00222,m__hmdb00222,0.6446690681,1
parasutterella_excrementihominis,fe3+-transporting atpase,0.6432747329,1
orotidine-5-phosphate decarboxylase,orotidine-5-phosphate decarboxylase,0.6424424006,1
subdoligranulum_unclassified,subdoligranulum_unclassified,0.6424345306,1
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,0.6418933504,1
2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,0.6328856574,1
oscillibacter_unclassified,oscillibacter_unclassified,0.6306368396,1
3-hydroxybutyryl-coa dehydrogenase,3-hydroxybutyryl-coa dehydrogenase,0.6230258914,1
beta-ketoacyl-acyl-carrier-protein synthase ii,beta-ketoacyl-acyl-carrier-protein synthase ii,0.6222712746,1
;  q06996: l_sendf    ;  o55528: l_sendo,pseudomonas_unclassified,-0.6215533477,1
escherichia_unclassified,escherichia_coli,0.6206386672,1
preq1 synthase,preq1 synthase,0.613153906,1
lachnospiraceae_bacterium_2_1_58faa,bacteroides_caccae,0.6090538947,1
holdemania_filiformis,phosphoglycerate kinase,0.8523026685,0.69
m__hmdb00030,m__hmdb00030,0.5832683164,1
alistipes_putredinis,alistipes_putredinis,0.5820315472,1
parabacteroides_distasonis,parabacteroides_distasonis,0.5808540031,1
parabacteroides_unclassified,parabacteroides_unclassified,0.5790387732,1
erysipelotrichaceae_bacterium_6_1_45,histidine kinase,-0.600464268,0.96
bacteroides_stercoris,bacteroides_stercoris,0.5761113194,1
clostridiaceae_bacterium_jc118,glutamate decarboxylase,-0.7108280443,0.8
glycerol kinase,glycerol kinase,0.5679017318,1
c2likevirus_unclassified,c2likevirus_unclassified,0.5669058552,1
3-hydroxyacyl-coa dehydrogenase,faecalibacterium_prausnitzii,0.565412253,1
3-hydroxyacyl-coa dehydrogenase,3-hydroxyacyl-coa dehydrogenase,0.5642289966,1
m__hmdb02123,m__hmdb02123,0.564208432,1
dorea_longicatena,dorea_longicatena,0.563508521,1
pseudomonas_unclassified,l-lactate dehydrogenase,0.7209041972,0.78
bacteroides_finegoldii,eubacterium_eligens,0.6036925549,0.91
pseudomonas_unclassified,peroxiredoxin,0.5662967583,0.97
hydroxylamine reductase,bacteroides_fragilis,0.5464426199,1
endopeptidase clp,endopeptidase clp,0.544167696,1
pseudomonas_unclassified,nadh dehydrogenase quinone,0.7107776592,0.76
dorea_longicatena,m__hmdb02322,0.6666187087,0.81
coprococcus_comes,coprococcus_comes,0.5391322002,1
flavonifractor_plautii,flavonifractor_plautii,0.5387661018,1
streptococcus_parasanguinis,klebsiella_pneumoniae,0.5276370948,1
eggerthella_unclassified,clostridium_hathewayi,0.5584766705,0.94
m__hmdb01895,streptococcus_salivarius,-0.5622855525,0.93
eubacterium_rectale,eubacterium_rectale,0.5223784748,1
roseburia_unclassified,roseburia_unclassified,0.5168503347,1
clostridiaceae_bacterium_jc118,formate-c-acetyltransferase-activating enzyme,0.6081287205,0.84
