source,target,weigh,bootscore
clostridium_citroniae,clostridium_citroniae,0.998132388,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9973505003,1
pseudomonas_unclassified,pseudomonas_unclassified,0.9969352239,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9963693035,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.9900133221,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.9876307909,1
dorea_formicigenerans,dorea_formicigenerans,0.9833790099,1
holdemania_filiformis,holdemania_filiformis,0.9809590866,1
dorea_unclassified,dorea_unclassified,0.9798712936,1
holdemania_unclassified,holdemania_unclassified,0.9782361261,1
clostridium_bartlettii,clostridium_bartlettii,0.9773354015,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9754869186,1
streptococcus_salivarius,streptococcus_salivarius,0.9653858758,1
ruminococcus_bromii,ruminococcus_bromii,0.9447209145,1
coprococcus_catus,coprococcus_catus,0.943544964,1
alistipes_shahii,alistipes_shahii,0.9409478034,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.9394077953,1
ruminococcus_obeum,ruminococcus_obeum,0.9275717475,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.8650645427,1
anaerostipes_hadrus,escherichia_unclassified,0.8778792238,0.97
lachnospiraceae_bacterium_1_1_57faa,lachnospiraceae_bacterium_1_1_57faa,0.8452986008,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.8414714878,1
clostridium_leptum,clostridium_leptum,0.8329239898,1
erysipelotrichaceae_bacterium_6_1_45,eubacterium_siraeum,0.8311042327,1
roseburia_hominis,roseburia_hominis,0.8270666786,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,0.8224832045,1
clostridium_clostridioforme,clostridium_clostridioforme,0.8200086615,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.8064010003,1
mitsuokella_unclassified,ruminococcus_callidus,0.8055509182,0.99
bilophila_wadsworthia,bilophila_wadsworthia,0.7871574421,1
clostridium_citroniae,clostridium_symbiosum,0.7860424128,0.99
anaerostipes_hadrus,anaerostipes_hadrus,0.7725054686,1
eggerthella_unclassified,eggerthella_unclassified,0.7649070159,1
ruminococcus_lactaris,ruminococcus_lactaris,0.7610805526,1
parabacteroides_unclassified,parabacteroides_unclassified,0.7402879845,1
clostridiales_bacterium_1_7_47faa,veillonella_unclassified,0.7920944158,0.93
bifidobacterium_longum,bifidobacterium_longum,0.7026831106,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.6775013442,1
parabacteroides_merdae,parabacteroides_merdae,0.6717929676,1
barnesiella_intestinihominis,barnesiella_intestinihominis,0.6583159513,1
eubacterium_ventriosum,eubacterium_ventriosum,0.6528613578,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.6399507654,1
collinsella_aerofaciens,collinsella_aerofaciens,0.6377412376,1
pseudomonas_unclassified,streptococcus_parasanguinis,0.6361216406,1
alistipes_onderdonkii,alistipes_onderdonkii,0.6245898612,1
bacteroides_thetaiotaomicron,bacteroides_thetaiotaomicron,0.6167710441,1
bilophila_unclassified,bilophila_unclassified,0.6155168087,1
veillonella_dispar,veillonella_dispar,0.6085906235,1
lachnospiraceae_bacterium_2_1_58faa,bacteroides_caccae,0.6040314078,1
coprococcus_catus,roseburia_inulinivorans,0.6401952329,0.93
oscillibacter_unclassified,oscillibacter_unclassified,0.5781107717,1
mitsuokella_unclassified,odoribacter_splanchnicus,0.6230789223,0.91
coprococcus_comes,coprococcus_comes,0.5352171926,1
c2likevirus_unclassified,c2likevirus_unclassified,0.5188715386,1
bacteroides_finegoldii,bacteroides_finegoldii,0.5052080292,1
burkholderiales_bacterium_1_1_47,veillonella_atypica,0.520624041,0.97
bacteroides_stercoris,bacteroides_stercoris,0.5025885588,1
escherichia_unclassified,bacteroides_vulgatus,-0.506833432,0.98
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.4935213446,1
ruminococcus_obeum,bifidobacterium_adolescentis,0.4883594043,1
streptococcus_thermophilus,streptococcus_thermophilus,0.4832128926,1
propionibacterium_acnes,propionibacterium_acnes,0.4744929374,1
roseburia_unclassified,roseburia_unclassified,0.4651120658,1
clostridium_bartlettii,veillonella_parvula,0.6608636298,0.7
streptococcus_parasanguinis,klebsiella_pneumoniae,0.4501850291,1
parabacteroides_distasonis,parabacteroides_distasonis,0.4462181937,1
alistipes_putredinis,alistipes_putredinis,0.4413601093,1
eggerthella_unclassified,clostridium_hathewayi,0.4431372715,0.98
ruminococcus_bromii,dialister_invisus,0.4337876365,1
roseburia_hominis,faecalibacterium_prausnitzii,0.4380944064,0.99
coprobacillus_unclassified,coprobacillus_unclassified,0.4306992684,1
eggerthella_unclassified,eubacterium_ramulus,0.4277342372,1
sutterella_wadsworthensis,sutterella_wadsworthensis,0.4260314179,1
alistipes_finegoldii,bacteroides_uniformis,0.4506433496,0.94
holdemania_unclassified,akkermansia_muciniphila,0.6582459961,0.64
barnesiella_intestinihominis,prevotella_copri,0.4067808473,1
