source,target,weigh,bootscore
clostridium_asparagiforme,clostridium_asparagiforme,0.9962012277,1
clostridium_citroniae,clostridium_citroniae,0.9948883561,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9935937099,1
dorea_unclassified,dorea_unclassified,0.990475478,1
holdemania_unclassified,holdemania_unclassified,0.9855233098,1
dorea_formicigenerans,dorea_formicigenerans,0.9820454317,1
propionibacterium_acnes,propionibacterium_acnes,0.9779179976,1
pseudomonas_unclassified,pseudomonas_unclassified,0.9750571681,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.9621059325,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.9540475849,1
alistipes_shahii,alistipes_shahii,0.9527157446,1
anaerostipes_hadrus,anaerostipes_hadrus,0.9464026069,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9458378404,1
alistipes_onderdonkii,alistipes_onderdonkii,0.9233489953,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.9117897164,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.9007817704,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.8946894308,1
coprococcus_catus,coprococcus_catus,0.8537504267,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.8522539063,1
streptococcus_thermophilus,streptococcus_thermophilus,0.8363636436,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.8248323112,1
coprobacillus_unclassified,coprobacillus_unclassified,0.7938240007,1
coprobacillus_unclassified,ruminococcus_gnavus,0.7937614903,1
propionibacterium_acnes,c2likevirus_unclassified,0.8083019852,0.98
roseburia_hominis,roseburia_hominis,0.7849251274,1
clostridium_leptum,clostridium_leptum,0.7826086957,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.7785424743,1
anaerotruncus_unclassified,subdoligranulum_unclassified,0.8423535793,0.92
collinsella_aerofaciens,collinsella_aerofaciens,0.7661102192,1
streptococcus_salivarius,streptococcus_salivarius,0.7605651136,1
bilophila_wadsworthia,bilophila_wadsworthia,0.7517410747,1
holdemania_filiformis,holdemania_filiformis,0.7248011053,1
eggerthella_unclassified,eggerthella_unclassified,0.7233197019,1
lachnospiraceae_bacterium_5_1_63faa,bacteroides_massiliensis,0.7588769394,0.94
burkholderiales_bacterium_1_1_47,burkholderiales_bacterium_1_1_47,0.7123277173,1
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,0.7057269574,1
eubacterium_hallii,eubacterium_hallii,0.6783345028,1
ruminococcus_callidus,ruminococcus_callidus,0.6481829921,1
veillonella_atypica,veillonella_atypica,0.6263210603,1
ruminococcus_obeum,ruminococcus_obeum,0.6239134344,1
clostridium_clostridioforme,clostridium_clostridioforme,0.623270476,1
dorea_unclassified,bacteroides_vulgatus,0.7586804835,0.8
erysipelotrichaceae_bacterium_6_1_45,eubacterium_siraeum,0.672122347,0.9
dorea_longicatena,dorea_longicatena,0.5996542624,1
bacteroides_caccae,bacteroides_caccae,0.5977151875,1
lachnospiraceae_bacterium_3_1_46faa,lachnospiraceae_bacterium_3_1_46faa,0.5976150513,1
holdemania_filiformis,bacteroides_stercoris,0.6277705298,0.95
akkermansia_muciniphila,akkermansia_muciniphila,0.5920561531,1
clostridium_citroniae,bacteroides_ovatus,0.8091088902,0.73
flavonifractor_plautii,flavonifractor_plautii,0.5832816154,1
clostridium_bartlettii,roseburia_inulinivorans,-0.586526698,0.99
lachnospiraceae_bacterium_1_1_57faa,lachnospiraceae_bacterium_1_1_57faa,0.5763602157,1
ruminococcus_lactaris,ruminococcus_lactaris,0.5735323453,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,0.5597452459,1
propionibacterium_acnes,parabacteroides_distasonis,-0.5573679964,1
lachnospiraceae_bacterium_8_1_57faa,peptostreptococcaceae_noname_unclassified,0.5515233321,1
streptococcus_parasanguinis,klebsiella_pneumoniae,-0.5359985646,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.5341615735,1
roseburia_unclassified,roseburia_unclassified,0.5322801335,1
escherichia_unclassified,escherichia_unclassified,0.5317824972,1
clostridium_bartlettii,clostridium_bartlettii,0.5304457424,1
clostridium_bartlettii,clostridium_hathewayi,0.5047747424,1
veillonella_dispar,veillonella_dispar,0.4967114587,1
clostridium_bartlettii,roseburia_intestinalis,0.6944601936,0.71
bilophila_unclassified,bilophila_unclassified,0.4911403666,1
mitsuokella_unclassified,barnesiella_intestinihominis,0.7213261857,0.68
clostridium_bartlettii,veillonella_unclassified,0.6406320949,0.76
pseudomonas_unclassified,streptococcus_parasanguinis,0.5167305362,0.94
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.4777098,1
clostridium_bartlettii,veillonella_parvula,0.5271742764,0.88
veillonella_dispar,eubacterium_eligens,0.4585298775,1
ruminococcus_bromii,ruminococcus_bromii,0.4534535849,1
anaerotruncus_colihominis,dialister_invisus,0.5829008027,0.77
collinsella_aerofaciens,bacteroides_dorei,0.4399404638,1
clostridium_bartlettii,oscillibacter_unclassified,0.4899806532,0.87
bilophila_wadsworthia,prevotella_copri,0.4212826303,1
clostridiaceae_bacterium_jc118,bacteroides_faecis,-0.7409358342,0.55
mitsuokella_unclassified,bacteroides_finegoldii,-0.8655990795,0.47
