source,target,weigh,bootscore
m__hmdb00812,m__hmdb00812,0.9999851338,1
m__hmdb00019,m__hmdb00019,0.9999800444,1
m__hmdb03357,m__hmdb03357,0.9999789076,1
m__hmdb01547,m__hmdb01547,0.9999206446,1
m__hmdb00197,m__hmdb00197,0.9999007005,1
m__hmdb01169,m__hmdb01169,0.9998745682,1
m__hmdb00063,m__hmdb00063,0.9998735559,1
m__hmdb01895,m__hmdb01895,0.9998215338,1
m__hmdb00452,m__hmdb00452,0.9998197877,1
m__hmdb00725,m__hmdb00725,0.9998077671,1
m__hmdb00209,m__hmdb00209,0.9997085388,1
m__hmdb00156,m__hmdb00156,0.9996154128,1
m__hmdb00139,m__hmdb00139,0.9994390914,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9993895422,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9992013336,1
m__hmdb00873,m__hmdb00873,0.9991648536,1
m__hmdb00715,m__hmdb00715,0.9991523359,1
m__hmdb00194,m__hmdb00194,0.9991432792,1
m__hmdb00699,m__hmdb00699,0.9991375984,1
m__hmdb00118,m__hmdb00118,0.9991008303,1
m__hmdb11718,m__hmdb11718,0.999076449,1
clostridium_citroniae,clostridium_citroniae,0.9990578182,1
m__hmdb00511,m__hmdb00511,0.9989506885,1
m__hmdb00448,m__hmdb00448,0.9988378447,1
m__hmdb03464,m__hmdb03464,0.9987774972,1
m__hmdb00244,m__hmdb00244,0.9987378422,1
m__hmdb01232,m__hmdb01232,0.9986499488,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9986057056,1
mitsuokella_unclassified,rna helicase,0.9985818421,1
m__hmdb00195,m__hmdb00195,0.9985454729,1
m__hmdb00630,m__hmdb00630,0.9985048173,1
m__hmdb00094,m__hmdb00094,0.9983671319,1
m__hmdb00174,m__hmdb00174,0.9979808426,1
m__hmdb00020,m__hmdb00020,0.9979105161,1
m__hmdb00098,m__hmdb00098,0.9977995546,1
m__hmdb00510,m__hmdb00510,0.9976298786,1
m__hmdb04193,m__hmdb04193,0.9973799307,1
m__hmdb00764,m__hmdb00764,0.9973158514,1
m__hmdb02123,m__hmdb02123,0.9971282124,1
holdemania_unclassified,holdemania_unclassified,0.997028173,1
m__hmdb00222,m__hmdb00222,0.996452449,1
m__hmdb00067,m__hmdb00067,0.9961302909,1
clostridium_leptum,clostridium_leptum,0.9959697453,1
m__hmdb00262,m__hmdb00262,0.9958937908,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9956458357,1
bilophila_unclassified,bilophila_unclassified,0.9952510745,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.9951144305,1
m__hmdb00296,m__hmdb00296,0.9936677626,1
m__hmdb00482,m__hmdb00482,0.9921140465,1
m__hmdb00870,m__hmdb00870,0.9920709912,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,0.9917854053,1
m__hmdb00043,m__hmdb00043,0.9897444882,1
m__hmdb00247,m__hmdb00247,0.9886659875,1
holdemania_filiformis,holdemania_filiformis,0.987814862,1
m__hmdb00039,m__hmdb00039,0.9872229019,1
clostridium_hathewayi,clostridium_hathewayi,0.9867139659,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.9860264878,1
m__hmdb10169,m__hmdb10169,0.9856901255,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9854604424,1
m__hmdb00128,m__hmdb00128,0.9845684817,1
veillonella_atypica,veillonella_atypica,0.9839321786,1
m__hmdb01169,bacteroides_vulgatus,0.9931536494,0.99
m__hmdb00806,m__hmdb00806,0.9811623185,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.9802564319,1
m__hmdb00097,m__hmdb00097,0.9801083337,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.9789891421,1
clostridium_bartlettii,clostridium_bartlettii,0.9770214148,1
m__hmdb00637,m__hmdb00637,0.976807333,1
eggerthella_unclassified,eggerthella_unclassified,0.9756962986,1
ruminococcus_gnavus,ruminococcus_gnavus,0.975031401,1
veillonella_dispar,veillonella_dispar,0.9747816288,1
clostridium_bolteae,clostridium_bolteae,0.9724940953,1
bifidobacterium_longum,bifidobacterium_longum,0.971168904,1
veillonella_parvula,veillonella_parvula,0.9701509492,1
m__hmdb00138,m__hmdb00138,0.9690797335,1
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,0.9688535711,1
m__hmdb01149,m__hmdb01149,0.9680491692,1
m__hmdb00014,m__hmdb00014,0.9680427484,1
m__hmdb00019,akkermansia_muciniphila,0.9972551578,0.97
methylaspartate mutase,methylaspartate mutase,0.9656978121,1
coprococcus_catus,coprococcus_catus,0.9650828453,1
m__hmdb00036,m__hmdb00036,0.9643803297,1
m__hmdb00562,m__hmdb00562,0.9642144545,1
m__hmdb00365,m__hmdb00365,0.9532962706,1
pseudomonas_unclassified,fructose-bisphosphate aldolase,-0.9517903945,1
haemophilus_parainfluenzae,haemophilus_parainfluenzae,0.9445289112,1
dorea_unclassified,dorea_unclassified,0.9343775465,1
pseudomonas_unclassified,pseudomonas_unclassified,0.9301723676,1
odoribacter_splanchnicus,odoribacter_splanchnicus,0.9251168805,1
streptococcus_salivarius,serine o-acetyltransferase,0.9232780625,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.9225962203,1
pseudomonas_unclassified,3-hydroxyacyl-acyl-carrier-protein dehydratase,-0.9196941049,1
ubiquinol oxidase electrogenic: non h+-transporting,ubiquinol oxidase electrogenic: non h+-transporting,0.9189051646,1
m__hmdb00269,m__hmdb00269,0.9181199908,1
eubacterium_ventriosum,eubacterium_ventriosum,0.9176577623,1
bacteroides_fragilis,bacteroides_fragilis,0.9176060202,1
m__hmdb00262,c2likevirus_unclassified,0.9355566939,0.98
parasutterella_excrementihominis,parasutterella_excrementihominis,0.9136850473,1
dorea_formicigenerans,dorea_formicigenerans,0.9131097919,1
faecalibacterium_prausnitzii,faecalibacterium_prausnitzii,0.9108973716,1
m__hmdb00030,m__hmdb00030,0.9066974687,1
m__hmdb00812,eubacterium_siraeum,0.9251543538,0.98
eubacterium_hallii,eubacterium_hallii,0.9039242623,1
bacteroides_ovatus,bacteroides_ovatus,0.9011003082,1
m__hmdb00020,peptostreptococcaceae_noname_unclassified,0.899694026,1
