source,target,weigh,bootscore
m__hmdb00812,m__hmdb00812,0.9999695424,1
m__hmdb00019,m__hmdb00019,0.9999647176,1
m__hmdb01169,m__hmdb01169,0.9998869139,1
m__hmdb00197,m__hmdb00197,0.9995968924,1
m__hmdb00725,m__hmdb00725,0.9995039134,1
m__hmdb01895,m__hmdb01895,0.9993287333,1
m__hmdb00194,m__hmdb00194,0.9991909446,1
m__hmdb01547,m__hmdb01547,0.9991127224,1
m__hmdb00139,m__hmdb00139,0.9991006712,1
m__hmdb00156,m__hmdb00156,0.998999106,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9989391126,1
m__hmdb00209,m__hmdb00209,0.9988962564,1
m__hmdb03357,m__hmdb03357,0.9988836581,1
m__hmdb00873,m__hmdb00873,0.9986576612,1
m__hmdb00244,m__hmdb00244,0.9986091426,1
m__hmdb02123,m__hmdb02123,0.9985946474,1
m__hmdb01232,m__hmdb01232,0.9985654502,1
m__hmdb00630,m__hmdb00630,0.9983672017,1
m__hmdb00174,m__hmdb00174,0.998315776,1
m__hmdb00715,m__hmdb00715,0.9983096653,1
m__hmdb03464,m__hmdb03464,0.9982733106,1
m__hmdb00699,m__hmdb00699,0.9982174349,1
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,0.9981976274,1
m__hmdb00118,m__hmdb00118,0.9980141008,1
m__hmdb00098,m__hmdb00098,0.9980114691,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9976386108,1
m__hmdb00195,m__hmdb00195,0.9971426648,1
m__hmdb00448,m__hmdb00448,0.9970825019,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9970370884,1
m__hmdb00020,m__hmdb00020,0.9969276544,1
m__hmdb00262,m__hmdb00262,0.9967506495,1
m__hmdb00510,m__hmdb00510,0.9965780352,1
m__hmdb00094,m__hmdb00094,0.9965599837,1
m__hmdb00511,m__hmdb00511,0.9965273398,1
m__hmdb00764,m__hmdb00764,0.9939070386,1
m__hmdb00222,m__hmdb00222,0.993524329,1
m__hmdb00067,m__hmdb00067,0.9931303832,1
m__hmdb00063,m__hmdb00063,0.9927975337,1
m__hmdb04193,m__hmdb04193,0.9925248102,1
m__hmdb11718,m__hmdb11718,0.9921761942,1
m__hmdb00039,m__hmdb00039,0.9897009147,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9894622242,1
m__hmdb00247,m__hmdb00247,0.988850426,1
