source,target,weigh,bootscore
m__hmdb00197,m__hmdb00197,0.9998942244,1
m__hmdb00244,m__hmdb00244,0.9993211611,1
m__hmdb00209,m__hmdb00209,0.9993036336,1
m__hmdb00156,m__hmdb00156,0.9992817381,1
m__hmdb00139,m__hmdb00139,0.999107297,1
m__hmdb00452,m__hmdb00452,0.9989620293,1
m__hmdb00118,m__hmdb00118,0.9989246004,1
m__hmdb00094,m__hmdb00094,0.9988779251,1
m__hmdb00194,m__hmdb00194,0.9983439476,1
m__hmdb00063,m__hmdb00063,0.9983049577,1
m__hmdb02123,m__hmdb02123,0.9982375185,1
m__hmdb01547,m__hmdb01547,0.9979449458,1
m__hmdb00873,m__hmdb00873,0.9974286424,1
m__hmdb00020,m__hmdb00020,0.9974070261,1
m__hmdb00448,m__hmdb00448,0.9971156228,1
m__hmdb11718,m__hmdb11718,0.9970041563,1
m__hmdb03464,m__hmdb03464,0.9968805039,1
m__hmdb00511,m__hmdb00511,0.9964108616,1
m__hmdb04193,m__hmdb04193,0.9959684879,1
m__hmdb00764,m__hmdb00764,0.9958091725,1
m__hmdb00195,m__hmdb00195,0.9956581451,1
m__hmdb00067,m__hmdb00067,0.9949214579,1
m__hmdb00870,m__hmdb00870,0.9948516085,1
m__hmdb00296,m__hmdb00296,0.9930458943,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9923990189,1
m__hmdb00247,m__hmdb00247,0.9923008343,1
m__hmdb00262,m__hmdb00262,0.9917889655,1
m__hmdb00174,m__hmdb00174,0.9912147987,1
methylaspartate mutase,m__hmdb00812,0.990140764800229,1
m__hmdb00222,m__hmdb00222,0.9891557375,1
m__hmdb00482,m__hmdb00482,0.9882011639,1
m__hmdb00956,m__hmdb00956,0.9875951811,1
m__hmdb00043,m__hmdb00043,0.985818313,1
m__hmdb00510,m__hmdb00510,0.9843665615,1
m__hmdb01895,m__hmdb01895,0.9833077124,1
m__hmdb00039,m__hmdb00039,0.9807769653,1
coprococcus_catus,coprococcus_catus,0.9804446558,1
m__hmdb01169,m__hmdb01169,0.9781781562,1
oscillibacter_unclassified,oscillibacter_unclassified,0.9781528594,1
holdemania_filiformis,holdemania_filiformis,0.975877858,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9755649851,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9735187094,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.9712950791,1
m__hmdb00097,m__hmdb00097,0.9697164462,1
m__hmdb03357,bifidobacterium_adolescentis,0.9775688039,0.99
dorea_unclassified,dorea_unclassified,0.9646241178,1
m__hmdb00128,m__hmdb00128,0.963070314,1
m__hmdb00020,peptostreptococcaceae_noname_unclassified,0.9590353144,1
escherichia_unclassified,escherichia_unclassified,0.9579781632,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9519908297,1
m__hmdb00806,m__hmdb00806,0.9515854526,1
holdemania_unclassified,formate-c-acetyltransferase-activating enzyme,0.951578482631013,1
m__hmdb10169,m__hmdb10169,0.9503851373,1
m__hmdb00699,m__hmdb00699,0.9498598614,1
eubacterium_ramulus,eubacterium_ramulus,0.9498439138,1
mitsuokella_unclassified,transaldolase,0.948721048767423,1
m__hmdb00138,m__hmdb00138,0.9474439696,1
m__hmdb01149,m__hmdb01149,0.942523975,1
m__hmdb00014,m__hmdb00014,0.9389946696,1
m__hmdb00637,m__hmdb00637,0.9377467328,1
eggerthella_unclassified,eggerthella_unclassified,0.9331088868,1
m__hmdb00715,m__hmdb00715,0.9327508293,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00089,0.97218470115606,0.94
bilophila_wadsworthia,bilophila_wadsworthia,0.9105089548,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.9076454465,1
m__hmdb00019,ruminococcus_bromii,0.9260898473,0.98
burkholderiales_bacterium_1_1_47,burkholderiales_bacterium_1_1_47,0.9067498016,1
