source,target,weigh,bootscore
m__hmdb01169,m__hmdb01169,0.9998875079,1
m__hmdb00725,m__hmdb00725,0.9995779282,1
m__hmdb01895,m__hmdb01895,0.9991504308,1
m__hmdb00156,m__hmdb00156,0.9990898855,1
m__hmdb00139,m__hmdb00139,0.9989900622,1
m__hmdb01547,m__hmdb01547,0.9986213129,1
m__hmdb02123,m__hmdb02123,0.9984162368,1
m__hmdb00630,m__hmdb00630,0.9982736227,1
m__hmdb00699,m__hmdb00699,0.9982303765,1
m__hmdb00873,m__hmdb00873,0.998121132,1
m__hmdb01232,m__hmdb01232,0.998006388,1
m__hmdb00209,m__hmdb00209,0.9978665675,1
m__hmdb00118,m__hmdb00118,0.9977240988,1
m__hmdb03464,m__hmdb03464,0.9974869206,1
m__hmdb00194,m__hmdb00194,0.9974606463,1
m__hmdb00098,m__hmdb00098,0.9973836409,1
m__hmdb00244,m__hmdb00244,0.9972447789,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9970617072,1
m__hmdb00715,m__hmdb00715,0.9967996047,1
m__hmdb00174,m__hmdb00174,0.9963291903,1
m__hmdb00448,m__hmdb00448,0.9962449402,1
m__hmdb00262,m__hmdb00262,0.996110493,1
m__hmdb00195,m__hmdb00195,0.996037641,1
m__hmdb00020,m__hmdb00020,0.9959529449,1
m__hmdb00511,m__hmdb00511,0.9952927485,1
m__hmdb00067,m__hmdb00067,0.9950391881,1
m__hmdb00094,m__hmdb00094,0.9949255129,1
m__hmdb00510,m__hmdb00510,0.9949068108,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9947211898,1
m__hmdb00764,m__hmdb00764,0.9928775574,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9914535739,1
m__hmdb04193,m__hmdb04193,0.9912547862,1
m__hmdb00222,m__hmdb00222,0.9909409961,1
m__hmdb11718,m__hmdb11718,0.9905178366,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9895021025,1
m__hmdb00043,m__hmdb00043,0.9849247353,1
m__hmdb01169,bacteroides_vulgatus,0.984838626,1
m__hmdb00039,m__hmdb00039,0.9840490201,1
m__hmdb00870,m__hmdb00870,0.983672654,1
m__hmdb00296,m__hmdb00296,0.9833275103,1
m__hmdb00063,m__hmdb00063,0.9819327008,1
m__hmdb00365,m__hmdb00365,0.9777187816,1
m__hmdb00482,m__hmdb00482,0.9759855393,1
m__hmdb00452,m__hmdb00452,0.9718085324,1
holdemania_filiformis,holdemania_filiformis,0.9708072121,1
m__hmdb10169,m__hmdb10169,0.9655183565,1
m__hmdb00097,m__hmdb00097,0.9647818634,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.9595887561,1
m__hmdb00128,m__hmdb00128,0.9581593819,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9580266279,1
m__hmdb03357,ruminococcus_lactaris,0.9559744864,1
m__hmdb00806,m__hmdb00806,0.9552742412,1
m__hmdb00956,m__hmdb00956,0.9510571689,1
m__hmdb00247,m__hmdb00247,0.949864655,1
eggerthella_unclassified,eggerthella_unclassified,0.9403807882,1
coprococcus_catus,coprococcus_catus,0.9368844783,1
m__hmdb00014,m__hmdb00014,0.9354178156,1
clostridium_bartlettii,clostridium_bartlettii,0.9343100868,1
m__hmdb00637,m__hmdb00637,0.9308386403,1
clostridium_leptum,clostridium_leptum,0.9226187895,1
streptococcus_thermophilus,streptococcus_thermophilus,0.9225455241,1
m__hmdb01149,m__hmdb01149,0.9200307884,1
m__hmdb00269,m__hmdb00269,0.9183708784,1
clostridium_citroniae,clostridium_citroniae,0.9126999122,1
m__hmdb00562,m__hmdb00562,0.8984779812,1
m__hmdb00873,escherichia_coli,0.8959847528,1
pseudomonas_unclassified,pseudomonas_unclassified,0.8954731614,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00101,0.9889005175,0.9
m__hmdb00036,m__hmdb00036,0.889040199,1
pseudomonas_unclassified,3-hydroxyacyl-acyl-carrier-protein dehydratase,-0.8684741242,1
m__hmdb00156,bacteroides_faecis,0.875625244,0.99
m__hmdb00138,m__hmdb00138,0.8500234853,1
m__hmdb02329,m__hmdb02329,0.8487746579,1
m__hmdb00063,dialister_invisus,-0.8432119285,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.843198838,1
m__hmdb01547,bacteroides_stercoris,0.8398766714,0.99
m__hmdb00619,m__hmdb00619,0.8301871903,1
holdemania_unclassified,phosphatidate cytidylyltransferase,-0.8371294641,0.99
faecalibacterium_prausnitzii,faecalibacterium_prausnitzii,0.8236801434,1
holdemania_unclassified,glutamate dehydrogenase,-0.8240004079,0.99
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.8053579234,1
m__hmdb00056,m__hmdb00056,0.7954204882,1
pseudomonas_unclassified,l-lactate dehydrogenase,-0.7874244964,1
m__hmdb00511,alistipes_putredinis,0.8189363838,0.96
m__hmdb00626,m__hmdb00626,0.7845579966,1
cytochrome-c oxidase,cytochrome-c oxidase,0.7829467996,1
holdemania_unclassified,beta-lactamase,-0.8976232479,0.87
ruminococcus_gnavus,ruminococcus_gnavus,0.7802713009,1
m__hmdb00089,m__hmdb00089,0.7728804074,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.7648441245,1
m__hmdb00063,bacteroides_xylanisolvens,-0.8948989917,0.85
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,0.7580762941,1
bilophila_unclassified,bilophila_unclassified,0.7496729446,1
m__hmdb00630,veillonella_dispar,-0.7402507895,1
m__hmdb03357,bifidobacterium_adolescentis,0.8389321445,0.87
coprococcus_comes,coprococcus_comes,0.7245308341,1
bacterial non-heme ferritin,m__hmdb00812,-0.9900989347,0.73
pseudomonas_unclassified,l-serine ammonia-lyase,-0.7207396381,1
pseudomonas_unclassified,fructose-bisphosphate aldolase,-0.7202739898,1
coprobacillus_unclassified,acetyl-coa c-acetyltransferase,0.7477442416,0.96
m__hmdb01895,roseburia_unclassified,0.7068382845,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.6960352349,1
pseudomonas_unclassified,aspartate ammonia-lyase,0.6954110982,1
flavonifractor_plautii,flavonifractor_plautii,0.6859306849,1
m__hmdb00262,roseburia_intestinalis,0.7031694922,0.97
pseudomonas_unclassified,rna helicase,-0.6989155965,0.9708072121
streptococcus_parasanguinis,streptococcus_parasanguinis,0.6763516278,1
m__hmdb00812,parasutterella_excrementihominis,0.7929142732,0.85
m__hmdb00511,propionibacterium_acnes,-0.6693770234,1
erysipelotrichaceae_bacterium_6_1_45,enoyl-coa hydratase,0.664552093,1
m__hmdb00094,bacteroides_caccae,0.7186336428,0.92
bilophila_wadsworthia,aldose 1-epimerase,-0.6718554417,0.98
bilophila_wadsworthia,bilophila_wadsworthia,0.648449586,1
m__hmdb04610,m__hmdb04610,0.6483030687,1
barnesiella_intestinihominis,barnesiella_intestinihominis,0.6480428814,1
clostridium_clostridioforme,clostridium_clostridioforme,0.6451756154,1
dorea_formicigenerans,dorea_formicigenerans,0.6417606176,1
m__hmdb03357,lachnospiraceae_bacterium_1_1_57faa,0.7726003801,0.83
pseudomonas_unclassified,methylaspartate mutase,0.6411402499,1
m__hmdb00812,eubacterium_siraeum,0.7667501943,0.83
m__hmdb00699,prevotella_copri,0.6357812832,1
eubacterium_hallii,eubacterium_hallii,0.6340241433,1
holdemania_unclassified,dihydrolipoyl dehydrogenase,0.7455923163,0.85
clostridium_bolteae,clostridium_bolteae,0.6334373074,1
