source,target,weigh,bootscore
methylaspartate mutase,m__hmdb00630,32861910963938428332824462688084602062204048664268622040068242604426628620426220602424608024642286,0.57
hgr__krt8,eubacterium_siraeum,32861910963938428332824462688084602062204048664268622040068242604426628620426220602424608024642286,0.26
hgr__slc26a3,bacteroides_faecis,32861910963938428332824462688084602062204048664268622040068242604426628620426220602424608024642286,0.2
3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb03357,328619109639384264564440248864068886660048086088880464288068860486828824464420426422,0.18
m__hmdb00956,clostridium_citroniae,4381588128525123238084624026802024046806280446622888060002882242682608,0.69
hgi__sepp1,ruminococcus_torques,257190069891402803402828624628882244024808000206206666000860242068,0.21
hgi__ftl,roseburia_hominis,43815881285251231508482428460804646848662042282288844882,0.13
hgr__krt8,alistipes_onderdonkii,226505463414735882788688640422624248086440820440684464,0.53
nadh dehydrogenase quinone,m__hmdb00019,129168231934477206514424460682884846006048402686028268,0.92
bacterial non-heme ferritin,m__hmdb01547,129168231934477206514424460682884846006048402686028268,0.25
adenosylmethionine-8-amino-7-oxononanoate transaminase,m__hmdb01169,129168231934477206514424460682884846006048402686028268,0.18
m__hmdb04610,anaerotruncus_unclassified,25719006989140276884886606040006824244626862480024248,0.9
week sample obtained,streptococcus_parasanguinis,25719006989140276884886606040006824244626862480024248,0.38
pyridoxine 5-phosphate synthase,m__hmdb00019,11166871020406341080864444044280084628840460042480686,0.7
hgi__sepp1,ruminococcus_callidus,6818604458954078698044282208028622242262802206042220,1
hgi__sepp1,coprococcus_catus,25719006989140276884886606040006824244626862480024248,0.26
shikimate kinase,m__hmdb01232,25719006989140276884886606040006824244626862480024248,0.22
m__hmdb01991,pseudomonas_unclassified,11166871020406341080864444044280084628840460042480686,0.47
m__hmdb00239,parabacteroides_merdae,21649309332909500696028442280660406226402864646604080,0.16
dna-directed rna polymerase,m__hmdb01169,893349681632507361920468420484042480886886,0.66
m__hmdb00101,clostridium_asparagiforme,893349681632507361920468420484042480886886,0.24
nadh dehydrogenase quinone,m__hmdb00197,438158812852512344084004220000604808846866,0.22
week sample obtained,erysipelotrichaceae_bacterium_6_1_45,63084360390990250692062800204644420402822,1
bacterial non-heme ferritin,m__hmdb00812,63084360390990250692062800204644420402822,0.98
nadh dehydrogenase quinone,m__hmdb00209,57905947230310345624484042408068468206668,1
week sample obtained,alistipes_shahii,63084360390990250692062800204644420402822,0.38
adenosylmethionine-8-amino-7-oxononanoate transaminase,m__hmdb00019,63084360390990250692062800204644420402822,0.24
hgi__reg3a,clostridium_bolteae,57905947230310345624484042408068468206668,0.2
enoyl-coa hydratase,m__hmdb00812,11166871020406340573844440002044244888820,0.95
hgi__ftl,eubacterium_siraeum,63084360390990250692062800204644420402822,0.12
aspartate ammonia-lyase,m__hmdb01169,63084360390990250692062800204644420402822,0.1
hgi__defa5,holdemania_unclassified,6177421729492765026464664202884668240424,1
methionyl aminopeptidase,m__hmdb00020,11166871020406340573844440002044244888820,0.34
hgi__apob,clostridium_leptum,22650546341473585000088848684060004806060,0.12
transaldolase,m__hmdb00197,2571900698914028084646688460088862484042,0.98
phosphopyruvate hydratase,m__hmdb00699,2164930933290950102402642420662806406026,0.51
pyridoxine 5-phosphate synthase,m__hmdb00725,2571900698914028084646688460088862484042,0.13
hgi__reg1a,eubacterium_ramulus,2164930933290950102402642420662806406026,0.14
protein-npi-phosphohistidine-sugar phosphotransferase,m__hmdb00194,2164930933290950102402642420662806406026,0.11
hgr__eef1a1,bifidobacterium_longum,2164930933290950102402642420662806406026,0.1
ribulose-phosphate 3-epimerase,m__hmdb00244,474270859223907576884260460626204086402,0.43
