source,target,weigh,bootscore
m__hmdb00197,m__hmdb00197,0.9998059475,1
m__hmdb01547,m__hmdb01547,0.9997392718,1
m__hmdb00725,m__hmdb00725,0.9996645133,1
m__hmdb00452,m__hmdb00452,0.9993246043,1
m__hmdb00156,m__hmdb00156,0.9993169884,1
m__hmdb00139,m__hmdb00139,0.9990601007,1
m__hmdb00209,m__hmdb00209,0.9986530907,1
m__hmdb01232,m__hmdb01232,0.9983825805,1
m__hmdb00118,m__hmdb00118,0.9983387916,1
m__hmdb00244,m__hmdb00244,0.9982390125,1
m__hmdb00194,m__hmdb00194,0.9982332901,1
m__hmdb00873,m__hmdb00873,0.9979607168,1
m__hmdb00448,m__hmdb00448,0.9978826062,1
m__hmdb03464,m__hmdb03464,0.997723817,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9976917957,1
m__hmdb00630,m__hmdb00630,0.9976160382,1
m__hmdb00715,m__hmdb00715,0.9974810636,1
m__hmdb00098,m__hmdb00098,0.9971505633,1
m__hmdb00511,m__hmdb00511,0.9968542225,1
m__hmdb00020,m__hmdb00020,0.9964730338,1
m__hmdb02123,m__hmdb02123,0.9962184526,1
m__hmdb11718,m__hmdb11718,0.9961625243,1
m__hmdb00174,m__hmdb00174,0.9960964084,1
m__hmdb00195,m__hmdb00195,0.9959011577,1
m__hmdb00094,m__hmdb00094,0.9950941234,1
m__hmdb04193,m__hmdb04193,0.9944549,1
m__hmdb00262,m__hmdb00262,0.9940528199,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9931248901,1
m__hmdb00067,m__hmdb00067,0.9929110129,1
m__hmdb00222,m__hmdb00222,0.9924439192,1
m__hmdb00510,m__hmdb00510,0.9921987355,1
m__hmdb01169,bacteroides_vulgatus,0.9914042259,1
enoyl-coa hydratase,m__hmdb00812,0.9900990727,1
m__hmdb00063,m__hmdb00063,0.98828009,1
m__hmdb00296,m__hmdb00296,0.9880231878,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9869956086,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.984830199,1
m__hmdb00870,m__hmdb00870,0.9823432832,1
m__hmdb00482,m__hmdb00482,0.9823012225,1
m__hmdb00043,m__hmdb00043,0.9810560187,1
m__hmdb00039,m__hmdb00039,0.9796729168,1
m__hmdb10169,m__hmdb10169,0.9782736768,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9761530598,1
m__hmdb00247,m__hmdb00247,0.9739172966,1
m__hmdb00097,m__hmdb00097,0.9704597427,1
clostridium_asparagiforme,clostridium_asparagiforme,0.969996151,1
m__hmdb00128,m__hmdb00128,0.9693917367,1
mitsuokella_unclassified,rna helicase,0.9685909777,1
clostridium_bolteae,clostridium_bolteae,0.9625681699,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.9591929601,1
coprococcus_catus,coprococcus_catus,0.9530498105,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.9518635375,1
m__hmdb00806,m__hmdb00806,0.9517245084,1
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,0.9491957203,1
holdemania_unclassified,holdemania_unclassified,0.9489197001,1
m__hmdb00637,m__hmdb00637,0.9488639213,1
veillonella_parvula,veillonella_parvula,0.9433608947,1
m__hmdb01149,m__hmdb01149,0.9418945147,1
m__hmdb00014,m__hmdb00014,0.9418913305,1
m__hmdb00036,m__hmdb00036,0.9342423999,1
m__hmdb00138,m__hmdb00138,0.9271176331,1
m__hmdb00562,m__hmdb00562,0.9253341156,1
bifidobacterium_longum,bifidobacterium_longum,0.9253073589,1
m__hmdb00365,m__hmdb00365,0.9234587612,1
pseudomonas_unclassified,ribulose-bisphosphate carboxylase,0.907414562963612,1
m__hmdb00020,peptostreptococcaceae_noname_unclassified,0.9003272502,1
m__hmdb00699,m__hmdb00699,0.8977917656,1
m__hmdb01169,parabacteroides_merdae,0.965122674,0.93
m__hmdb00269,m__hmdb00269,0.8917497441,1
dorea_formicigenerans,dorea_formicigenerans,0.8891304547,1
veillonella_dispar,veillonella_dispar,0.8871694905,1
dorea_unclassified,dorea_unclassified,0.8721036773,1
odoribacter_splanchnicus,odoribacter_splanchnicus,0.8714105494,1
pseudomonas_unclassified,protein-npi-phosphohistidine-sugar phosphotransferase,0.8969176869,0.97
m__hmdb00956,m__hmdb00956,0.8652229414,1
m__hmdb00873,escherichia_coli,0.862245514,1
pseudomonas_unclassified,3-hydroxyacyl-acyl-carrier-protein dehydratase,0.861993658763475,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.8523261006,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.8517122461,1
m__hmdb02329,m__hmdb02329,0.8459986811,1
m__hmdb00056,m__hmdb00056,0.8372648067,1
m__hmdb00019,akkermansia_muciniphila,0.8504369105,0.98
pseudomonas_unclassified,fructose-bisphosphate aldolase,0.829144109167403,1
m__hmdb00619,m__hmdb00619,0.8256961048,1
m__hmdb00699,sutterella_wadsworthensis,0.912895786,0.88
m__hmdb00030,m__hmdb00030,0.7993735829,1
m__hmdb00089,m__hmdb00089,0.7982785123,1
m__hmdb01547,bacteroides_massiliensis,0.7926552792,1
clostridium_bartlettii,clostridium_bartlettii,0.7914063626,1
pseudomonas_unclassified,l-lactate dehydrogenase,0.7787145853,1
m__hmdb00244,roseburia_intestinalis,0.7971224219,0.97
pseudomonas_unclassified,cytochrome-c oxidase,0.7726390441,1
anaerotruncus_colihominis,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,0.7690069412,1
bacteroides_fragilis,bacteroides_fragilis,0.765952123,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00101,0.9896648957,0.77
m__hmdb00019,lachnospiraceae_bacterium_3_1_57faa_ct1,0.75463879,1
m__hmdb00296,bacteroides_dorei,0.7658420978,0.98
m__hmdb00626,m__hmdb00626,0.7392845874,1
clostridium_bartlettii,h+-transporting two-sector atpase,0.736063297033492,1
erysipelotrichaceae_bacterium_6_1_45,enoyl-coa hydratase,0.7293238185,1
eggerthella_unclassified,eggerthella_unclassified,0.7185435411,1
holdemania_filiformis,holdemania_filiformis,0.7182716757,1
anaerostipes_hadrus,anaerostipes_hadrus,0.7069463749,1
pseudomonas_unclassified,glyceraldehyde-3-phosphate dehydrogenase phosphorylating,0.7127532115,0.99
bacteroides_eggerthii,bacteroides_eggerthii,0.7047837358,1
clostridiales_bacterium_1_7_47faa,phosphopyruvate hydratase,0.698506024648159,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.6952751938,1
dorea_longicatena,dorea_longicatena,0.6887781789,1
pseudomonas_unclassified,nadh dehydrogenase quinone,0.6878660448,1
m__hmdb04610,m__hmdb04610,0.6839600864,1
streptococcus_salivarius,serine o-acetyltransferase,0.6814351665,1
dihydroorotate dehydrogenase quinone,dihydroorotate dehydrogenase quinone,0.680413295,1
parabacteroides_distasonis,parabacteroides_distasonis,0.6664776889,1
ruminococcus_callidus,ruminococcus_callidus,0.658295311,1
coprobacillus_unclassified,acetyl-coa c-acetyltransferase,0.6756557185,0.96
week sample obtained,alistipes_shahii,0.9900990727,0.65
m__hmdb00239,m__hmdb00239,0.6405070728,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.6388946861,1
m__hmdb00174,parabacteroides_unclassified,0.6348531458,1
pyridoxal 5-phosphate synthase glutamine hydrolyzing,pyridoxal 5-phosphate synthase glutamine hydrolyzing,0.6285031794,1
holdemania_unclassified,formate-c-acetyltransferase-activating enzyme,0.645875291578832,0.97
m__hmdb01232,bacteroides_faecis,0.7331601878,0.85
clostridium_bartlettii,aspartate ammonia-lyase,0.618776116656574,1
m__hmdb01991,m__hmdb01991,0.6187470025,1
