source,target,weigh,bootscore
dorea_unclassified,dorea_unclassified,0.9999519346,1
clostridium_citroniae,clostridium_citroniae,0.9999395282,1
anaerostipes_hadrus,anaerostipes_hadrus,0.9999379173,1
eggerthella_unclassified,eggerthella_unclassified,0.9999323506,1
propionibacterium_acnes,propionibacterium_acnes,0.9999270745,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9999250324,1
holdemania_unclassified,holdemania_unclassified,0.9999084306,1
dorea_formicigenerans,dorea_formicigenerans,0.9998856542,1
streptococcus_thermophilus,streptococcus_thermophilus,0.9998673956,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.9998558409,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.9998145981,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.9997605544,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.9997562416,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9997473018,1
burkholderiales_bacterium_1_1_47,burkholderiales_bacterium_1_1_47,0.9996898571,1
holdemania_filiformis,holdemania_filiformis,0.9996540239,1
bilophila_wadsworthia,bilophila_wadsworthia,0.9996533177,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.9996521153,1
coprococcus_comes,coprococcus_comes,0.9996188877,1
veillonella_atypica,veillonella_atypica,0.9996009031,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.9995961308,1
ruminococcus_callidus,ruminococcus_callidus,0.9995923561,1
pseudomonas_unclassified,pseudomonas_unclassified,0.999578327,1
lachnospiraceae_bacterium_1_1_57faa,lachnospiraceae_bacterium_1_1_57faa,0.999442744,1
lachnospiraceae_bacterium_3_1_46faa,lachnospiraceae_bacterium_3_1_46faa,0.9994088568,1
ruminococcus_obeum,ruminococcus_obeum,0.999337566,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.9993154029,1
ruminococcus_lactaris,ruminococcus_lactaris,0.9992494437,1
roseburia_unclassified,roseburia_unclassified,0.9992224425,1
coprobacillus_unclassified,coprobacillus_unclassified,0.9991940418,1
clostridium_clostridioforme,clostridium_clostridioforme,0.9991840066,1
coprococcus_catus,coprococcus_catus,0.9990432943,1
odoribacter_splanchnicus,odoribacter_splanchnicus,0.9987937776,1
ruminococcus_bromii,ruminococcus_bromii,0.9987475037,1
