source,target,weigh,bootscore
bilophila_wadsworthia,bilophila_wadsworthia,0.9999649215,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9999565606,1
streptococcus_thermophilus,streptococcus_thermophilus,0.9999514659,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.9999344897,1
dorea_unclassified,dorea_unclassified,0.9999294654,1
clostridium_citroniae,clostridium_citroniae,0.9999260638,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9999083462,1
eggerthella_unclassified,eggerthella_unclassified,0.9998972463,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9998883996,1
holdemania_unclassified,holdemania_unclassified,0.9998724553,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.9998703425,1
dorea_formicigenerans,dorea_formicigenerans,0.9998520349,1
holdemania_filiformis,holdemania_filiformis,0.9997389419,1
anaerostipes_hadrus,anaerostipes_hadrus,0.9997277324,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.9997232254,1
clostridium_bartlettii,clostridium_bartlettii,0.9996303378,1
ruminococcus_obeum,ruminococcus_obeum,0.9996238666,1
ruminococcus_lactaris,ruminococcus_lactaris,0.999503555,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.9994379358,1
ruminococcus_callidus,ruminococcus_callidus,0.9994015198,1
clostridium_asparagiforme,clostridium_asparagiforme,0.999399991,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.9993705851,1
coprococcus_comes,coprococcus_comes,0.9993663102,1
alistipes_shahii,alistipes_shahii,0.999247324,1
clostridium_leptum,clostridium_leptum,0.9987541981,1
ruminococcus_bromii,ruminococcus_bromii,0.9986762848,1
lachnospiraceae_bacterium_3_1_46faa,lachnospiraceae_bacterium_3_1_46faa,0.9985943888,1
lachnospiraceae_bacterium_1_1_57faa,lachnospiraceae_bacterium_1_1_57faa,0.9985741589,1
dorea_longicatena,dorea_longicatena,0.9984154872,1
veillonella_dispar,veillonella_dispar,0.9978394848,1
eubacterium_ventriosum,eubacterium_ventriosum,0.9977386638,1
eubacterium_hallii,eubacterium_hallii,0.9973342528,1
collinsella_aerofaciens,collinsella_aerofaciens,0.9971513298,1
flavonifractor_plautii,flavonifractor_plautii,0.9970058678,1
odoribacter_splanchnicus,odoribacter_splanchnicus,0.9970034628,1
streptococcus_salivarius,streptococcus_salivarius,0.9968339345,1
alistipes_finegoldii,alistipes_finegoldii,0.9964109102,1
bifidobacterium_longum,bifidobacterium_longum,0.9962674642,1
roseburia_hominis,roseburia_hominis,0.995898772,1
burkholderiales_bacterium_1_1_47,burkholderiales_bacterium_1_1_47,0.9948010373,1
coprobacillus_unclassified,coprobacillus_unclassified,0.9939113979,1
ruminococcus_torques,ruminococcus_torques,0.9937812267,1
parabacteroides_merdae,parabacteroides_merdae,0.993222932,1
barnesiella_intestinihominis,barnesiella_intestinihominis,0.9918524621,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,0.9917757185,1
clostridium_symbiosum,clostridium_symbiosum,0.9901143678,1
week sample obtained,pseudomonas_unclassified,-0.9890084822,1
week sample obtained,lachnospiraceae_bacterium_5_1_63faa,-0.9890084822,1
week sample obtained,erysipelotrichaceae_bacterium_6_1_45,-0.9890084822,1
eubacterium_siraeum,eubacterium_siraeum,0.9887444265,1
propionibacterium_acnes,propionibacterium_acnes,0.9882385422,1
bilophila_unclassified,bilophila_unclassified,0.9880834727,1
dialister_invisus,dialister_invisus,0.9869018325,1
clostridium_hathewayi,clostridium_hathewayi,0.9868961551,1
parabacteroides_distasonis,parabacteroides_distasonis,0.9857434634,1
alistipes_onderdonkii,alistipes_onderdonkii,0.9813490249,1
escherichia_unclassified,escherichia_unclassified,0.9761491237,1
alistipes_putredinis,alistipes_putredinis,0.9758036851,1
oscillibacter_unclassified,oscillibacter_unclassified,0.9738766761,1
clostridium_bolteae,clostridium_bolteae,0.9720300568,1
bacteroides_caccae,bacteroides_caccae,0.9719485714,1
peptostreptococcaceae_noname_unclassified,peptostreptococcaceae_noname_unclassified,0.9714004287,1
veillonella_parvula,veillonella_parvula,0.9700263713,1
veillonella_unclassified,veillonella_unclassified,0.9695207216,1
bifidobacterium_adolescentis,bifidobacterium_adolescentis,0.9674400988,1
bacteroides_massiliensis,bacteroides_massiliensis,0.9672686079,1
bacteroides_faecis,bacteroides_faecis,0.9644753577,1
bacteroides_stercoris,bacteroides_stercoris,0.9642554043,1
bacteroides_thetaiotaomicron,bacteroides_thetaiotaomicron,0.9623221038,1
veillonella_atypica,veillonella_atypica,0.9612810493,1
bacteroides_cellulosilyticus,bacteroides_cellulosilyticus,0.9597225459,1
bacteroides_finegoldii,bacteroides_finegoldii,0.9585307995,1
prevotella_copri,prevotella_copri,0.9577433186,1
bacteroides_vulgatus,bacteroides_vulgatus,0.9551686365,1
parabacteroides_unclassified,parabacteroides_unclassified,0.953556768,1
ruminococcus_gnavus,ruminococcus_gnavus,0.953302756,1
clostridium_clostridioforme,clostridium_clostridioforme,0.9452500186,1
haemophilus_parainfluenzae,haemophilus_parainfluenzae,0.9425347177,1
sutterella_wadsworthensis,sutterella_wadsworthensis,0.9390801512,1
akkermansia_muciniphila,akkermansia_muciniphila,0.931060128,1
bacteroides_fragilis,bacteroides_fragilis,0.9302328422,1
escherichia_coli,escherichia_coli,0.9268470153,1
c2likevirus_unclassified,c2likevirus_unclassified,0.92572399,1
bacteroides_ovatus,bacteroides_ovatus,0.9075695094,1
roseburia_inulinivorans,roseburia_inulinivorans,0.8923152549,1
eubacterium_rectale,eubacterium_rectale,0.8820131482,1
roseburia_intestinalis,roseburia_intestinalis,0.8796988365,1
faecalibacterium_prausnitzii,faecalibacterium_prausnitzii,0.843678449,1
klebsiella_pneumoniae,klebsiella_pneumoniae,0.8339069133,1
eubacterium_eligens,eubacterium_eligens,0.7718228703,1
bacteroides_eggerthii,bacteroides_eggerthii,0.7704289848,1
week sample obtained,lachnospiraceae_bacterium_2_1_58faa,0.9900065994,0.76
subdoligranulum_unclassified,subdoligranulum_unclassified,0.702262463,1
bacteroides_dorei,bacteroides_dorei,0.6899348674,1
streptococcus_parasanguinis,streptococcus_parasanguinis,0.6893708525,1
bacteroides_uniformis,bacteroides_uniformis,0.6589487902,1
week sample obtained,lachnospiraceae_bacterium_8_1_57faa,-0.9890084822,0.6
week sample obtained,lachnospiraceae_bacterium_7_1_58faa,0.9900065994,0.48
week sample obtained,eubacterium_ramulus,-0.9890084822,0.48
week sample obtained,coprococcus_catus,0.9900065994,0.39
hgi__clca1,bacteroides_uniformis,0.3214276919,1
hgi__clca1,bacteroides_dorei,0.2932346422,1
hgi__hla-dra,streptococcus_parasanguinis,0.2558295611,1
hgi__anpep,subdoligranulum_unclassified,0.2396425925,1
hgr__fabp1,eubacterium_eligens,0.2017594272,0.93
hgr__fabp1,bacteroides_eggerthii,0.179656316,1
hgi__hla-dra,klebsiella_pneumoniae,0.1557698719,1
week sample obtained,roseburia_unclassified,-0.9890084822,0.1
hgi__b2m,eubacterium_rectale,0.0958943959,0.95
hgi__apob,roseburia_intestinalis,0.0829132009,1
hgi__b2m,faecalibacterium_prausnitzii,0.0875494094,0.75
hgr__igj,akkermansia_muciniphila,0.0620943388,1
hgi__defa5,clostridium_clostridioforme,0.0514265427,1
hgi__b2m,subdoligranulum_unclassified,0.0580949445,0.88
hgi__anpep,haemophilus_parainfluenzae,0.0513335483,0.99
hgr__b2m,bacteroides_ovatus,0.0522334269,0.97
hgi__apob,roseburia_inulinivorans,0.0639195529,0.78
hgr__igj,bacteroides_fragilis,0.0501561769,0.95
hgi__olfm4,c2likevirus_unclassified,0.0441819532,1
hgi__hla-dra,bacteroides_eggerthii,0.0436620177,0.87
hgr__fabp1,bacteroides_finegoldii,0.0371318154,1
hgr__fabp1,bacteroides_thetaiotaomicron,0.0351352389,0.97
hgi__hla-dra,escherichia_coli,0.0418707338,0.81
hgi__sepp1,roseburia_inulinivorans,-0.0322462029,1
hgr__igj,escherichia_coli,0.0297715504,0.99
hgr__krt8,peptostreptococcaceae_noname_unclassified,-0.0284737106,1
hgr__krt8,sutterella_wadsworthensis,-0.0306681143,0.89
hgi__b2m,streptococcus_parasanguinis,0.0452462968,0.59
hgi__b2m,bifidobacterium_adolescentis,0.0273049229,0.97
hgi__defa5,bacteroides_faecis,0.0350685044,0.75
hgr__igj,veillonella_parvula,0.0252027094,1
hgi__olfm4,roseburia_intestinalis,0.0277812717,0.89
hgi__defa5,clostridium_bolteae,0.02459454,1
hgi__clca1,parabacteroides_unclassified,0.0259487212,0.93
hgi__apob,ruminococcus_gnavus,0.0231334844,1
hgi__defa5,bacteroides_cellulosilyticus,0.0298668498,0.74
hgi__olfm4,faecalibacterium_prausnitzii,0.0248886509,0.88
hgr__fth1,bacteroides_massiliensis,-0.0215872079,1
hgi__igj,veillonella_atypica,0.0202039258,1
hgi__igj,sutterella_wadsworthensis,0.0230643209,0.85
hgr__slc26a3,bacteroides_stercoris,-0.019295189,1
hgr__pigr,veillonella_atypica,-0.0185150249,0.98
hgr__igha1,eubacterium_eligens,0.0216960969,0.8
hgr__fabp1,oscillibacter_unclassified,0.021491426,0.8
hgr__igj,ruminococcus_gnavus,0.0222030989,0.76
hgi__apob,alistipes_putredinis,-0.0136196478,0.97
hgi__clca1,bacteroides_ovatus,0.0287105382,0.42
hgi__apob,veillonella_unclassified,0.0142979259,0.83
hgi__anpep,faecalibacterium_prausnitzii,0.0438834907,0.27
hgr__hla-b,bacteroides_fragilis,-0.0159377394,0.74
hgi__hla-dra,bilophila_unclassified,0.0115179295,0.91
hgi__b2m,propionibacterium_acnes,0.0102814467,1
hgr__actg1,bacteroides_caccae,-0.0119436013,0.83
pseudomonas_unclassified,pseudomonas_unclassified,0.0099009956,1
