source,target,weigh,bootscore
m__hmdb03357,m__hmdb03357,0.9999887826,1
m__hmdb00812,m__hmdb00812,0.9999733421,1
m__hmdb00063,m__hmdb00063,0.9999478538,1
m__hmdb00725,m__hmdb00725,0.9998541751,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9997858512,1
m__hmdb00156,m__hmdb00156,0.9996625158,1
m__hmdb00019,m__hmdb00019,0.9996059435,1
m__hmdb00244,m__hmdb00244,0.9996008508,1
m__hmdb00197,m__hmdb00197,0.9995616725,1
m__hmdb01895,m__hmdb01895,0.9995418117,1
m__hmdb00209,m__hmdb00209,0.9994864201,1
m__hmdb00139,m__hmdb00139,0.9994807716,1
m__hmdb00194,m__hmdb00194,0.9994372791,1
veillonella_atypica,veillonella_atypica,0.9993439069,1
m__hmdb00094,m__hmdb00094,0.9993409841,1
m__hmdb00118,m__hmdb00118,0.9993037464,1
m__hmdb02123,m__hmdb02123,0.9992647995,1
m__hmdb00452,m__hmdb00452,0.9992040668,1
coprococcus_catus,coprococcus_catus,0.9989751854,1
m__hmdb00873,m__hmdb00873,0.9987447358,1
m__hmdb00715,m__hmdb00715,0.9986560519,1
m__hmdb00764,m__hmdb00764,0.9985796239,1
m__hmdb01547,m__hmdb01547,0.9985370673,1
m__hmdb00511,m__hmdb00511,0.9984726644,1
m__hmdb00020,m__hmdb00020,0.9983871281,1
m__hmdb11718,m__hmdb11718,0.9983469853,1
m__hmdb00448,m__hmdb00448,0.9982980684,1
m__hmdb03464,m__hmdb03464,0.9981361405,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.9981117259,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9980306533,1
clostridium_citroniae,clostridium_citroniae,0.9978086929,1
m__hmdb00195,m__hmdb00195,0.9977772873,1
escherichia_unclassified,escherichia_unclassified,0.9976227422,1
m__hmdb04193,m__hmdb04193,0.9973357434,1
m__hmdb00067,m__hmdb00067,0.9972680832,1
m__hmdb00296,m__hmdb00296,0.9967993633,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9964780954,1
m__hmdb00510,m__hmdb00510,0.9962062097,1
m__hmdb00262,m__hmdb00262,0.9958977098,1
m__hmdb00956,m__hmdb00956,0.9958705935,1
m__hmdb00222,m__hmdb00222,0.9958152873,1
eubacterium_ramulus,eubacterium_ramulus,0.9956679506,1
m__hmdb00247,m__hmdb00247,0.9956308642,1
m__hmdb00174,m__hmdb00174,0.9948802685,1
m__hmdb00482,m__hmdb00482,0.994525352,1
m__hmdb00365,m__hmdb00365,0.9943513544,1
m__hmdb00043,m__hmdb00043,0.99430463,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.9942437563,1
holdemania_unclassified,holdemania_unclassified,0.9920768236,1
clostridium_bolteae,clostridium_bolteae,0.9920225467,1
oscillibacter_unclassified,oscillibacter_unclassified,0.9906855963,1
ruminococcus_torques,ruminococcus_torques,0.9904141205,1
holdemania_filiformis,holdemania_filiformis,0.9898369724,1
m__hmdb00039,m__hmdb00039,0.9861817164,1
m__hmdb10169,m__hmdb10169,0.9836501823,1
holdemania_unclassified,formate-c-acetyltransferase-activating enzyme,-0.983388476,1
m__hmdb00097,m__hmdb00097,0.981866145,1
m__hmdb00806,m__hmdb00806,0.9816405978,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9809026947,1
m__hmdb01169,m__hmdb01169,0.980513247,1
dorea_unclassified,dorea_unclassified,0.980026486,1
m__hmdb00128,m__hmdb00128,0.9798664675,1
