source,target,weigh,bootscore
prevotella_copri,prevotella_copri,0.9998411466,NA
week sample obtained,prevotella_copri,0.0001588534,NA
faecalibacterium_prausnitzii,faecalibacterium_prausnitzii,0.9995627333,NA
week sample obtained,faecalibacterium_prausnitzii,-0.0004372667,NA
bacteroides_uniformis,bacteroides_uniformis,1,NA
bacteroides_stercoris,bacteroides_stercoris,0.9998560418,NA
week sample obtained,bacteroides_stercoris,0.0001439582,NA
escherichia_coli,escherichia_coli,1,NA
roseburia_intestinalis,roseburia_intestinalis,0.9993139522,NA
week sample obtained,roseburia_intestinalis,-0.0006860478,NA
bacteroides_vulgatus,bacteroides_vulgatus,0.9997178339,NA
week sample obtained,bacteroides_vulgatus,0.0002821661,NA
bacteroides_fragilis,bacteroides_fragilis,0.9998456077,NA
week sample obtained,bacteroides_fragilis,-0.0001543923,NA
eubacterium_rectale,eubacterium_rectale,0.9997707435,NA
week sample obtained,eubacterium_rectale,0.0002292565,NA
akkermansia_muciniphila,akkermansia_muciniphila,0.999919485,NA
week sample obtained,akkermansia_muciniphila,-0.000080515,NA
klebsiella_pneumoniae,klebsiella_pneumoniae,0.9997423962,NA
week sample obtained,klebsiella_pneumoniae,-0.0002576038,NA
subdoligranulum_unclassified,subdoligranulum_unclassified,1,NA
bacteroides_ovatus,bacteroides_ovatus,1,NA
bacteroides_dorei,bacteroides_dorei,1,NA
bacteroides_eggerthii,bacteroides_eggerthii,1,NA
bacteroides_caccae,bacteroides_caccae,0.9999155003,NA
week sample obtained,bacteroides_caccae,-0.0000844997,NA
haemophilus_parainfluenzae,haemophilus_parainfluenzae,0.9999545103,NA
week sample obtained,haemophilus_parainfluenzae,-0.0000454897,NA
eubacterium_siraeum,eubacterium_siraeum,1,NA
dialister_invisus,dialister_invisus,1,NA
bacteroides_cellulosilyticus,bacteroides_cellulosilyticus,1,NA
bacteroides_massiliensis,bacteroides_massiliensis,1,NA
alistipes_putredinis,alistipes_putredinis,0.999945913,NA
week sample obtained,alistipes_putredinis,0.000054087,NA
parabacteroides_distasonis,parabacteroides_distasonis,1,NA
escherichia_unclassified,escherichia_unclassified,0.9999902475,NA
week sample obtained,escherichia_unclassified,0.0000097525,NA
c2likevirus_unclassified,c2likevirus_unclassified,1,NA
alistipes_onderdonkii,alistipes_onderdonkii,0.9999803727,NA
week sample obtained,alistipes_onderdonkii,0.0000196273,NA
bacteroides_thetaiotaomicron,bacteroides_thetaiotaomicron,0.9999153428,NA
week sample obtained,bacteroides_thetaiotaomicron,-0.0000846572,NA
