source,target,weigh,bootscore
prevotella_copri,prevotella_copri,1,NA
faecalibacterium_prausnitzii,faecalibacterium_prausnitzii,1,NA
bacteroides_uniformis,bacteroides_uniformis,0.9997266873,NA
week sample obtained,bacteroides_uniformis,0.0002733127,NA
bacteroides_stercoris,bacteroides_stercoris,1,NA
escherichia_coli,escherichia_coli,1,NA
roseburia_intestinalis,roseburia_intestinalis,0.9997484633,NA
week sample obtained,roseburia_intestinalis,-0.0002515367,NA
bacteroides_vulgatus,bacteroides_vulgatus,1,NA
bacteroides_fragilis,bacteroides_fragilis,1,NA
eubacterium_rectale,eubacterium_rectale,0.999729438,NA
week sample obtained,eubacterium_rectale,0.000270562,NA
akkermansia_muciniphila,akkermansia_muciniphila,0.9999215143,NA
week sample obtained,akkermansia_muciniphila,-0.0000784857,NA
klebsiella_pneumoniae,klebsiella_pneumoniae,0.9998813845,NA
week sample obtained,klebsiella_pneumoniae,-0.0001186155,NA
subdoligranulum_unclassified,subdoligranulum_unclassified,1,NA
bacteroides_ovatus,bacteroides_ovatus,0.999910766,NA
week sample obtained,bacteroides_ovatus,-0.000089234,NA
bacteroides_dorei,bacteroides_dorei,1,NA
bacteroides_eggerthii,bacteroides_eggerthii,0.9999328671,NA
week sample obtained,bacteroides_eggerthii,0.0000671329,NA
bacteroides_caccae,bacteroides_caccae,1,NA
haemophilus_parainfluenzae,haemophilus_parainfluenzae,1,NA
eubacterium_siraeum,eubacterium_siraeum,0.9999054978,NA
week sample obtained,eubacterium_siraeum,-0.0000945022,NA
dialister_invisus,dialister_invisus,1,NA
bacteroides_cellulosilyticus,bacteroides_cellulosilyticus,1,NA
bacteroides_massiliensis,bacteroides_massiliensis,0.9998547264,NA
week sample obtained,bacteroides_massiliensis,0.0001452736,NA
alistipes_putredinis,alistipes_putredinis,0.9999216894,NA
week sample obtained,alistipes_putredinis,-0.0000783106,NA
parabacteroides_distasonis,parabacteroides_distasonis,0.9998774882,NA
week sample obtained,parabacteroides_distasonis,0.0001225118,NA
escherichia_unclassified,escherichia_unclassified,0.9999210743,NA
week sample obtained,escherichia_unclassified,0.0000789257,NA
c2likevirus_unclassified,c2likevirus_unclassified,1,NA
alistipes_onderdonkii,alistipes_onderdonkii,0.9999165862,NA
week sample obtained,alistipes_onderdonkii,-0.0000834138,NA
bacteroides_thetaiotaomicron,bacteroides_thetaiotaomicron,1,NA
parabacteroides_unclassified,parabacteroides_unclassified,1,NA
ruminococcus_gnavus,ruminococcus_gnavus,0.9998981989,NA
week sample obtained,ruminococcus_gnavus,0.0001018011,NA
parabacteroides_merdae,parabacteroides_merdae,0.9999495695,NA
week sample obtained,parabacteroides_merdae,-0.0000504305,NA
veillonella_unclassified,veillonella_unclassified,1,NA
sutterella_wadsworthensis,sutterella_wadsworthensis,0.9999154162,NA
week sample obtained,sutterella_wadsworthensis,-0.0000845838,NA
veillonella_parvula,veillonella_parvula,0.9998774802,NA
week sample obtained,veillonella_parvula,0.0001225198,NA
bacteroides_faecis,bacteroides_faecis,0.9999165846,NA
week sample obtained,bacteroides_faecis,0.0000834154,NA
clostridium_hathewayi,clostridium_hathewayi,0.9999906968,NA
week sample obtained,clostridium_hathewayi,0.0000093032,NA
peptostreptococcaceae_noname_unclassified,peptostreptococcaceae_noname_unclassified,0.9999457062,NA
week sample obtained,peptostreptococcaceae_noname_unclassified,0.0000542938,NA
bifidobacterium_adolescentis,bifidobacterium_adolescentis,0.9999129521,NA
week sample obtained,bifidobacterium_adolescentis,0.0000870479,NA
barnesiella_intestinihominis,barnesiella_intestinihominis,0.999801883,NA
week sample obtained,barnesiella_intestinihominis,-0.000198117,NA
ruminococcus_bromii,ruminococcus_bromii,0.9999945687,NA
week sample obtained,ruminococcus_bromii,0.0000054313,NA
