source,target,weigh,bootscore
prevotella_copri,prevotella_copri,1,1
bacteroides_stercoris,bacteroides_stercoris,1,1
escherichia_coli,escherichia_coli,1,1
bacteroides_vulgatus,bacteroides_vulgatus,1,1
bacteroides_fragilis,bacteroides_fragilis,1,1
subdoligranulum_unclassified,subdoligranulum_unclassified,1,1
bacteroides_dorei,bacteroides_dorei,1,1
bacteroides_caccae,bacteroides_caccae,1,1
dialister_invisus,dialister_invisus,1,1
bacteroides_cellulosilyticus,bacteroides_cellulosilyticus,1,1
c2likevirus_unclassified,c2likevirus_unclassified,1,1
bacteroides_thetaiotaomicron,bacteroides_thetaiotaomicron,1,1
parabacteroides_unclassified,parabacteroides_unclassified,1,1
veillonella_unclassified,veillonella_unclassified,1,1
oscillibacter_unclassified,oscillibacter_unclassified,1,1
clostridium_clostridioforme,clostridium_clostridioforme,1,1
bifidobacterium_longum,bifidobacterium_longum,1,1
veillonella_dispar,veillonella_dispar,1,1
alistipes_finegoldii,alistipes_finegoldii,1,1
odoribacter_splanchnicus,odoribacter_splanchnicus,1,1
lachnospiraceae_bacterium_1_1_57faa,lachnospiraceae_bacterium_1_1_57faa,1,1
clostridium_citroniae,clostridium_citroniae,1,1
dorea_longicatena,dorea_longicatena,1,1
veillonella_atypica,veillonella_atypica,1,1
streptococcus_salivarius,streptococcus_salivarius,1,1
eubacterium_hallii,eubacterium_hallii,1,1
lachnospiraceae_bacterium_3_1_46faa,lachnospiraceae_bacterium_3_1_46faa,1,1
burkholderiales_bacterium_1_1_47,burkholderiales_bacterium_1_1_47,1,1
parasutterella_excrementihominis,parasutterella_excrementihominis,1,1
ruminococcus_obeum,ruminococcus_obeum,1,1
propionibacterium_acnes,propionibacterium_acnes,1,1
streptococcus_thermophilus,streptococcus_thermophilus,1,1
mitsuokella_unclassified,mitsuokella_unclassified,1,1
bilophila_wadsworthia,bilophila_wadsworthia,1,1
anaerostipes_hadrus,anaerostipes_hadrus,1,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,1,1
clostridium_asparagiforme,clostridium_asparagiforme,1,1
clostridium_bartlettii,clostridium_bartlettii,1,1
holdemania_filiformis,holdemania_filiformis,1,1
anaerotruncus_colihominis,anaerotruncus_colihominis,1,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,1,1
holdemania_unclassified,holdemania_unclassified,1,1
dorea_unclassified,dorea_unclassified,1,1
anaerotruncus_unclassified,anaerotruncus_unclassified,1,1
eggerthella_unclassified,eggerthella_unclassified,1,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.9999989917,1
coprococcus_catus,coprococcus_catus,0.9999989917,1
clostridium_symbiosum,clostridium_symbiosum,0.9999989216,1
roseburia_unclassified,roseburia_unclassified,0.9999989216,1
pseudomonas_unclassified,pseudomonas_unclassified,0.9999989216,1
ruminococcus_callidus,ruminococcus_callidus,0.9999989216,1
coprococcus_comes,coprococcus_comes,0.9999989216,1
eubacterium_ramulus,eubacterium_ramulus,0.9999989216,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.9999989216,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.9999989216,1
dorea_formicigenerans,dorea_formicigenerans,0.9999989216,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.9999989216,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.9999989216,1
bilophila_unclassified,bilophila_unclassified,0.9999965917,1
clostridium_leptum,clostridium_leptum,0.9999962437,1
eubacterium_ventriosum,eubacterium_ventriosum,0.9999962437,1
coprobacillus_unclassified,coprobacillus_unclassified,0.9999962437,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.9999962437,1
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,0.9999962437,1
haemophilus_parainfluenzae,haemophilus_parainfluenzae,0.9999945608,1
clostridium_hathewayi,clostridium_hathewayi,0.9999945608,1
ruminococcus_bromii,ruminococcus_bromii,0.9999945608,1
