source,target,weigh,bootscore
pseudomonas_unclassified,pseudomonas_unclassified,0.9999989731,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.9999989731,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.9999458041,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9999182461,1
bilophila_wadsworthia,bilophila_wadsworthia,0.9999129908,1
streptococcus_thermophilus,streptococcus_thermophilus,0.9999005053,1
clostridium_citroniae,clostridium_citroniae,0.9998972281,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.999865942,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9998598096,1
holdemania_unclassified,holdemania_unclassified,0.9998482247,1
dorea_unclassified,dorea_unclassified,0.9998424689,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.9998302208,1
dorea_formicigenerans,dorea_formicigenerans,0.9998203162,1
eggerthella_unclassified,eggerthella_unclassified,0.9998098467,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9997860567,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.9997327192,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.9996958585,1
coprococcus_catus,coprococcus_catus,0.9996499942,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.999626388,1
holdemania_filiformis,holdemania_filiformis,0.9995965265,1
clostridium_bartlettii,clostridium_bartlettii,0.9995838253,1
anaerostipes_hadrus,anaerostipes_hadrus,0.9994983091,1
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,0.9994452856,1
ruminococcus_obeum,ruminococcus_obeum,0.9994219749,1
ruminococcus_callidus,ruminococcus_callidus,0.9992759195,1
ruminococcus_lactaris,ruminococcus_lactaris,0.9992060964,1
coprococcus_comes,coprococcus_comes,0.9992009971,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.9991912988,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9991761949,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.9989850156,1
eubacterium_ramulus,eubacterium_ramulus,0.9988745234,1
clostridium_leptum,clostridium_leptum,0.9984640983,1
lachnospiraceae_bacterium_1_1_57faa,lachnospiraceae_bacterium_1_1_57faa,0.998058202,1
dorea_longicatena,dorea_longicatena,0.9978904158,1
ruminococcus_bromii,ruminococcus_bromii,0.9978810971,1
alistipes_shahii,alistipes_shahii,0.9977191057,1
roseburia_unclassified,roseburia_unclassified,0.9975716516,1
eubacterium_hallii,eubacterium_hallii,0.9970830273,1
eubacterium_ventriosum,eubacterium_ventriosum,0.9969369657,1
collinsella_aerofaciens,collinsella_aerofaciens,0.9966210364,1
lachnospiraceae_bacterium_3_1_46faa,lachnospiraceae_bacterium_3_1_46faa,0.9964340355,1
veillonella_dispar,veillonella_dispar,0.9963861774,1
flavonifractor_plautii,flavonifractor_plautii,0.9963635195,1
streptococcus_salivarius,streptococcus_salivarius,0.9961140579,1
odoribacter_splanchnicus,odoribacter_splanchnicus,0.9958548073,1
alistipes_finegoldii,alistipes_finegoldii,0.9950058741,1
bilophila_unclassified,bilophila_unclassified,0.9939971278,1
roseburia_hominis,roseburia_hominis,0.9925846601,1
burkholderiales_bacterium_1_1_47,burkholderiales_bacterium_1_1_47,0.9918959521,1
bifidobacterium_longum,bifidobacterium_longum,0.9899340604,1
parabacteroides_merdae,parabacteroides_merdae,0.9893695657,1
coprobacillus_unclassified,coprobacillus_unclassified,0.988878042,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,0.9887252954,1
clostridium_hathewayi,clostridium_hathewayi,0.9884000312,1
barnesiella_intestinihominis,barnesiella_intestinihominis,0.9876631782,1
ruminococcus_torques,ruminococcus_torques,0.9875022043,1
clostridium_symbiosum,clostridium_symbiosum,0.9863629402,1
propionibacterium_acnes,propionibacterium_acnes,0.9861831228,1
dialister_invisus,dialister_invisus,0.9824924082,1
eubacterium_siraeum,eubacterium_siraeum,0.9813674577,1
alistipes_onderdonkii,alistipes_onderdonkii,0.9788192963,1
parabacteroides_distasonis,parabacteroides_distasonis,0.9773281195,1
clostridium_bolteae,clostridium_bolteae,0.9705523377,1
escherichia_unclassified,escherichia_unclassified,0.9683375817,1
oscillibacter_unclassified,oscillibacter_unclassified,0.9680296474,1
peptostreptococcaceae_noname_unclassified,peptostreptococcaceae_noname_unclassified,0.9671546123,1
alistipes_putredinis,alistipes_putredinis,0.9633410332,1
bifidobacterium_adolescentis,bifidobacterium_adolescentis,0.9605516935,1
veillonella_parvula,veillonella_parvula,0.9603581456,1
bacteroides_faecis,bacteroides_faecis,0.9594729821,1
bacteroides_finegoldii,bacteroides_finegoldii,0.9536915255,1
bacteroides_caccae,bacteroides_caccae,0.9533151954,1
bacteroides_massiliensis,bacteroides_massiliensis,0.951680634,1
