source,target,weigh,bootscore
m__hmdb00812,m__hmdb00812,0.9999690246,1
m__hmdb00019,m__hmdb00019,0.9999566122,1
m__hmdb01547,m__hmdb01547,0.9998593309,1
m__hmdb00725,m__hmdb00725,0.999719478,1
m__hmdb01895,m__hmdb01895,0.9996827608,1
m__hmdb00452,m__hmdb00452,0.9995935355,1
m__hmdb00156,m__hmdb00156,0.9992562389,1
m__hmdb00139,m__hmdb00139,0.99924668,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.999138479,1
m__hmdb00209,m__hmdb00209,0.999046742,1
clostridium_citroniae,clostridium_citroniae,0.9989451497,1
m__hmdb00194,m__hmdb00194,0.9986406424,1
m__hmdb00448,m__hmdb00448,0.9985190551,1
m__hmdb00873,m__hmdb00873,0.9984774204,1
m__hmdb00118,m__hmdb00118,0.9984572945,1
m__hmdb01232,m__hmdb01232,0.9984340169,1
m__hmdb00244,m__hmdb00244,0.998379501,1
m__hmdb00715,m__hmdb00715,0.99821454,1
m__hmdb00630,m__hmdb00630,0.9981265635,1
m__hmdb03464,m__hmdb03464,0.9980800328,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.997906817,1
m__hmdb00511,m__hmdb00511,0.9976909436,1
m__hmdb00098,m__hmdb00098,0.9973903383,1
m__hmdb11718,m__hmdb11718,0.9973064085,1
m__hmdb00020,m__hmdb00020,0.9973059211,1
m__hmdb00195,m__hmdb00195,0.9971584925,1
m__hmdb00174,m__hmdb00174,0.9969148183,1
m__hmdb00094,m__hmdb00094,0.9964169294,1
m__hmdb02123,m__hmdb02123,0.9962445213,1
m__hmdb04193,m__hmdb04193,0.9960618629,1
m__hmdb00764,m__hmdb00764,0.9957162161,1
m__hmdb00222,m__hmdb00222,0.9952809998,1
m__hmdb00510,m__hmdb00510,0.99502928,1
m__hmdb00063,m__hmdb00063,0.9944617686,1
mitsuokella_unclassified,mitsuokella_unclassified,0.993997268,1
m__hmdb00067,m__hmdb00067,0.9938769566,1
m__hmdb01169,bacteroides_vulgatus,0.9925076989,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.9920883757,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9911996978,1
m__hmdb00296,m__hmdb00296,0.9903995168,1
m__hmdb00482,m__hmdb00482,0.9875839504,1
m__hmdb00870,m__hmdb00870,0.9855543242,1
m__hmdb00043,m__hmdb00043,0.984849232,1
m__hmdb00039,m__hmdb00039,0.984063733,1
m__hmdb10169,m__hmdb10169,0.9835984562,1
holdemania_unclassified,holdemania_unclassified,0.9827528119,1
m__hmdb00247,m__hmdb00247,0.979866038,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9796958382,1
mitsuokella_unclassified,rna helicase,0.9778150553,1
m__hmdb00128,m__hmdb00128,0.975967884,1
m__hmdb00097,m__hmdb00097,0.9757699418,1
clostridium_bartlettii,clostridium_bartlettii,0.9726174698,1
bacteroides_xylanisolvens,bacteroides_xylanisolvens,0.9721967145,1
m__hmdb00806,m__hmdb00806,0.9709262022,1
clostridium_bolteae,clostridium_bolteae,0.9702709513,1
clostridium_leptum,clostridium_leptum,0.9687421147,1
m__hmdb00637,m__hmdb00637,0.9626561981,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.9624591647,1
veillonella_parvula,veillonella_parvula,0.9608012485,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.9595011034,1
coprococcus_catus,coprococcus_catus,0.9557259741,1
lachnospiraceae_bacterium_7_1_58faa,lachnospiraceae_bacterium_7_1_58faa,0.9557131547,1
m__hmdb01149,m__hmdb01149,0.9548143325,1
m__hmdb00014,m__hmdb00014,0.9504939751,1
m__hmdb00036,m__hmdb00036,0.9474306317,1
veillonella_dispar,veillonella_dispar,0.9448096814,1
m__hmdb00138,m__hmdb00138,0.941906417,1
bifidobacterium_longum,bifidobacterium_longum,0.9418818084,1
m__hmdb00365,m__hmdb00365,0.9407771783,1
m__hmdb00699,m__hmdb00699,0.940345142,1
m__hmdb00562,m__hmdb00562,0.9325551415,1
pseudomonas_unclassified,3-hydroxyacyl-acyl-carrier-protein dehydratase,0.918144179649549,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.9093808129,1
dorea_formicigenerans,dorea_formicigenerans,0.9041930414,1
m__hmdb00269,m__hmdb00269,0.903866159,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.9038512582,1
m__hmdb01547,bacteroides_massiliensis,0.9027747742,1
odoribacter_splanchnicus,odoribacter_splanchnicus,0.9004053004,1
m__hmdb00020,peptostreptococcaceae_noname_unclassified,0.899724142,1
dorea_unclassified,dorea_unclassified,0.8995566799,1
m__hmdb00812,eubacterium_siraeum,0.9152777221,0.98
m__hmdb00019,akkermansia_muciniphila,0.931133983,0.96
parasutterella_excrementihominis,parasutterella_excrementihominis,0.891407009,1
m__hmdb00262,c2likevirus_unclassified,0.9075599885,0.98
pseudomonas_unclassified,pseudomonas_unclassified,0.8839997985,1
m__hmdb01169,parabacteroides_merdae,0.9682728846,0.91
ubiquinol oxidase electrogenic: non h+-transporting,ubiquinol oxidase electrogenic: non h+-transporting,0.8708547021,1
m__hmdb00956,m__hmdb00956,0.8699647196,1
m__hmdb00030,m__hmdb00030,0.8670671511,1
m__hmdb02329,m__hmdb02329,0.8641332456,1
bacteroides_fragilis,bacteroides_fragilis,0.8612433175,1
m__hmdb00056,m__hmdb00056,0.8566530002,1
pseudomonas_unclassified,fructose-bisphosphate aldolase,0.851594282337424,1
pseudomonas_unclassified,protein-npi-phosphohistidine-sugar phosphotransferase,0.8931221194,0.95
m__hmdb00619,m__hmdb00619,0.8446456793,1
m__hmdb00244,roseburia_intestinalis,0.9007635627,0.92
m__hmdb00089,m__hmdb00089,0.8258711484,1
streptococcus_salivarius,serine o-acetyltransferase,0.8253596135,1
erysipelotrichaceae_bacterium_6_1_45,enoyl-coa hydratase,0.8191065109,1
parabacteroides_distasonis,parabacteroides_distasonis,0.8034012939,1
pseudomonas_unclassified,ribulose-bisphosphate carboxylase,0.79719575310586,1
glucose-6-phosphate dehydrogenase nadp+,glucose-6-phosphate dehydrogenase nadp+,0.7952442932,1
eubacterium_hallii,eubacterium_hallii,0.7903595808,1
anaerotruncus_colihominis,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,0.7897059004,1
pseudomonas_unclassified,l-lactate dehydrogenase,0.7770694337,1
m__hmdb00873,escherichia_coli,0.8599796697,0.9
pseudomonas_unclassified,cytochrome-c oxidase,0.7710599844,1
m__hmdb00626,m__hmdb00626,0.7592412135,1
m__hmdb00019,lachnospiraceae_bacterium_3_1_57faa_ct1,0.7566395216,1
phosphatidate cytidylyltransferase,phosphatidate cytidylyltransferase,0.7556698963,1
m__hmdb00118,alistipes_onderdonkii,0.7903350451,0.95
eggerthella_unclassified,eggerthella_unclassified,0.7484689355,1
holdemania_filiformis,holdemania_filiformis,0.7462404739,1
m__hmdb00296,bacteroides_dorei,0.7574923372,0.97
pyridoxal 5-phosphate synthase glutamine hydrolyzing,pyridoxal 5-phosphate synthase glutamine hydrolyzing,0.7341800528,1
dorea_longicatena,dorea_longicatena,0.7321473591,1
glucose-1-phosphate adenylyltransferase,glucose-1-phosphate adenylyltransferase,0.7317629861,1
m__hmdb04610,m__hmdb04610,0.7316102685,1
pseudomonas_unclassified,glyceraldehyde-3-phosphate dehydrogenase phosphorylating,0.7426410734,0.98
m__hmdb00244,clostridium_symbiosum,0.7983315822,0.91
veillonella_atypica,veillonella_atypica,0.7251676406,1
m__hmdb01991,m__hmdb01991,0.7237159093,1
anaerostipes_hadrus,anaerostipes_hadrus,0.7225059048,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.7178009247,1
bacteroides_eggerthii,bacteroides_eggerthii,0.7125582314,1
dihydroorotate dehydrogenase quinone,dihydroorotate dehydrogenase quinone,0.7089116802,1
m__hmdb00289,m__hmdb00289,0.7066176787,1
m__hmdb00239,m__hmdb00239,0.7031981222,1
clostridiales_bacterium_1_7_47faa,phosphopyruvate hydratase,0.69326028159794,1
m__hmdb00156,lachnospiraceae_bacterium_1_1_57faa,0.6918321517,1
bilophila_wadsworthia,bilophila_wadsworthia,0.6889350716,1
m__hmdb00156,bacteroides_caccae,0.8920095327,0.77
glutamate dehydrogenase nadp+,glutamate dehydrogenase nadp+,0.6861449585,1
ruminococcus_callidus,ruminococcus_callidus,0.6857666473,1
pseudomonas_unclassified,l-serine ammonia-lyase,0.683260085742859,1
bacteroides_thetaiotaomicron,bacteroides_thetaiotaomicron,0.6807113038,1
subdoligranulum_unclassified,subdoligranulum_unclassified,0.6766883365,1
m__hmdb00511,alistipes_putredinis,0.7922964259,0.84
coprobacillus_unclassified,acetyl-coa c-acetyltransferase,0.714346271,0.93
barnesiella_intestinihominis,barnesiella_intestinihominis,0.6621277813,1
parasutterella_excrementihominis,fe3+-transporting atpase,0.6521452699,1
clostridium_bartlettii,aspartate ammonia-lyase,0.667469922710412,0.97
clostridiales_bacterium_1_7_47faa,phosphogluconate dehydrogenase nadp+-dependent decarboxylating,0.665458613392748,0.97
pseudomonas_unclassified,nadh dehydrogenase quinone,0.7029764514,0.9
flavonifractor_plautii,flavonifractor_plautii,0.6300524125,1
m__hmdb00873,roseburia_inulinivorans,0.6677192112,0.94
eubacterium_ramulus,eubacterium_ramulus,0.6237202325,1
holdemania_unclassified,formate-c-acetyltransferase-activating enzyme,0.672376299304032,0.92
m__hmdb00174,parabacteroides_unclassified,0.6228400111,0.99
clostridiaceae_bacterium_jc118,glutamate decarboxylase,0.684347382130581,0.89
anaerostipes_hadrus,methionyl aminopeptidase,0.6082273518,0.99
bacteroides_finegoldii,bacteroides_finegoldii,0.5997314214,1
bacterial non-heme ferritin,bacterial non-heme ferritin,0.5953339796,1
pseudomonas_unclassified,adenosylmethionine-8-amino-7-oxononanoate transaminase,0.594516236774159,1
bilophila_unclassified,bilophila_unclassified,0.5907352827,1
pseudomonas_unclassified,triose-phosphate isomerase,0.587491690411808,1
clostridium_clostridioforme,clostridium_clostridioforme,0.5779605955,1
roseburia_hominis,roseburia_hominis,0.5763171479,1
lachnospiraceae_bacterium_2_1_58faa,lachnospiraceae_bacterium_2_1_58faa,0.5753352879,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00251,0.616141746915717,0.93
m__hmdb00699,sutterella_wadsworthensis,0.8806543351,0.65
clostridium_asparagiforme,glycerol kinase,0.572691038597398,0.99
collinsella_aerofaciens,collinsella_aerofaciens,0.5639203123,1
beta-lactamase,beta-lactamase,0.5627085006,1
beta-ketoacyl-acyl-carrier-protein synthase ii,beta-ketoacyl-acyl-carrier-protein synthase ii,0.559863659,1
eubacterium_ventriosum,eubacterium_ventriosum,0.5589758607,1
m__hmdb00725,streptococcus_thermophilus,0.5940235306,0.94
alistipes_shahii,alistipes_shahii,0.557790014,1
m__hmdb01895,roseburia_unclassified,0.6101433811,0.91
m__hmdb00063,dialister_invisus,0.5548469387,1
m__hmdb00019,ruminococcus_bromii,0.8013911726,0.69
thymidylate synthase,thymidylate synthase,0.5507281433,1
m__hmdb00511,propionibacterium_acnes,0.5454819992,1
m__hmdb01232,bacteroides_faecis,0.7364266582,0.73
pseudomonas_unclassified,peroxiredoxin,0.5408564835,0.99
m__hmdb01895,streptococcus_salivarius,0.5293794515,1
m__hmdb02322,m__hmdb02322,0.5259482446,1
methylaspartate mutase,methylaspartate mutase,0.5253883133,1
orotidine-5-phosphate decarboxylase,orotidine-5-phosphate decarboxylase,0.5240328377,1
pseudomonas_unclassified,nadh,0.5542027517,0.94
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00101,0.9867833886,0.52
m__hmdb00699,prevotella_copri,0.5233153658,0.96
clostridiaceae_bacterium_jc118,4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase,0.6691207845,0.75
bacteroides_ovatus,bacteroides_ovatus,0.4896343005,1
pseudomonas_unclassified,dna-directed rna polymerase,0.575641473811269,0.85
bacteroides_uniformis,bacteroides_uniformis,0.4838048753,1
coprobacillus_unclassified,coprobacillus_unclassified,0.4740740334,1
m__hmdb01257,m__hmdb01257,0.4701843089,1
uridine kinase,uridine kinase,0.4649863176,1
preq1 synthase,preq1 synthase,0.4631896866,1
pseudomonas_unclassified,ribulose-phosphate 3-epimerase,0.5755317581,0.8
m__hmdb03464,klebsiella_pneumoniae,0.6420094474,0.7
5-formyltetrahydrofolate cyclo-ligase,5-formyltetrahydrofolate cyclo-ligase,0.4476308173,1
lachnospiraceae_bacterium_3_1_57faa_ct1,pyridoxine 5-phosphate synthase,0.446825521053723,1
holdemania_filiformis,phosphoglycerate kinase,0.6512995865,0.68
2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,0.4412089363,1
m__hmdb01895,burkholderiales_bacterium_1_1_47,0.5955932101,0.74
flavonifractor_plautii,phosphoenolpyruvate carboxykinase atp,0.434817471395941,1
coprococcus_comes,16s rrna cytosine1402-n4-methyltransferase,0.4239989898,0.98
escherichia_unclassified,escherichia_unclassified,0.4142466791,1
endopeptidase clp,endopeptidase clp,0.4114784404,1
3-hydroxybutyryl-coa dehydrogenase,3-hydroxybutyryl-coa dehydrogenase,0.4107024035,1
dorea_unclassified,s-ribosylhomocysteine lyase,0.5131372109,0.8
m__hmdb00209,bifidobacterium_adolescentis,0.4925581419,0.83
clostridium_bartlettii,histidine kinase,0.4439859634,0.92
lachnospiraceae_bacterium_3_1_57faa_ct1,transaldolase,0.4079367915,1
m__hmdb00452,veillonella_unclassified,0.6400484155,0.63
glycerol kinase,glycerol kinase,0.4028045714,1
m__hmdb00019,ruminococcus_obeum,0.7319006841,0.54
glycerate 3-kinase,glycerate 3-kinase,0.3887005061,1
phosphoenolpyruvate carboxykinase atp,phosphoenolpyruvate carboxykinase atp,0.3846896791,1
erysipelotrichaceae_bacterium_6_1_45,histidine kinase,0.399443284947266,0.96
m__hmdb00251,m__hmdb00251,0.3818982397,1
coprococcus_comes,coprococcus_comes,0.3782426035,1
dihydrolipoyl dehydrogenase,dihydrolipoyl dehydrogenase,0.3761883261,1
streptococcus_thermophilus,streptococcus_thermophilus,0.3758182761,1
3-hydroxyacyl-coa dehydrogenase,3-hydroxyacyl-coa dehydrogenase,0.3706484183,1
pyridoxine 5-phosphate synthase,pyridoxine 5-phosphate synthase,0.370164399,1
lachnospiraceae_bacterium_7_1_58faa,glycerate 3-kinase,0.440452437279213,0.84
m__hmdb00251,bacteroides_finegoldii,0.3698221331,1
m__hmdb00222,clostridium_clostridioforme,0.3736296384,0.98
streptococcus_salivarius,preq1 synthase,0.3651082128,1
flavonifractor_plautii,3-methyl-2-oxobutanoate hydroxymethyltransferase,0.3623197377,1
streptococcus_salivarius,streptococcus_salivarius,0.3596419362,1
clostridium_leptum,beta-ketoacyl-acyl-carrier-protein synthase ii,0.375897794407707,0.95
parabacteroides_unclassified,parabacteroides_unclassified,0.3569359348,1
ribulose-phosphate 3-epimerase,ribulose-phosphate 3-epimerase,0.3519715756,1
m__hmdb01895,eubacterium_ramulus,0.3466440833,1
clostridium_bartlettii,h+-transporting two-sector atpase,0.590990947918659,0.58
erysipelotrichaceae_bacterium_6_1_45,peroxiredoxin,0.3417099974,1
m__hmdb00873,flavonifractor_plautii,0.3408745435,1
week sample obtained,ruminococcus_lactaris,0.9900988512,0.34
s-ribosylhomocysteine lyase,s-ribosylhomocysteine lyase,0.3284730628,1
m__hmdb03357,eubacterium_eligens,0.9947618604,0.33
m__hmdb03464,ruminococcus_gnavus,0.7102552666,0.46
m__hmdb00699,lachnospiraceae_bacterium_3_1_46faa,0.3866287438,0.84
ruminococcus_obeum,methionyl aminopeptidase,0.3313580382,0.98
clostridiales_bacterium_1_7_47faa,3-hydroxyacyl-coa dehydrogenase,0.502366934,0.64
m__hmdb00452,coprobacillus_unclassified,0.5236567234,0.61
haemophilus_parainfluenzae,haemophilus_parainfluenzae,0.3146536879,1
aspartate ammonia-lyase,aspartate ammonia-lyase,0.3104517391,1
m__hmdb00197,oscillibacter_unclassified,0.8156971301,0.38
eggerthella_unclassified,shikimate kinase,0.65520123234924,0.47
veillonella_atypica,3-methyl-2-oxobutanoate hydroxymethyltransferase,0.307213176564066,1
m__hmdb00296,roseburia_hominis,0.3059544901,1
erysipelotrichaceae_bacterium_6_1_45,5-formyltetrahydrofolate cyclo-ligase,0.416283621167606,0.73
m__hmdb00764,bifidobacterium_adolescentis,0.3103615313,0.94
m__hmdb00118,lachnospiraceae_bacterium_3_1_46faa,0.2935737627,0.99
clostridiales_bacterium_1_7_47faa,peptidylprolyl isomerase,0.3931617576,0.72
eggerthella_unclassified,transaldolase,0.440861096222183,0.64
ruminococcus_gnavus,ruminococcus_gnavus,0.2787819723,1
pyruvate carboxylase,pyruvate carboxylase,0.2733179896,1
faecalibacterium_prausnitzii,faecalibacterium_prausnitzii,0.2725718778,1
lachnospiraceae_bacterium_2_1_58faa,superoxide dismutase,0.504282554621077,0.54
flavonifractor_plautii,phosphopyruvate hydratase,0.2687018089,1
lachnospiraceae_bacterium_3_1_46faa,lachnospiraceae_bacterium_3_1_46faa,0.2669646201,1
clostridiaceae_bacterium_jc118,aldose 1-epimerase,0.5661640222,0.47
m__hmdb00452,alistipes_finegoldii,0.4169501484,0.62
m__hmdb00956,bacteroides_uniformis,0.2604473958,0.99
hydroxylamine reductase,hydroxylamine reductase,0.2484304443,1
erysipelotrichaceae_bacterium_6_1_45,nadh,0.2481774602,1
hgi__anpep,subdoligranulum_unclassified,0.2457184858,1
clostridium_hathewayi,clostridium_hathewayi,0.2426656444,1
hgi__clca1,bacteroides_uniformis,0.241117857,1
m__hmdb00194,ruminococcus_callidus,0.2361724492,1
barnesiella_intestinihominis,uridine kinase,0.2351607292,1
oscillibacter_unclassified,uridine kinase,0.2465822104,0.94
clostridiaceae_bacterium_jc118,formate-c-acetyltransferase-activating enzyme,0.2746006015,0.84
3-methyl-2-oxobutanoate hydroxymethyltransferase,3-methyl-2-oxobutanoate hydroxymethyltransferase,0.2306371778,1
m__hmdb00020,prevotella_copri,0.2318474369,0.99
burkholderiales_bacterium_1_1_47,burkholderiales_bacterium_1_1_47,0.2275408455,1
lachnospiraceae_bacterium_5_1_63faa,adenosylmethionine-8-amino-7-oxononanoate transaminase,0.2274153953,1
m__hmdb00118,roseburia_unclassified,0.2239372572,1
ruminococcus_obeum,ruminococcus_obeum,0.2229623818,1
propionibacterium_acnes,propionibacterium_acnes,0.2197402613,1
propionibacterium_acnes,orotidine-5-phosphate decarboxylase,0.2197088121,1
streptococcus_parasanguinis,streptococcus_parasanguinis,0.2189907989,1
endopeptidase clp,m__hmdb03357,0.9900988512,0.22
clostridiales_bacterium_1_7_47faa,3-hydroxybutyryl-coa dehydrogenase,0.4353818067,0.5
m__hmdb00195,prevotella_copri,0.2302841951,0.93
