source,target,weigh,bootscore
m__hmdb00725,m__hmdb00725,0.9996537105,1
m__hmdb00452,m__hmdb00452,0.9993475912,1
m__hmdb00139,m__hmdb00139,0.9990031956,1
m__hmdb00209,m__hmdb00209,0.9985540035,1
m__hmdb01232,m__hmdb01232,0.9983760211,1
m__hmdb00118,m__hmdb00118,0.998283627,1
m__hmdb00194,m__hmdb00194,0.9982330649,1
m__hmdb00244,m__hmdb00244,0.9982145543,1
m__hmdb00448,m__hmdb00448,0.9981154225,1
m__hmdb00873,m__hmdb00873,0.9977771407,1
;  q06996: l_sendf    ;  o55528: l_sendo,;  q06996: l_sendf    ;  o55528: l_sendo,0.9976806076,1
m__hmdb00630,m__hmdb00630,0.9976529839,1
m__hmdb00715,m__hmdb00715,0.997526271,1
m__hmdb03464,m__hmdb03464,0.9973981348,1
m__hmdb00098,m__hmdb00098,0.9971428482,1
m__hmdb00511,m__hmdb00511,0.9968945017,1
m__hmdb00094,m__hmdb00094,0.9966205326,1
m__hmdb00174,m__hmdb00174,0.996597246,1
m__hmdb00020,m__hmdb00020,0.9965065933,1
m__hmdb11718,m__hmdb11718,0.9961222378,1
m__hmdb00195,m__hmdb00195,0.9959123966,1
m__hmdb02123,m__hmdb02123,0.9958316056,1
m__hmdb04193,m__hmdb04193,0.9942693966,1
m__hmdb00764,m__hmdb00764,0.9942444519,1
m__hmdb00262,m__hmdb00262,0.9940442965,1
clostridium_citroniae,clostridium_citroniae,0.9938460251,1
mitsuokella_unclassified,mitsuokella_unclassified,0.9930024804,1
m__hmdb00067,m__hmdb00067,0.9928828969,1
m__hmdb00510,m__hmdb00510,0.9927001687,1
m__hmdb00222,m__hmdb00222,0.9923891678,1
m__hmdb01169,bacteroides_vulgatus,0.9913781307,1
enoyl-coa hydratase,m__hmdb00812,0.9900991842,1
m__hmdb00296,m__hmdb00296,0.9885744642,1
m__hmdb00063,m__hmdb00063,0.9882849059,1
anaerotruncus_colihominis,anaerotruncus_colihominis,0.9872683207,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.9846582081,1
m__hmdb00870,m__hmdb00870,0.9843712743,1
m__hmdb00482,m__hmdb00482,0.9824012603,1
m__hmdb00043,m__hmdb00043,0.9810183089,1
m__hmdb10169,m__hmdb10169,0.9797339925,1
m__hmdb00039,m__hmdb00039,0.9796915445,1
anaerotruncus_unclassified,anaerotruncus_unclassified,0.9758971027,1
m__hmdb00247,m__hmdb00247,0.9738926056,1
m__hmdb00097,m__hmdb00097,0.9702960155,1
clostridium_asparagiforme,clostridium_asparagiforme,0.9700065156,1
m__hmdb00128,m__hmdb00128,0.9693390341,1
mitsuokella_unclassified,rna helicase,0.9688278573,1
clostridium_bolteae,clostridium_bolteae,0.9633396811,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.959196315,1
coprococcus_catus,coprococcus_catus,0.9530501604,1
m__hmdb00806,m__hmdb00806,0.9518824767,1
holdemania_unclassified,holdemania_unclassified,0.9507242998,1
week sample obtained,lachnospiraceae_bacterium_5_1_63faa,0.990099025,0.96
m__hmdb00637,m__hmdb00637,0.9492650637,1
veillonella_parvula,veillonella_parvula,0.9432225164,1
m__hmdb00014,m__hmdb00014,0.9419503734,1
m__hmdb01149,m__hmdb01149,0.9419071624,1
m__hmdb00036,m__hmdb00036,0.934485006,1
m__hmdb00138,m__hmdb00138,0.9268531226,1
m__hmdb00562,m__hmdb00562,0.9252174774,1
bifidobacterium_longum,bifidobacterium_longum,0.9249111266,1
m__hmdb00365,m__hmdb00365,0.9233844874,1
pseudomonas_unclassified,ribulose-bisphosphate carboxylase,0.907115811842461,1
m__hmdb00020,peptostreptococcaceae_noname_unclassified,0.9006305176,1
m__hmdb01169,parabacteroides_merdae,0.9649242943,0.93
m__hmdb00699,m__hmdb00699,0.8972378766,1
m__hmdb00269,m__hmdb00269,0.8917212964,1
dorea_formicigenerans,dorea_formicigenerans,0.888209035,1
veillonella_dispar,veillonella_dispar,0.8868807401,1
odoribacter_splanchnicus,odoribacter_splanchnicus,0.8727253958,1
bacterial non-heme ferritin,m__hmdb01547,0.990099789,0.88
pseudomonas_unclassified,protein-npi-phosphohistidine-sugar phosphotransferase,0.8970819402,0.97
m__hmdb00956,m__hmdb00956,0.8660181099,1
m__hmdb00873,escherichia_coli,0.8627437405,1
pseudomonas_unclassified,3-hydroxyacyl-acyl-carrier-protein dehydratase,0.861115505999717,1
lachnospiraceae_bacterium_8_1_57faa,lachnospiraceae_bacterium_8_1_57faa,0.8552755337,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.8528818657,1
m__hmdb02329,m__hmdb02329,0.8464467622,1
m__hmdb00056,m__hmdb00056,0.8435189762,1
m__hmdb00019,akkermansia_muciniphila,0.8499205284,0.98
pseudomonas_unclassified,fructose-bisphosphate aldolase,0.829541857488315,1
m__hmdb00619,m__hmdb00619,0.8245517697,1
m__hmdb00699,sutterella_wadsworthensis,0.9136238558,0.89
m__hmdb00089,m__hmdb00089,0.7990293541,1
m__hmdb00030,m__hmdb00030,0.7988876899,1
clostridium_bartlettii,clostridium_bartlettii,0.791302046,1
m__hmdb01547,bacteroides_massiliensis,0.7911183608,1
pseudomonas_unclassified,l-lactate dehydrogenase,0.7787941068,1
m__hmdb00244,roseburia_intestinalis,0.7964206637,0.97
pseudomonas_unclassified,cytochrome-c oxidase,0.7721078328,1
anaerotruncus_colihominis,2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase,0.7698325635,1
bacteroides_fragilis,bacteroides_fragilis,0.7662728971,1
;  q06996: l_sendf    ;  o55528: l_sendo,m__hmdb00101,0.9896447651,0.77
m__hmdb00019,lachnospiraceae_bacterium_3_1_57faa_ct1,0.7545638194,1
m__hmdb00296,bacteroides_dorei,0.7653357743,0.98
m__hmdb00626,m__hmdb00626,0.7388719538,1
erysipelotrichaceae_bacterium_6_1_45,enoyl-coa hydratase,0.7264930521,1
holdemania_filiformis,holdemania_filiformis,0.7261644868,1
clostridium_bartlettii,h+-transporting two-sector atpase,0.731707595310518,0.99
eggerthella_unclassified,eggerthella_unclassified,0.7190192095,1
pseudomonas_unclassified,glyceraldehyde-3-phosphate dehydrogenase phosphorylating,0.7126750037,0.99
anaerostipes_hadrus,anaerostipes_hadrus,0.7053707459,1
bacteroides_eggerthii,bacteroides_eggerthii,0.7040062812,1
clostridiales_bacterium_1_7_47faa,phosphopyruvate hydratase,0.698472221529678,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.6941487473,1
dorea_longicatena,dorea_longicatena,0.689359578,1
pseudomonas_unclassified,nadh dehydrogenase quinone,0.6878621513,1
m__hmdb04610,m__hmdb04610,0.6825971297,1
streptococcus_salivarius,serine o-acetyltransferase,0.6816999907,1
dihydroorotate dehydrogenase quinone,dihydroorotate dehydrogenase quinone,0.6813369934,1
parabacteroides_distasonis,parabacteroides_distasonis,0.6711543979,1
ruminococcus_callidus,ruminococcus_callidus,0.657862216,1
week sample obtained,ruminococcus_torques,0.9901035225,0.66
coprobacillus_unclassified,acetyl-coa c-acetyltransferase,0.6755857337,0.96
parasutterella_excrementihominis,parasutterella_excrementihominis,0.6451017564,1
m__hmdb00873,roseburia_inulinivorans,0.6582467492,0.98
m__hmdb01232,bacteroides_faecis,0.7404497386,0.87
m__hmdb00239,m__hmdb00239,0.639590125,1
m__hmdb00174,parabacteroides_unclassified,0.6340131638,1
week sample obtained,alistipes_shahii,0.9900991842,0.64
pyridoxal 5-phosphate synthase glutamine hydrolyzing,pyridoxal 5-phosphate synthase glutamine hydrolyzing,0.6289691408,1
