source	target	weigh	bootscore	confidence
m__hmdb03357	m__hmdb03357	0.999988781	1	0.999988781
m__hmdb00019	m__hmdb00019	0.999986751	1	0.999986751
m__hmdb00812	m__hmdb00812	0.999985134	1	0.999985134
m__hmdb00019	m__hmdb00019	0.999980044	1	0.999980044
m__hmdb03357	m__hmdb03357	0.999978908	1	0.999978908
m__hmdb00812	m__hmdb00812	0.999973339	1	0.999973339
m__hmdb00063	m__hmdb00063	0.999947856	1	0.999947856
m__hmdb00197	m__hmdb00197	0.999944584	1	0.999944584
m__hmdb01547	m__hmdb01547	0.999920645	1	0.999920645
m__hmdb00197	m__hmdb00197	0.999900701	1	0.999900701
m__hmdb01169	m__hmdb01169	0.999874568	1	0.999874568
m__hmdb00063	m__hmdb00063	0.999873556	1	0.999873556
m__hmdb00725	m__hmdb00725	0.999851501	1	0.999851501
m__hmdb01895	m__hmdb01895	0.999821534	1	0.999821534
m__hmdb00452	m__hmdb00452	0.999819788	1	0.999819788
m__hmdb00725	m__hmdb00725	0.999807767	1	0.999807767
anaerotruncus_colihominis	anaerotruncus_colihominis	0.999788806	1	0.999788806
m__hmdb00209	m__hmdb00209	0.999708539	1	0.999708539
m__hmdb00156	m__hmdb00156	0.999667112	1	0.999667112
m__hmdb00156	m__hmdb00156	0.999615413	1	0.999615413
m__hmdb00244	m__hmdb00244	0.999594779	1	0.999594779
m__hmdb00209	m__hmdb00209	0.999485054	1	0.999485054
m__hmdb00139	m__hmdb00139	0.999479955	1	0.999479955
m__hmdb01895	m__hmdb01895	0.999455874	1	0.999455874
m__hmdb00139	m__hmdb00139	0.999439091	1	0.999439091
m__hmdb00118	m__hmdb00118	0.999422241	1	0.999422241
anaerotruncus_colihominis	anaerotruncus_colihominis	0.999389542	1	0.999389542
m__hmdb00094	m__hmdb00094	0.999340887	1	0.999340887
veillonella_atypica	veillonella_atypica	0.999328524	1	0.999328524
m__hmdb02123	m__hmdb02123	0.999263117	1	0.999263117
m__hmdb00194	m__hmdb00194	0.999241399	1	0.999241399
