SubjectID$ID	Week sample obtained$clinical	s__Bacteroides_fragilis$taxa	s__Bacteroides_ovatus$taxa	s__Bacteroides_stercoris$taxa	s__Bacteroides_uniformis$taxa	s__Bacteroides_vulgatus$taxa	s__Prevotella_copri$taxa	s__Faecalibacterium_prausnitzii$taxa	s__Eubacterium_rectale$taxa	s__Subdoligranulum_unclassified$taxa	s__Alistipes_putredinis$taxa	g__ Superoxide dismutase$gene	g__ Bacterial non-heme ferritin$gene	g__ Glutamate dehydrogenase (NAD(P)(+))$gene	g__ [Formate-C-acetyltransferase]-activating enzyme$gene	g__ Phosphopyruvate hydratase$gene	g__ Glucose-6-phosphate dehydrogenase (NADP(+))$gene	g__ Glutamate dehydrogenase$gene	g__ Glutamate decarboxylase$gene	g__ 3-hydroxybutyryl-CoA dehydrogenase$gene	g__ NADH$gene	g__ Cytochrome-c oxidase$gene	g__ Glycerol kinase$gene	g__ Glucose-1-phosphate adenylyltransferase$gene	g__ H(+)-transporting two-sector ATPase$gene	g__ Dihydrolipoyl dehydrogenase$gene	g__ 16S rRNA (cytosine(1402)-N(4))-methyltransferase$gene	g__ Dephospho-CoA kinase$gene	g__ 5-formyltetrahydrofolate cyclo-ligase$gene	g__ NADH dehydrogenase (quinone)$gene	g__ Uridine kinase$gene	g__ 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase$gene	g__ Phosphatidate cytidylyltransferase$gene	"g__  ;  Q06996, L_SENDF$gene"	g__ Beta-lactamase$gene	g__ RNA helicase$gene	g__ Protein-N(pi)-phosphohistidine--sugar phosphotransferase$gene	g__ DNA-directed RNA polymerase$gene	g__ DNA helicase$gene	g__ Phosphoenolpyruvate carboxykinase (ATP)$gene	g__ Glycerate 3-kinase$gene	"g__ Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)$gene"	g__ Hydroxylamine reductase$gene	g__ Pyridoxal 5'-phosphate synthase$gene	g__ PreQ(1) synthase$gene	g__ Beta-ketoacyl-[acyl-carrier-protein] synthase II$gene	g__ Endopeptidase Clp$gene	g__ Aldose 1-epimerase$gene	"g__ Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)$gene"	g__ 3-methyl-2-oxobutanoate hydroxymethyltransferase$gene	g__ Transaldolase$gene	g__ Peptidylprolyl isomerase$gene	g__ Shikimate kinase$gene	g__ Peroxiredoxin$gene	"g__ Ubiquinol oxidase (electrogenic, non H(+)-transporting)$gene"	g__ Methionyl aminopeptidase$gene	g__ Thymidylate synthase$gene	g__ Serine O-acetyltransferase$gene	g__ 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase$gene	g__ Orotidine-5'-phosphate decarboxylase$gene	g__ S-ribosylhomocysteine lyase$gene	g__ Acetyl-CoA C-acetyltransferase$gene	g__ Fe(3+)-transporting ATPase$gene	g__ Pyruvate carboxylase$gene	g__ Pyridoxine 5'-phosphate synthase$gene	g__ Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)$gene	g__ Enoyl-CoA hydratase$gene	g__ 3-hydroxyacyl-CoA dehydrogenase$gene	g__ 3-hydroxybutyryl-CoA dehydratase$gene	g__ Dihydroorotate dehydrogenase (quinone)$gene	g__ Ribulose-phosphate 3-epimerase$gene	g__ Adenosylmethionine--8-amino-7-oxononanoate transaminase$gene	g__ Histidine kinase$gene	g__ Phosphoglycerate kinase$gene	"g__ 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase$gene"	g__ L-lactate dehydrogenase$gene	g__ Ribulose-bisphosphate carboxylase$gene	g__ Fructose-bisphosphate aldolase$gene	g__ 3-hydroxyacyl-[acyl-carrier-protein] dehydratase$gene	g__ L-serine ammonia-lyase$gene	g__ Aspartate ammonia-lyase$gene	g__ Triose-phosphate isomerase$gene	g__ Methylaspartate mutase$gene	g__ Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)$gene	m__NH4_C54:5 TAG$metabolite	m__NH4_C54:4 TAG$metabolite	m__NH4_C54:3 TAG$metabolite	m__valine$metabolite	m__isoleucine$metabolite	m__spermidine$metabolite	m__2-deoxyadenosine$metabolite	m__methylimidazole acetic acid$metabolite	m__phytosphingosine$metabolite	m__linoleate$metabolite	m__oleate$metabolite	m__cholate$metabolite	m__NH4_C36:4 DAG$metabolite	m__oxalate$metabolite	m__urate$metabolite	m__aminoisobutyric acid/GABA$metabolite	m__butyrobetaine$metabolite	m__NH4_C54:6 TAG$metabolite	m__citrulline$metabolite	m__arachidonate$metabolite	m__NH4_C36:3 DAG$metabolite	m__NH4_C52:3 TAG$metabolite	m__NH4_C52:2 TAG$metabolite	m__atenolol$metabolite	m__pentadecanoate$metabolite	m__deoxycholate$metabolite	m__NH4_C36:2 DAG$metabolite	m__metformin$metabolite	m__lithocholate$metabolite	m__sphingosine-isomer2$metabolite	m__alanylalanine$metabolite	m__taurocholate$metabolite	m__NH4_C52:4 TAG$metabolite	m__C16:0 LPC$metabolite	m__C18:0 LPC$metabolite	m__phenyllactate$metabolite	m__C54:3 TAG$metabolite	m__palmitate$metabolite	m__taurochenodeoxycholate$metabolite	m__glycochenodeoxycholate$metabolite	m__glycocholate$metabolite	m__alloisoleucine$metabolite	m__threosphingosine$metabolite	m__NH4_C34:2 DAG$metabolite	m__NH4_C34:1 DAG$metabolite	m__alpha-linolenate$metabolite	m__dodecanoate$metabolite	m__C36:3 DAG$metabolite	m__sphinganine$metabolite	m__C54:5 TAG$metabolite	m__C54:4 TAG$metabolite	m__oleanate$metabolite	m__adenosine$metabolite
4	5	0.011313706	0.182962015	1.496640209	1.252784797	1.864309615	0	0.54236573	0.037610744	1.551095697	0.016458432	3.282034942	0	0.590326544	0	0	0.152967641	0	0	0	0	0.017813243	0	0.002318213	0	0.001268028	0.048073246	0.003985865	0.063046584	0	0.030316922	0.046834304	0.156265057	0.044754496	0	0.036334644	0	0.078507495	0.043940867	0	0	0.0519472	0.000514281	0.036353415	0.001387326	0	0	0	0	0	0	0	0.055447139	0	0.002452919	0.076614576	0.058891445	0	0.047282294	0.012477294	0.003314604	0	0	0	0.009785756	0	0	0	0	0	0.008474389	0	0	0	0.013484217	0.01388401	0.000322967	0	0	0	0	0.039339506	0.003072501	0.006084101	0.360790879	0.480155475	0.516637685	1.118050005	0.314677911	0.968214455	0.564359478	1.331283833	0.078246533	0.115033832	0.196164253	0.00029787	0.07318824	0.007957709	0.057558938	0.017160844	0.067341172	0.063620656	0.072180781	0.023659109	0.218271328	0.294717585	0.266468246	0.528181396	0.126848618	0.068339171	0.208597312	0.00062677	0.029164596	0.020824174	0.023251617	0.003624397	0.135392196	0.022818279	0.012579509	0.002072806	0.049495336	0.045733306	0.004341441	0.005471059	0.003529023	0.002536692	0.004057504	0.065798212	0.068983968	0.009669415	0.007017228	0.060869467	0.012206823	0.046910839	0.043792687	0.009445258	0.016492335
4	6	0.009738976	0	0.548984771	0.994331648	1.646825197	0	0.517079785	0.155787888	1.709861918	0.034781725	3.76101911	0	0.529759896	0	0	0.159181964	0	0	0	0	0.015168105	0	0.001766372	0	0.002584195	0.042928161	0.003840395	0.059001218	0	0.027703189	0.04178564	0.133898685	0.037807757	0	0.03056592	0	0.068483518	0.041579282	0.00126691	0	0.047546652	0.000497203	0.033267928	0.001540874	0	0	0	0	0	0	0	0.081745832	0	0.001980455	0.06646728	0.05074594	0	0.043320105	0.011506024	0.003649248	0	0	0	0.010756892	0	0	0	0	0	0.012019932	0	0	0.001673006	0.012472235	0.012089336	0.000261825	0	0	0	0	0.040340094	0.002612875	0.004807475	0.249690722	0.317054655	0.336140749	1.764995412	0.295879878	1.122850259	0.55911674	1.607086306	0.111025469	0.144300594	0.173702359	0	0.054366839	0.017793014	0.108351612	0.044241532	0.084807785	0.059422867	0.09041209	0.04351082	0.146112137	0.187165211	0.167537462	0.31777044	0.081883874	0.06484383	0.138216438	0.000383814	0.026014497	0.027866115	0.039454633	0.014732137	0.08894602	0.035458235	0.021899537	0.00413593	0.041937231	0.035150172	0.01426841	0.017723456	0.015955781	0.001603435	0.003447268	0.044255362	0.044543493	0.019687537	0.006832464	0.050441878	0.01018488	0.041120639	0.038925164	0.012258297	0.028291049
4	7	0.005485139	0.519584165	2.87343924	1.217206539	2.27954794	0	0.123588884	0.269740466	0.452207332	0.022115253	4.212449205	0	0.463146365	0	0	0.165346518	0	0	0	0	0.012366962	0	0.00163962	0.003847552	0.004275506	0.037785411	0.003880901	0.054500284	0.000577236	0.024911311	0.036549174	0.110586483	0.030695803	0	0.024705976	0	0.06020276	0.039478411	0.010800685	0	0.04352788	0.000491603	0.030130801	0.001745392	0	0	0	0	0	0	0.018265995	0.104153738	0	0.001510032	0.0572793	0.042241568	0	0.039147708	0.010530136	0.004025462	0	0	0	0.011905175	0	0	0	0	0	0.016012952	0	0	0.008348112	0.011546383	0.010210584	0.000200552	0	0	0	0	0.04138673	0.002131852	0.003608082	0.183281995	0.216753495	0.224381968	2.044683124	0.306436277	1.249091576	0.562436665	1.814951532	0.138826731	0.164139214	0.160568291	0	0.042848332	0.025148374	0.13017911	0.067683119	0.102430828	0.059680703	0.102795369	0.053178093	0.100963328	0.1198317	0.105356563	0.183517911	0.053425637	0.06353888	0.094178418	0.000229468	0.024356161	0.032825652	0.052682203	0.021127453	0.060328284	0.042525726	0.02692617	0.005708233	0.038631559	0.028633938	0.019061059	0.022929195	0.022503193	0.001016232	0.003455574	0.030581449	0.028992143	0.027149612	0.006762213	0.044521173	0.009132829	0.039033747	0.037339302	0.014327046	0.034985029
4	8	0.004263568	0.597535852	4.085917371	1.718003263	1.637090196	0	0	0.349966855	0.263305301	0.007325538	0.833296297	0	0.664558944	0	0	0.290746588	0	0	0	0	0.016098303	0	0.003495599	0.043112717	0.010846825	0.055778695	0.007060053	0.084212023	0.014220572	0.03736271	0.053123371	0.147742305	0.040158891	0	0.032190778	0	0.09253014	0.064188124	0.035128376	0	0.068215688	0.000851715	0.045944159	0.003410236	0	0	0	0	0	0	0.074192977	0.206337992	0	0.001800948	0.084386266	0.05708692	0	0.059210923	0.016279082	0.007538535	0	0	0	0.02246704	0	0	0	0	0	0.03470126	0	0	0.02616688	0.01829176	0.014090589	0.000240329	0	0	0	0	0.072078841	0.002788979	0.004335236	0.141213477	0.15010104	0.149305164	2.127031068	0.34160612	1.36101999	0.569434127	1.984689411	0.165364041	0.178457875	0.152112604	0	0.035151284	0.031413962	0.133059244	0.090774426	0.121669036	0.062902633	0.111720117	0.056342472	0.070009358	0.073807341	0.062596961	0.089107842	0.033700821	0.063296991	0.064011121	0.000121682	0.023455352	0.036643396	0.065028917	0.024753482	0.041254128	0.046127272	0.02926617	0.00706688	0.037857316	0.024296686	0.020623032	0.023588845	0.025474822	0.000612031	0.003919066	0.020979171	0.018062209	0.033417826	0.006729523	0.04098773	0.008626396	0.039209265	0.037771193	0.015989364	0.038608222
4	9	0.003046631	0.461655088	2.207051488	1.517034101	1.458491347	0	0.096295053	0.210287027	0.351769841	0	0	0	0.621998383	0	0	0.34727531	0	0	0	0.00013264	0.013018392	0	0.006173815	0.099464461	0.017599859	0.055842073	0.009282796	0.087333511	0.032249319	0.037534385	0.05158859	0.12619806	0.03342206	0.000693029	0.026743477	0	0.102818616	0.072274178	0.060203624	0.000732193	0.074399757	0.001045719	0.047617205	0.004593212	0	0.004965255	0	0	0	0	0.140509957	0.261445361	0	0.001291852	0.087486839	0.049636481	0	0.060289728	0.01716675	0.009605669	0	0	0	0.028954326	0.000354693	0	0	0	0	0.049628727	0	0.002500224	0.044549817	0.020122472	0.012642199	0.000172918	0	0	0	0	0.085538837	0.002289704	0.003387912	0.114721587	0.104578771	0.097160237	2.104522398	0.402574341	1.45969784	0.576032139	2.120628412	0.191991485	0.188198741	0.145938145	0	0.029693967	0.037143454	0.120142482	0.115009089	0.143154724	0.06840594	0.117722648	0.054172258	0.04765768	0.040990771	0.031839494	0.019035813	0.019423943	0.063386739	0.042294266	4.25E-05	0.022910738	0.039584595	0.077383906	0.026317347	0.028168281	0.046893348	0.029414615	0.008315966	0.038839083	0.021326053	0.019608968	0.020555723	0.025701236	0.000321225	0.004799586	0.013775532	0.009898912	0.038983625	0.006673422	0.038817519	0.008469607	0.040988839	0.039635103	0.017321683	0.03985255
4	10	0.002158964	0.606886419	0.952317179	1.920064371	2.304163471	0	0.388192464	0.083972844	0.292793589	0	0	0	0.486156635	0	0	0.366049206	0.024524426	0	0.000415744	0.000911987	0.007940321	7.74E-05	0.010042578	0.159964113	0.024157257	0.049991232	0.011326049	0.079072726	0.049125406	0.032933085	0.043818204	0.08757469	0.022465877	0.006562407	0.018099928	0	0.110052771	0.073818046	0.081137255	0.005543714	0.074497191	0.001184781	0.044038115	0.005514094	0	0.017284632	0.024674059	0	0	0	0.203797953	0.279045427	0	0.000660979	0.085749412	0.035473646	0	0.05399335	0.016198987	0.010803646	0.001871547	0	0.018785966	0.033028161	0.001130867	1.96E-05	0	0.003543393	0	0.061237415	0	0.008397775	0.0601787	0.020231376	0.009492186	8.77E-05	0.000513347	0	0	0	0.089886831	0.001458957	0.002426437	0.099251017	0.074220601	0.061558421	2.050223953	0.490805848	1.529907767	0.574774291	2.200824416	0.217493644	0.191839395	0.139790003	0	0.025531	0.042253306	0.091660102	0.140068411	0.165962899	0.075289722	0.119782864	0.046644123	0.031188052	0.017766186	0.009825754	0	0.009214472	0.062806935	0.026438275	0	0.022306884	0.041358186	0.089516665	0.025895946	0.019391208	0.04460573	0.027271936	0.009419343	0.040901504	0.019279093	0.016133111	0.014046798	0.023336803	0.000113525	0.006070245	0.008155337	0.003659061	0.043657302	0.006497439	0.037197435	0.008504844	0.043723584	0.042321257	0.018161241	0.038672252
4	11	0.00154835	0.808638668	1.639517562	2.439504414	2.348224814	0	0.462133831	0.396286552	0.24793026	0.003476702	1.106523676	0.507967102	0.247839656	0.046855062	0.490283354	0.272621623	0.048318926	0.021928105	0.009584806	0.001203038	0.002335337	0.002731386	0.011193654	0.163123992	0.022667394	0.032785863	0.010076491	0.050224603	0.046772969	0.020386148	0.026535939	0.038314524	0.009506482	0.008894519	0.007943746	0.008991938	0.091124887	0.055101919	0.072053744	0.007735693	0.055530761	0.00098705	0.029543755	0.004700121	0.009785215	0.021549324	0.035884425	0.238644256	0.018683809	0.007780626	0.193230534	0.203123872	0.001012559	0.000147373	0.065303313	0.016361907	0.002376431	0.03441146	0.011090366	0.008572527	0.007986782	0.000298063	0.033854398	0.026626973	0.001605755	0.000514953	0.008548802	0.010135809	0.00030862	0.05238741	0.001276011	0.010095204	0.053769825	0.015047788	0.004747007	1.72E-05	0.015837656	0.001366538	0.001711032	0.000997401	0.066965706	0.000507717	0.001567923	0.092472298	0.056735078	0.040286054	2.065567283	0.606193673	1.549236766	0.557950418	2.19279095	0.238877023	0.187167532	0.132036564	0.011935947	0.02214935	0.046283464	0.048727784	0.164041776	0.187813253	0.082337451	0.116432954	0.03387619	0.019637458	0.003112634	0	0	0.002871256	0.06054757	0.015563957	0	0.02127081	0.04146501	0.100419001	0.023465627	0.014297389	0.038975945	0.022712436	0.010254651	0.04334806	0.01800157	0.01038381	0.004502684	0.018534646	0	0.007664443	0.003861478	0	0.0468536	0.006109431	0.035500234	0.008596736	0.046684842	0.045129545	0.018242316	0.034955525
4	12	0.000960388	0.71926822	2.338003246	1.27356165	2.474712838	0	0	0.638913552	0.362349834	0.098606353	1.943748662	0.523667003	0.11773366	0.137669604	0.681308128	0.215272593	0.061144962	0.037447463	0.013670521	0.001309775	0	0.004089121	0.012578431	0.165213067	0.02192805	0.024269966	0.009625544	0.033827573	0.043791942	0.013583919	0.017759634	0.015459222	0.003848982	0.009823564	0.003659708	0.017329514	0.085612904	0.045189794	0.064549118	0.008957016	0.046409865	0.000897947	0.02195135	0.00424741	0.019211506	0.02342834	0.03996198	0.236621291	0.033845518	0.055907173	0.184490761	0.153562193	0.001768187	0	0.057926837	0.007290927	0.004400178	0.02380458	0.008372322	0.007186684	0.01100486	0.000505549	0.040015715	0.022696737	0.002026069	0.000723693	0.013003214	0.013160376	0.002100246	0.046721917	0.003242576	0.010548847	0.048551962	0.012472508	0.002407639	0	0.022689764	0.002185571	0.003239776	0.002559014	0.053056072	6.67E-05	0.001559452	0.092368863	0.050909125	0.032482871	2.290030932	0.742391296	1.492266434	0.518758629	2.062059514	0.251453166	0.172266086	0.121641704	0.027212689	0.019241154	0.048485838	0	0.183204544	0.204758491	0.087741728	0.106392225	0.017062517	0.012798039	0	0	0	0.000692652	0.055679179	0.009505255	0	0.019473517	0.039382799	0.108304197	0.019243969	0.012578452	0.030165077	0.015977105	0.010633651	0.045256699	0.017472548	0.003056863	0	0.011900287	0	0.009406442	0.000927053	0	0.047722692	0.00544006	0.03317775	0.008596175	0.048879426	0.047108185	0.017272236	0.028941292
4	13	0.000511139	0.248125101	1.13070918	1.358478285	0.934072592	0	2.902258917	1.387042639	0.909286405	0.187218144	0.669069119	0.430386841	0.06228503	0.203847092	0.46455984	0.245516145	0.094292619	0.060494535	0.020871228	0.001827885	0	0.006590645	0.019381902	0.230734766	0.029870136	0.028090929	0.013245843	0.03331564	0.056027965	0.013607645	0.018649993	0.008974868	0.002730301	0.013869151	0.003328586	0.028457376	0.120200959	0.055247261	0.080284041	0.013405879	0.058760063	0.001199693	0.02492773	0.005517908	0.032784894	0.033269196	0.055767322	0.219690833	0.059831303	0.110938559	0.244756155	0.168277468	0.002887046	4.78E-05	0.079213414	0.004838013	0.007581161	0.024835911	0.009568698	0.008652213	0.01711791	0.000806005	0.057579604	0.027775495	0.003334398	0.001083425	0.020229726	0.019779683	0.003997909	0.059243153	0.005946301	0.014344672	0.060898773	0.015601878	0.001841355	0	0.034757835	0.003640185	0.00554933	0.005415233	0.060850782	0	0.00271728	0.095289531	0.054203632	0.036099306	2.832909403	0.875854814	1.331751738	0.451240756	1.777311382	0.248113582	0.146005468	0.107727129	0.043184554	0.016487643	0.047713822	0	0.191107489	0.210133862	0.088588749	0.088940688	0	0.010358088	0	0	0	0.002779342	0.047382137	0.007952081	0	0.016614805	0.034637688	0.110144013	0.013894536	0.013565894	0.019184596	0.007995303	0.010287839	0.045168893	0.017540924	0	0	0.004796233	0	0.010889525	0	0	0.045141749	0.004452725	0.029612056	0.008283797	0.048744772	0.046777103	0.014977116	0.021452577
4	14	0.000164099	0.430930125	1.038550734	1.472190848	1.687521583	0	1.74035506	1.28115536	0.603128808	0.162812925	0.533129737	0.227459782	0.009484673	0.191015008	0.232550903	0.24319693	0.115183976	0.071719517	0.024020585	0.002053637	0	0.008094614	0.024692807	0.26977612	0.034495423	0.030400433	0.015619209	0.029336393	0.05945353	0.012653034	0.018969506	0.008848362	0.003555523	0.01575718	0.004552374	0.033505507	0.147287358	0.060008869	0.083858372	0.016315065	0.066654686	0.001398348	0.026042167	0.006171439	0.040624189	0.038415578	0.061840958	0.214638222	0.078942976	0.145649729	0.273208419	0.166787738	0.003455087	0.000271912	0.096736015	0.004398852	0.009635052	0.023875736	0.009940141	0.008974613	0.020492366	0.000938518	0.065375866	0.029247883	0.004438189	0.001216633	0.023444252	0.023004987	0.004978146	0.064259394	0.00771861	0.01580063	0.064107875	0.017472646	0.001571795	2.39E-05	0.0402065	0.004585371	0.006968955	0.008194539	0.06067854	0	0.004125329	0.098737273	0.063185219	0.047352142	3.610282465	0.994360974	1.099264481	0.369330582	1.393607561	0.230205674	0.114477621	0.093496435	0.056993847	0.014076808	0.044468511	0	0.18686669	0.203498293	0.084599151	0.067932488	0	0.011543507	0.006635225	0	0	0.0083894	0.037056793	0.009998682	0	0.013141681	0.028346046	0.106290747	0.009052657	0.016273547	0.008731035	0.000736094	0.009327508	0.042942715	0.018359468	0	0	0	3.20E-05	0.011885005	0	0	0.039771948	0.003336593	0.025292244	0.007695797	0.046175916	0.044083714	0.011808473	0.014689062
